date,venue,race_no,finish_pos,horse_no,horse_name,finish_time,sec1_margin,sec1_running_pos,sec1_time,sec2_margin,sec2_running_pos,sec2_time,sec3_margin,sec3_running_pos,sec3_time,sec4_margin,sec4_running_pos,sec4_time,sec5_margin,sec5_running_pos,sec5_time,sec6_margin,sec6_running_pos,sec6_time
2024-09-15,沙田,1,1,3,共享富裕 (J390),1:33.70,6-1/2,7,25.32,6-1/4,8,22.90,5-1/4,7,23.25 11.65    11.60,N,1,22.23 10.80    11.43,,,,,,
2024-09-15,沙田,1,2,9,精算特殊 (H354),1:33.77,4-1/4,6,24.96,5,6,23.06,4-1/4,6,23.29 11.61    11.68,N,2,22.46 10.76    11.70,,,,,,
2024-09-15,沙田,1,3,8,神駒馬靈 (J162),1:33.80,3/4,2,24.40,2-3/4,3,23.26,3-1/4,3,23.49 11.65    11.84,1/2,3,22.65 10.92    11.73,,,,,,
2024-09-15,沙田,1,4,5,英駿飛駒 (H376),1:34.14,2-1/4,4,24.64,3-1/2,4,23.14,3-3/4,4,23.45 11.65    11.80,2-3/4,4,22.91 11.04    11.87,,,,,,
2024-09-15,沙田,1,5,4,綠色好運 (J083),1:34.36,3,5,24.76,4-1/2,5,23.18,4,5,23.33 11.61    11.72,4,5,23.09 10.96    12.13,,,,,,
2024-09-15,沙田,1,6,6,久久為金 (J110),1:34.66,3/4,1,24.28,1-1/2,1,22.94,2-1/4,1,23.41 11.49    11.92,6,6,24.03 11.56    12.47,,,,,,
2024-09-15,沙田,1,7,7,美麗多盈 (G477),1:34.70,8,8,25.56,6,7,22.62,5-1/2,8,23.33 11.57    11.76,6-1/4,7,23.19 11.04    12.15,,,,,,
2024-09-15,沙田,1,8,1,君智盛 (J213),1:34.76,1-1/4,3,24.48,1-1/2,2,22.98,2-1/4,2,23.53 11.61    11.92,6-3/4,8,23.77 11.40    12.37,,,,,,
2024-09-15,沙田,1,9,2,幸運同行 (J331),1:35.31,8,9,25.56,7-3/4,9,22.90,7-3/4,9,23.41 11.57    11.84,10,9,23.44 11.16    12.28,,,,,,
2024-09-15,沙田,2,1,1,旋風傳奇 (J152),1:21.92,1-1/4,4,13.71,2-1/4,4,22.42,1,3,22.95 11.50    11.45,1-1/4,1,22.84 11.10    11.74,,,,,,
2024-09-15,沙田,2,2,12,可愛新星 (H291),1:22.11,3,7,13.99,5-1/2,8,22.66,3-3/4,7,22.87 11.50    11.37,1-1/4,2,22.59 10.98    11.61,,,,,,
2024-09-15,沙田,2,3,6,喜勝威龍 (G395),1:22.18,1/2,3,13.59,1-1/2,3,22.42,1-1/2,4,23.15 11.58    11.57,1-3/4,3,23.02 11.26    11.76,,,,,,
2024-09-15,沙田,2,4,5,朗日雪峰 (J187),1:22.29,1-1/2,5,13.75,3-1/4,5,22.54,2-1/2,6,23.03 11.50    11.53,2-1/4,4,22.97 11.02    11.95,,,,,,
2024-09-15,沙田,2,5,8,星運皇爵 (H489),1:22.33,5,11,14.31,6-1/2,9,22.50,4-1/2,9,22.83 11.54    11.29,2-1/2,5,22.69 11.02    11.67,,,,,,
2024-09-15,沙田,2,6,11,荃程路通 (E403),1:22.40,N,1,13.51,1-1/4,1,22.26,1,1,23.15 11.54    11.61,3,6,23.48 11.34    12.14,,,,,,
2024-09-15,沙田,2,7,9,最多歡笑 (G251),1:22.43,3-1/4,8,14.03,4-3/4,7,22.50,3-3/4,8,22.99 11.50    11.49,3-1/4,7,22.91 11.06    11.85,,,,,,
2024-09-15,沙田,2,8,10,星火燎原 (J150),1:22.74,2,6,13.83,3-3/4,6,22.54,2-1/2,5,22.95 11.54    11.41,5,8,23.42 11.18    12.24,,,,,,
2024-09-15,沙田,2,9,4,勇冠皇子 (H268),1:22.81,6,12,14.47,8,12,22.58,6-1/4,11,22.87 11.50    11.37,5-1/2,9,22.89 11.10    11.79,,,,,,
2024-09-15,沙田,2,10,2,全神貫注 (H465),1:23.07,N,2,13.55,1-1/4,2,22.42,1,2,23.11 11.46    11.65,7-1/4,10,23.99 11.62    12.37,,,,,,
2024-09-15,沙田,2,11,3,永勝金駒 (H471),1:23.42,4-1/4,9,14.19,7-1/4,10,22.74,7,12,23.11 11.58    11.53,9-1/4,11,23.38 11.38    12.00,,,,,,
2024-09-15,沙田,2,12,7,逆市奇爸 (E321),1:23.42,4-3/4,10,14.27,7-1/4,11,22.66,5,10,22.79 11.46    11.33,9-1/4,12,23.70 11.26    12.44,,,,,,
2024-09-15,沙田,3,1,4,河好運 (J320),1:09.15,1/2,3,23.95,1,2,22.42 11.09    11.33,1-1/4,1,22.78 11.13    11.65,,,,,,,,,
2024-09-15,沙田,3,2,9,勝多多 (H407),1:09.35,3-1/4,8,24.39,4,9,22.46 11.05    11.41,1-1/4,2,22.50 11.01    11.49,,,,,,,,,
2024-09-15,沙田,3,3,5,快活英雄 (J346),1:09.40,4-1/4,10,24.55,4-1/4,10,22.34 11.01    11.33,1-1/2,3,22.51 11.05    11.46,,,,,,,,,
2024-09-15,沙田,3,4,10,綠族威 (H306),1:09.55,SH,1,23.87,1,1,22.34 11.05    11.29,2-1/2,4,23.34 11.29    12.05,,,,,,,,,
2024-09-15,沙田,3,5,3,燈胆皇 (J241),1:09.59,2-1/2,7,24.27,2-1/2,5,22.34 11.13    11.21,2-3/4,5,22.98 11.13    11.85,,,,,,,,,
2024-09-15,沙田,3,6,7,果然僥倖 (H252),1:09.60,1-1/4,4,24.07,2-3/4,6,22.58 11.13    11.45,2-3/4,6,22.95 11.17    11.78,,,,,,,,,
2024-09-15,沙田,3,7,8,廚師發辦 (H416),1:09.76,2-1/4,6,24.23,2,4,22.30 10.93    11.37,3-3/4,7,23.23 11.37    11.86,,,,,,,,,
2024-09-15,沙田,3,8,11,全城帶勝 (H200),1:10.04,2,5,24.19,2-3/4,7,22.46 11.09    11.37,5-1/2,8,23.39 11.37    12.02,,,,,,,,,
2024-09-15,沙田,3,9,1,財駿 (E282),1:10.13,3-3/4,9,24.47,3-1/4,8,22.26 10.93    11.33,6,9,23.40 11.37    12.03,,,,,,,,,
2024-09-15,沙田,3,10,6,威德勇士 (J385),1:10.58,7-1/2,11,25.07,5,11,21.94 10.81    11.13,9,10,23.57 11.45    12.12,,,,,,,,,
