date,venue,race_no,finish_pos,horse_no,horse_name,finish_time,sec1_margin,sec1_running_pos,sec1_time,sec2_margin,sec2_running_pos,sec2_time,sec3_margin,sec3_running_pos,sec3_time,sec4_margin,sec4_running_pos,sec4_time,sec5_margin,sec5_running_pos,sec5_time,sec6_margin,sec6_running_pos,sec6_time
2024-01-17,跑馬地,1,1,5,樂天派 (E166),1:51.19,2-1/2,6,14.14,7,7,23.77,6-1/4,8,24.18,4-3/4,9,24.63 12.37    12.26,SH,1,24.47 12.15    12.32,,,
2024-01-17,跑馬地,1,2,10,鑽石福將 (H285),1:51.20,5-1/2,9,14.62,8-1/2,9,23.53,7-1/4,10,24.10,6-1/2,11,24.75 12.45    12.30,SH,2,24.20 12.03    12.17,,,
2024-01-17,跑馬地,1,3,2,滿載歸來 (H083),1:51.21,3/4,3,13.86,2-1/4,3,23.29,2,3,24.26,1-1/2,2,24.79 12.49    12.30,SH,3,25.01 12.27    12.74,,,
2024-01-17,跑馬地,1,4,7,豐盛多彩 (G301),1:51.27,1-1/2,4,13.98,5,6,23.61,4-1/2,6,24.22,3-1/2,6,24.71 12.41    12.30,1/2,4,24.75 12.27    12.48,,,
2024-01-17,跑馬地,1,5,8,國大合 (G322),1:51.36,4,8,14.38,7,8,23.53,5-1/4,7,24.02,4,7,24.67 12.41    12.26,1,5,24.76 12.23    12.53,,,
2024-01-17,跑馬地,1,6,12,獵狐者威 (E296),1:51.37,3,7,14.22,5,5,23.37,3-3/4,5,24.10,2-3/4,5,24.71 12.45    12.26,1-1/4,6,24.97 12.15    12.82,,,
2024-01-17,跑馬地,1,7,6,勇進齊心 (G030),1:51.52,N,2,13.78,3-1/2,4,23.57,2-3/4,4,24.18,2,4,24.75 12.37    12.38,2,7,25.24 12.31    12.93,,,
2024-01-17,跑馬地,1,8,11,怪獸豪俠 (G282),1:51.58,N,1,13.74,1-1/4,1,23.05,3/4,1,24.30,1-1/2,1,24.87 12.49    12.38,2-1/2,8,25.62 12.55    13.07,,,
2024-01-17,跑馬地,1,9,9,生生福運 (D274),1:51.67,6-1/2,11,14.78,10-3/4,11,23.73,8-3/4,11,23.98,4-1/4,8,24.15 11.85    12.30,3,9,25.03 12.35    12.68,,,
2024-01-17,跑馬地,1,10,1,神舟飛駒 (G295),1:52.81,5-3/4,10,14.66,8-3/4,10,23.53,7-1/4,9,24.06,5-3/4,10,24.63 12.41    12.22,10-1/4,10,25.93 12.19    13.74,,,
