date,venue,race_no,finish_pos,horse_no,horse_name,finish_time,sec1_margin,sec1_running_pos,sec1_time,sec2_margin,sec2_running_pos,sec2_time,sec3_margin,sec3_running_pos,sec3_time,sec4_margin,sec4_running_pos,sec4_time,sec5_margin,sec5_running_pos,sec5_time,sec6_margin,sec6_running_pos,sec6_time
2016-11-20,沙田,1,1,11,世界紀錄 (V040),1:21.79,1-3/4,5,13.87,4-1/4,5,21.96,2,6,23.37,2-1/2,1,22.59,,,,,,
2016-11-20,沙田,1,2,14,超甜橙 (V058),1:22.20,1/2,1,13.59,1/2,1,21.56,1/2,1,23.73,2-1/2,2,23.32,,,,,,
2016-11-20,沙田,1,3,2,妙感 (V031),1:22.34,2-1/4,7,13.95,5-1/2,7,22.08,3,7,23.33,3-1/4,3,22.98,,,,,,
2016-11-20,沙田,1,4,1,勁有波幅 (V081),1:22.49,2-1/4,6,13.95,6-3/4,10,22.28,3,8,23.13,4-1/2,4,23.13,,,,,,
2016-11-20,沙田,1,5,5,得意繽紛 (V146),1:22.49,1-1/4,3,13.79,1/2,2,21.44,1/2,2,23.73,4-1/2,5,23.53,,,,,,
2016-11-20,沙田,1,6,6,無限欣賞 (V072),1:22.55,4-1/2,12,14.31,8,12,22.12,4-1/2,12,23.17,4-3/4,6,22.95,,,,,,
2016-11-20,沙田,1,7,7,隨時候命 (T383),1:22.61,3-1/4,9,14.11,5-3/4,8,21.96,3-1/2,10,23.37,5-1/4,7,23.17,,,,,,
2016-11-20,沙田,1,8,13,好性格 (V060),1:22.90,6,13,14.55,9-1/4,14,22.08,5,14,23.05,7,8,23.22,,,,,,
2016-11-20,沙田,1,9,4,魅力知寶 (V324),1:22.91,1-1/2,4,13.83,4,4,21.96,1-3/4,4,23.37,7,9,23.75,,,,,,
2016-11-20,沙田,1,10,3,勝利威 (S303),1:23.23,3-1/2,10,14.15,6-3/4,9,22.08,3-3/4,11,23.25,9,10,23.75,,,,,,
2016-11-20,沙田,1,11,10,紅牡丹 (T014),1:23.26,6,14,14.55,7-1/2,11,21.80,5,13,23.33,9-1/4,11,23.58,,,,,,
2016-11-20,沙田,1,12,12,紅駿之星 (V334),1:23.30,2-1/4,8,13.95,5-1/4,6,22.04,2,5,23.21,9-1/2,12,24.10,,,,,,
2016-11-20,沙田,1,13,9,星心英雄 (T226),1:23.62,4-1/4,11,14.27,8,13,22.16,3-1/4,9,22.97,11-1/2,13,24.22,,,,,,
2016-11-20,沙田,1,14,8,勝利公爵 (T136),1:23.77,1/2,2,13.67,2,3,21.80,1-1/2,3,23.65,12-1/2,14,24.65,,,,,,
2016-11-20,沙田,2,1,6,真好彩 (V068),1:09.75,2-1/4,5,24.67,1-3/4,6,23.04,1/2,1,22.04,,,,,,,,,
2016-11-20,沙田,2,2,8,又襟又準 (S301),1:09.85,3/4,2,24.43,SH,2,23.00,1/2,2,22.42,,,,,,,,,
2016-11-20,沙田,2,3,7,運財童子 (A008),1:09.97,1-1/2,3,24.55,1/2,3,22.96,1-1/4,3,22.46,,,,,,,,,
2016-11-20,沙田,2,4,1,必搏 (V226),1:10.12,1-1/2,4,24.55,1-1/2,4,23.12,2-1/4,4,22.45,,,,,,,,,
2016-11-20,沙田,2,5,14,綽綽有餘 (T223),1:10.12,3,6,24.79,2-3/4,7,23.08,2-1/4,5,22.25,,,,,,,,,
2016-11-20,沙田,2,6,2,海翡翠 (V307),1:10.13,3,7,24.79,1-1/2,5,22.88,2-1/2,6,22.46,,,,,,,,,
2016-11-20,沙田,2,7,9,旅英駿爵 (T080),1:10.26,3/4,1,24.31,SH,1,23.12,3-1/4,7,22.83,,,,,,,,,
2016-11-20,沙田,2,8,3,帝豪寶寶 (A050),1:10.34,4-1/4,10,24.99,2-3/4,8,22.88,3-3/4,8,22.47,,,,,,,,,
2016-11-20,沙田,2,9,11,強中堅 (N177),1:10.46,5-3/4,13,25.23,4-1/2,11,22.92,4-1/2,9,22.31,,,,,,,,,
2016-11-20,沙田,2,10,12,天胆 (V238),1:10.48,4-1/4,9,24.99,4,10,23.08,4-1/2,10,22.41,,,,,,,,,
2016-11-20,沙田,2,11,13,路路發 (N186),1:10.60,6-1/4,14,25.31,5,13,22.92,5-1/4,11,22.37,,,,,,,,,
2016-11-20,沙田,2,12,4,好富有 (A026),1:10.66,3-3/4,8,24.91,3,9,23.00,5-3/4,12,22.75,,,,,,,,,
2016-11-20,沙田,2,13,5,有得勁 (V418),1:10.73,5,11,25.11,4-1/2,12,23.04,6-1/4,13,22.58,,,,,,,,,
2016-11-20,沙田,2,14,10,魔幻神駿 (V317),1:11.40,5-3/4,12,25.23,6,14,23.16,10-1/4,14,23.01,,,,,,,,,
2016-11-20,沙田,3,1,2,威利熱流 (T281),1:47.29,3-1/2,12,14.51,6-1/2,13,22.18,6-3/4,12,23.28,4,12,23.80,HD,1,23.52,,,
2016-11-20,沙田,3,2,4,新疆紡 (V035),1:47.32,1/2,2,14.03,2,6,21.94,3-3/4,6,23.52,1-1/2,5,23.88,HD,2,23.95,,,
2016-11-20,沙田,3,3,1,醉必勝 (P151),1:47.72,3,11,14.43,4-1/2,11,21.94,5-1/2,11,23.40,2-1/2,7,23.76,2-3/4,3,24.19,,,
2016-11-20,沙田,3,4,6,萬眾期待 (N284),1:47.75,1-1/2,6,14.19,3-1/4,8,21.98,5-1/4,10,23.56,3-1/4,9,23.92,2-3/4,4,24.10,,,
2016-11-20,沙田,3,5,14,塑料喜 (T326),1:47.81,1,5,14.11,1-1/2,4,21.78,1-1/2,3,23.24,N,2,24.04,3-1/4,5,24.64,,,
2016-11-20,沙田,3,6,9,旅遊大使 (T113),1:48.08,1,4,14.11,1/2,3,21.62,1-3/4,4,23.44,N,3,24.00,5,6,24.91,,,
2016-11-20,沙田,3,7,12,華麗再現 (V326),1:48.43,3,10,14.43,SH,1,21.22,N,2,23.28,1,4,24.36,7,7,25.14,,,
2016-11-20,沙田,3,8,7,好腳頭 (S131),1:48.53,5,14,14.75,8-1/4,14,22.22,8-1/4,14,23.24,6-3/4,13,24.00,7-3/4,8,24.32,,,
2016-11-20,沙田,3,9,3,招多福 (T232),1:48.55,2-1/4,8,14.31,3-3/4,10,21.94,4-3/4,9,23.40,3-3/4,10,24.08,7-3/4,9,24.82,,,
2016-11-20,沙田,3,10,11,神電金剛 (P354),1:48.64,4,13,14.59,6,12,22.02,7-1/4,13,23.44,4,11,23.72,8-1/2,10,24.87,,,
2016-11-20,沙田,3,11,5,金秋 (P044),1:48.83,2-1/2,9,14.35,3-1/4,9,21.82,4,7,23.36,1-1/2,6,23.84,9-3/4,11,25.46,,,
2016-11-20,沙田,3,12,10,越駿寶 (T314),1:49.12,2,7,14.27,2,5,21.70,3,5,23.40,3,8,24.24,11-1/2,12,25.51,,,
2016-11-20,沙田,3,13,8,奪冠 (V087),1:49.95,1/2,1,13.95,SH,2,21.70,N,1,23.24,N,1,24.24,16-1/2,13,26.82,,,
2016-11-20,沙田,3,14,13,幸運神駒 (V179),1:50.72,1,3,14.11,2,7,21.86,4-1/4,8,23.60,8-1/2,14,24.92,21-1/2,14,26.23,,,
2016-11-20,沙田,4,1,10,凱倫之寶 (P358),2:03.02,6-1/4,9,27.49,8-1/2,9,25.71,6-1/2,10,23.91,5-1/4,9,23.79,N,1,22.12,,,
