horse_no,date,detail,cleared_date
G462,06/02/2023,右後腿骨骼受傷,18/04/2023
G462,05/11/2023,右後腿腫脹，因而退出賽事,15/12/2023
G462,03/01/2024,右前腿懸韌帶受傷,27/03/2024
G462,12/02/2025,表現難以接受,29/08/2025
G462,25/03/2025,右跗骨受傷,29/08/2025
G462,04/10/2025,賽後被發現會厭被覆蓋,-
G462,27/03/2026,右跗關節受傷,-
