horse_no,date,detail,cleared_date
D482,10/10/2022,發燒,25/10/2022
D482,05/03/2023,賽後內窺鏡檢查發現氣管內有大量痰液,-
D482,12/04/2023,騎師對坐騎競賽時的動作有疑慮,27/06/2023
D482,02/08/2024,於季終時年屆八歲或以上,27/08/2024
D482,26/02/2025,表現令人失望,13/03/2025
D482,11/08/2025,於季終時年屆八歲或以上,26/08/2025
D482,08/12/2025,食慾不振,15/12/2025
