horse_no,date,detail,cleared_date
J403,07/05/2024,抵達起步點後將騎師拋下，繼而跑了一段不短的途程，因而退出試閘,10/05/2024
J403,16/07/2024,接受閹割手術,-
J403,06/03/2025,賽後翌日左前腿不良於行,07/04/2025
