horse_no,date,detail,cleared_date
J146,09/04/2025,表現令人失望,25/04/2025
J146,11/06/2025,表現難以接受,21/08/2025
J146,08/06/2026,賽後翌日右前腿不良於行。更新：右膝接受關節鏡手術（移除碎骨）,-
