horse_no,date,detail,cleared_date
D435,20/06/2021,心律不正常，賽後內窺鏡檢查發現氣管內有大量血液,03/12/2021
D435,23/01/2022,賽後內窺鏡檢查發現氣管內有大量血液,08/02/2022
D435,30/04/2023,表現難以接受,08/06/2023
D435,21/01/2024,表現難以接受，賽後內窺鏡檢查發現氣管內有大量血液,23/02/2024
D435,02/08/2024,於季終時年屆八歲或以上,22/08/2024
D435,23/03/2025,表現令人失望,15/04/2025
D435,11/08/2025,於季終時年屆八歲或以上,19/08/2025
