horse_no,date,detail,cleared_date
H117,07/07/2023,右後腿不良於行，因而退出賽事。更新：右後蹄系部受傷,28/09/2023
H117,30/04/2024,右後腿不良於行。更新：右後球節接受手術,02/09/2024
