horse_no,date,detail,cleared_date
E459,06/02/2022,表現難以接受，賽後內窺鏡檢查發現氣管內有大量痰液,25/02/2022
E459,26/04/2023,賽後內窺鏡檢查發現氣管內有大量痰液,-
