horse_no,date,detail,cleared_date
D241,27/09/2020,賽後檢查發現氣管內有大量痰液,-
D241,05/10/2020,接受閹割手術,-
D241,28/01/2024,表現難以接受,10/05/2024
D241,09/04/2024,未能通過獸醫檢驗：試閘後右前腿不良於行,10/05/2024
D241,24/04/2025,賽後翌日右前腿不良於行,08/05/2025
D241,11/08/2025,於季終時年屆八歲或以上,15/08/2025
D241,19/01/2026,食慾不振,03/02/2026
