horse_no,date,detail,cleared_date
H089,05/09/2023,左前球節受傷,28/12/2023
H089,28/06/2024,賽後右前腿肌腱受傷,02/11/2024
H089,18/05/2025,表現令人失望，騎師對坐騎競賽時的動作有疑慮,03/06/2025
