horse_no,date,detail,cleared_date
H235,21/12/2022,接受閹割手術,-
H235,18/09/2024,表現令人失望,07/10/2024
H235,07/05/2025,表現令人失望,27/05/2025
H235,14/06/2025,表現令人失望,30/06/2025
