horse_no,date,detail,cleared_date
E301,22/03/2021,於起步點被發現左邊鼻孔有血，因而退出試閘。其後接受內窺鏡檢查，證實沒有流鼻血,15/04/2021
E301,05/10/2021,呼吸系統感染及結腸炎,18/01/2022
E301,11/03/2024,左邊骨盆受傷,24/06/2024
