horse_no,date,detail,cleared_date
H177,06/04/2023,表現難以接受,25/04/2023
H177,31/05/2023,表現難以接受（近仗第二次）,13/06/2023
H177,18/08/2023,接受閹割手術,-
H177,15/03/2025,賽後發現會厭被覆蓋,-
H177,21/03/2025,接受喉部手術以矯正會厭被覆蓋情況,23/05/2025
