date,venue,race_no,place,horse_no,horse_name,jockey,gear,commentary
2017-05-07,沙田,1,1,7,津津樂道 (N248),祈普敦,--,居中間位置，走內欄。趨近直路彎時開始發力上前，入直路後不久望空。最後二百五十米以佳勢上前，接近終點時取得領先。
2017-05-07,沙田,1,2,10,駕悅 (S241),潘頓,V/XB/TT,居第三位，落後一個馬位，走內欄。三百五十米處超越呈現疲態的領放馬，取得領先。瞬即洩氣，接近終點時被超越。
2017-05-07,沙田,1,3,4,天賦致寶 (S417),莫雷拉,B,出閘迅速，居後列。轉直路彎時受催策，走外疊。略為追前，但未能構成威脅。
2017-05-07,沙田,1,4,3,財歡笑 (S346),郭能,B,受催策，居中間稍前的第六位，落後領放馬約三個馬位。入直路後一度受困，末段以佳勢力拼。
2017-05-07,沙田,1,5,1,雅寳 (P295),田泰安,BO/TT,居中間之後位置。最後二百米追前甚多。
2017-05-07,沙田,1,6,11,銘記心中 (T258),李寶利,TT1,自外檔出閘後居中間位置，走外疊。趨近直路彎時上前，最後二百米力竭，再無爭勝機會。
2017-05-07,沙田,1,7,8,神電金剛 (P354),史卓豐,TT-,居中間之後位置，走外疊。轉直路彎時略為上前，走外疊。末段保持同速。
2017-05-07,沙田,1,8,12,滿貫中環 (V220),布文,TT,出閘普通，大多居中間之前位置，走內欄。保持穩勢，但未能構成威脅。
2017-05-07,沙田,1,9,14,行運友 (V155),吳嘉晉,B/TT,遙遙落後，入直路時追趕馬群。持續上前，超越已洩氣潰敗的對手。
2017-05-07,沙田,1,10,9,大道至公 (T329),杜利萊,B,自外檔出閘後留後，大部分途程遙遙落後。入直路時走最外疊，直路上保持同速。
2017-05-07,沙田,1,11,6,齊齊健康 (S320),何澤堯,B/TT,受催策，居最後數位。入直路時仍居尾三位置，走內欄。再無餘力。
2017-05-07,沙田,1,12,2,駿驫 (V319),黃皓楠,H/XB,自外檔出閘後受催策，跑了首四百米後追上領放馬。居好位，最後二百五十米在催策下轉弱。
2017-05-07,沙田,1,13,5,四平八穩 (T045),巫顯東,H,受催策，居第四位，落後領放馬約兩個馬位。最後二百五十米迅速力竭。
2017-05-07,沙田,1,14,13,牛魔王 (S176),蔣嘉琦,PC/XB/TT,自最外檔出閘，瞬即取得領先。保持領先，三百五十米處疲態畢呈。
2017-05-07,沙田,2,1,8,非常堅 (T146),何澤堯,B/H/TT,受推策移入內欄，以快步速領放。保持勁勢，取得勝利。
2017-05-07,沙田,2,2,1,安荃 (S437),莫雷拉,B,收慢留居後列，走內欄。快步速有利發揮。三百米處穩步上前，取得亞軍。
2017-05-07,沙田,2,3,3,綠色勁駒 (V184),布文,B-/XB-/TT,受催策上前，居領放馬外側。快步速不利發揮。保持位置，取得季軍。
2017-05-07,沙田,2,4,6,蓮花巨星 (T145),貝湯美,PC-/B2,早段受推策，居後列，走第二至第三疊。快步速有利發揮。六百米處穩步上前，一百五十米處無以為繼。
2017-05-07,沙田,2,5,7,勁嘉輝 (T236),黎海榮,B,收慢留居後列，走第二疊。快步速有利發揮。三百米處穩步上前。
2017-05-07,沙田,2,6,9,其樂無窮 (S147),梁家俊,B/XB,居中間之後位置，移入內欄。快步速有利發揮。從未能追前。
2017-05-07,沙田,2,7,2,海利多 (V188),郭能,B/TT,受推策佔取中間位置，走第三疊。快步速不合發揮。二百五十米處轉弱。
2017-05-07,沙田,2,8,4,金剛仔 (S146),黃皓楠,H/TT,居中間位置，走第二至第三疊，跑來搶口。直路上再無餘力。
