date,venue,race_no,race_meeting_no,race_name,race_class,distance_m,rating_range,going,course,prize_hkd,race_finish_time,sectional_times_header,place,horse_no,horse_name,jockey,trainer,actual_wt_lbs,declared_wt_lbs,draw,lbw,running_position,finish_time,win_odds
2017-05-24,跑馬地,1,671,蠔涌河讓賽,第五班,1650,40-0,好地至黏地,"草地 - ""C"" 賽道",630000,(28.39) (52.80) (1:18.15) (1:41.37),28.39 24.41 25.35 23.22,1,6,紅旗飛將 (T295),梁家俊,高伯新,118,1084,12,-,2 1 1 1,1:41.37,5.6
2017-05-24,跑馬地,1,671,蠔涌河讓賽,第五班,1650,40-0,好地至黏地,"草地 - ""C"" 賽道",630000,(28.39) (52.80) (1:18.15) (1:41.37),28.39 24.41 25.35 23.22,2,1,隨時候命 (T383),何澤堯,方嘉柏,131,1121,7,3-1/2,3 4 2 2,1:41.94,4.9
2017-05-24,跑馬地,1,671,蠔涌河讓賽,第五班,1650,40-0,好地至黏地,"草地 - ""C"" 賽道",630000,(28.39) (52.80) (1:18.15) (1:41.37),28.39 24.41 25.35 23.22,3,3,友瑩采 (V213),潘頓,蘇保羅,131,1191,5,3-3/4,9 10 7 3,1:41.96,3
2017-05-24,跑馬地,1,671,蠔涌河讓賽,第五班,1650,40-0,好地至黏地,"草地 - ""C"" 賽道",630000,(28.39) (52.80) (1:18.15) (1:41.37),28.39 24.41 25.35 23.22,4,7,辣得寶 (T393),莫雷拉,文家良,119,1129,10,4,4 5 6 4,1:42.01,16
2017-05-24,跑馬地,1,671,蠔涌河讓賽,第五班,1650,40-0,好地至黏地,"草地 - ""C"" 賽道",630000,(28.39) (52.80) (1:18.15) (1:41.37),28.39 24.41 25.35 23.22,5,10,牛魔王 (S176),蔣嘉琦,告達理,108,1076,8,5,1 3 5 5,1:42.18,55
2017-05-24,跑馬地,1,671,蠔涌河讓賽,第五班,1650,40-0,好地至黏地,"草地 - ""C"" 賽道",630000,(28.39) (52.80) (1:18.15) (1:41.37),28.39 24.41 25.35 23.22,6,5,精彩時機 (P293),郭能,何良,123,1137,11,5,11 11 9 6,1:42.18,23
2017-05-24,跑馬地,1,671,蠔涌河讓賽,第五班,1650,40-0,好地至黏地,"草地 - ""C"" 賽道",630000,(28.39) (52.80) (1:18.15) (1:41.37),28.39 24.41 25.35 23.22,7,9,電訊大炮 (V144),黎海榮,徐雨石,113,1110,3,5-1/4,7 8 10 7,1:42.23,9.7
2017-05-24,跑馬地,1,671,蠔涌河讓賽,第五班,1650,40-0,好地至黏地,"草地 - ""C"" 賽道",630000,(28.39) (52.80) (1:18.15) (1:41.37),28.39 24.41 25.35 23.22,8,4,威德將軍 (S286),史卓豐,苗禮德,130,1074,9,7-1/4,8 7 4 8,1:42.54,13
2017-05-24,跑馬地,1,671,蠔涌河讓賽,第五班,1650,40-0,好地至黏地,"草地 - ""C"" 賽道",630000,(28.39) (52.80) (1:18.15) (1:41.37),28.39 24.41 25.35 23.22,9,12,掌握時機 (T019),田泰安,容天鵬,113,1096,1,7-1/4,12 12 12 9,1:42.55,24
2017-05-24,跑馬地,1,671,蠔涌河讓賽,第五班,1650,40-0,好地至黏地,"草地 - ""C"" 賽道",630000,(28.39) (52.80) (1:18.15) (1:41.37),28.39 24.41 25.35 23.22,10,2,千真萬確 (S328),黃皓楠,姚本輝,126,1029,2,7-3/4,6 6 8 10,1:42.63,12
2017-05-24,跑馬地,1,671,蠔涌河讓賽,第五班,1650,40-0,好地至黏地,"草地 - ""C"" 賽道",630000,(28.39) (52.80) (1:18.15) (1:41.37),28.39 24.41 25.35 23.22,11,11,喜寶天龍 (S446),吳嘉晉,吳定強,108,1036,6,8-1/2,5 2 3 11,1:42.75,141
2017-05-24,跑馬地,1,671,蠔涌河讓賽,第五班,1650,40-0,好地至黏地,"草地 - ""C"" 賽道",630000,(28.39) (52.80) (1:18.15) (1:41.37),28.39 24.41 25.35 23.22,12,8,樂趣 (S150),韋達,霍利時,117,1053,4,8-3/4,10 9 11 12,1:42.76,14
