date,venue,race_no,place,horse_no,horse_name,jockey,gear,commentary
2017-11-01,沙田,1,1,6,有得勁 (V418),田泰安,B-/XB-/P1,出閘普通，尾隨馬群。直路彎早段開始發力。入直路時走最外疊。直路上在跑道中央追前甚多。接近終點時控制大局。
2017-11-01,沙田,1,2,2,快趣的 (S424),韋達,B,出閘普通，受催策。八百米處受鞭策以保持居中間位置。轉入直路時保持居中間位置，走內欄。直路初緊迫競跑，但持續力拼。在叮噹馬頭下取得亞席。
2017-11-01,沙田,1,3,5,永常喜 (V107),潘明輝,B/TT,早段並排領先。跑過九百米處時取得領先。入直路彎時佔取內欄位置。直路初加速，帶離三個馬位。後勁不繼，末段被超越。
2017-11-01,沙田,1,4,11,跑出彩虹 (T237),李寶利,B,對面直路上在催策下居中間之前位置，走第三疊，沒有遮擋。入直路後重新發力。過終點時最為接近。
2017-11-01,沙田,1,5,12,踏雪名駒 (S409),梁家俊,SR/XB,居後列位置。在催策下保持穩定走勢，但未能構成威脅。
2017-11-01,沙田,1,6,9,雄獅動力 (A122),祈普敦,--,自外檔出閘迅速，獲許墮居中間稍後位置。跑過一千米處時受催策，但仍居相若位置。直路初空位不足。末段追前甚多。
2017-11-01,沙田,1,7,4,創意寶 (S185),柏寶,B/TT,自外檔出閘迅速，但瞬即留後，居中間之後位置，走第二疊。保持穩定走勢，但未能構成威脅。
2017-11-01,沙田,1,8,3,勝在煌 (S425),潘頓,TT,出閘時失蹄，居中間位置。直路初受阻。最後二百米毫無表現。
2017-11-01,沙田,1,9,10,天狼星 (P269),賴維銘,P,早段居好位，逐漸留居第四位，落後領放馬僅逾三個馬位。直路上逐漸力竭。
2017-11-01,沙田,1,10,8,御風雲 (V231),莫雷拉,TT,出閘普通，在催策下居前列位置。直路上保持走勢，其後在催策下力竭。（翌日不良於行。）
2017-11-01,沙田,1,11,7,上浦將王 (A084),黃皓楠,H,一直居最後數位之內，從未看似有力爭勝。
2017-11-01,沙田,1,12,1,跑馬仔 (P105),何澤堯,TT,早段受催策，並排領先，走內欄。趨近直路彎時居第二位，落後超過兩個馬位。入直路後迅速力竭。
