date,venue,race_no,race_meeting_no,race_name,race_class,distance_m,rating_range,going,course,prize_hkd,race_finish_time,sectional_times_header,place,horse_no,horse_name,jockey,trainer,actual_wt_lbs,declared_wt_lbs,draw,lbw,running_position,finish_time,win_odds
2018-03-18,沙田,1,502,極品絲綢讓賽,第四班,1600,60-40,好地,"草地 - ""A"" 賽道",880000,(24.82) (49.34) (1:13.46) (1:36.44),24.82 24.52 24.12 22.98,1,10,醒目再臨 (A314),沈拿,蘇偉賢,123,1117,5,-,6 6 7 1,1:36.44,118
2018-03-18,沙田,1,502,極品絲綢讓賽,第四班,1600,60-40,好地,"草地 - ""A"" 賽道",880000,(24.82) (49.34) (1:13.46) (1:36.44),24.82 24.52 24.12 22.98,2,13,奔馳寶馬 (V038),梁家俊,蘇保羅,114,1200,1,1-1/4,3 3 3 2,1:36.61,12
2018-03-18,沙田,1,502,極品絲綢讓賽,第四班,1600,60-40,好地,"草地 - ""A"" 賽道",880000,(24.82) (49.34) (1:13.46) (1:36.44),24.82 24.52 24.12 22.98,3,8,快閃的 (A189),田泰安,霍利時,124,1022,13,1-3/4,1 1 1 3,1:36.71,24
2018-03-18,沙田,1,502,極品絲綢讓賽,第四班,1600,60-40,好地,"草地 - ""A"" 賽道",880000,(24.82) (49.34) (1:13.46) (1:36.44),24.82 24.52 24.12 22.98,4,7,紅麗舍 (A005),祈普敦,文家良,128,1131,12,2,13 10 6 4,1:36.75,11
2018-03-18,沙田,1,502,極品絲綢讓賽,第四班,1600,60-40,好地,"草地 - ""A"" 賽道",880000,(24.82) (49.34) (1:13.46) (1:36.44),24.82 24.52 24.12 22.98,5,5,南莊加寶 (B048),楊明綸,李易達,128,1079,10,2,9 8 9 5,1:36.77,5.1
2018-03-18,沙田,1,502,極品絲綢讓賽,第四班,1600,60-40,好地,"草地 - ""A"" 賽道",880000,(24.82) (49.34) (1:13.46) (1:36.44),24.82 24.52 24.12 22.98,6,12,怪獸都市 (A190),蔡明紹,何良,117,1110,6,2-1/4,2 2 2 6,1:36.79,17
2018-03-18,沙田,1,502,極品絲綢讓賽,第四班,1600,60-40,好地,"草地 - ""A"" 賽道",880000,(24.82) (49.34) (1:13.46) (1:36.44),24.82 24.52 24.12 22.98,7,11,永益善 (B003),莫雷拉,沈集成,119,1107,3,2-3/4,5 7 8 7,1:36.87,6.5
2018-03-18,沙田,1,502,極品絲綢讓賽,第四班,1600,60-40,好地,"草地 - ""A"" 賽道",880000,(24.82) (49.34) (1:13.46) (1:36.44),24.82 24.52 24.12 22.98,8,9,軒轅齊飛 (V250),李寶利,葉楚航,123,1204,8,2-3/4,8 9 10 8,1:36.89,20
2018-03-18,沙田,1,502,極品絲綢讓賽,第四班,1600,60-40,好地,"草地 - ""A"" 賽道",880000,(24.82) (49.34) (1:13.46) (1:36.44),24.82 24.52 24.12 22.98,9,2,都市神話 (A086),潘頓,容天鵬,132,1000,4,3-3/4,7 11 12 9,1:37.05,6
2018-03-18,沙田,1,502,極品絲綢讓賽,第四班,1600,60-40,好地,"草地 - ""A"" 賽道",880000,(24.82) (49.34) (1:13.46) (1:36.44),24.82 24.52 24.12 22.98,10,14,五陵霸 (A311),黃皓楠,姚本輝,110,1159,2,3-3/4,4 4 4 10,1:37.05,61
