date,venue,race_no,finish_pos,horse_no,horse_name,finish_time,sec1_margin,sec1_running_pos,sec1_time,sec2_margin,sec2_running_pos,sec2_time,sec3_margin,sec3_running_pos,sec3_time,sec4_margin,sec4_running_pos,sec4_time,sec5_margin,sec5_running_pos,sec5_time,sec6_margin,sec6_running_pos,sec6_time
2018-10-31,沙田,1,1,6,好叻仔 (V102),1:39.17,2,5,28.18,1-3/4,4,22.50,1/2,2,23.45,4-1/2,1,25.04,,,,,,
2018-10-31,沙田,1,2,4,劍二十 (A330),1:39.91,1,1,27.86,3/4,1,22.54,1/2,1,23.65,4-1/2,2,25.86,,,,,,
2018-10-31,沙田,1,3,10,糖黐豆 (S205),1:40.24,6-1/4,13,28.86,7,14,22.66,10-3/4,11,24.25,6-1/2,3,24.47,,,,,,
2018-10-31,沙田,1,4,9,萬霸駒 (A186),1:40.29,4-1/2,10,28.58,6-1/4,11,22.82,7-3/4,9,23.89,7,4,25.00,,,,,,
2018-10-31,沙田,1,5,13,漸信名駒 (T253),1:40.42,3,6,28.34,3-3/4,7,22.66,3-1/4,4,23.57,7-3/4,5,25.85,,,,,,
2018-10-31,沙田,1,6,2,神乎其技 (A174),1:40.75,1,2,28.02,3/4,2,22.50,2-1/4,3,23.89,9-3/4,6,26.34,,,,,,
2018-10-31,沙田,1,7,11,日東昇 (V302),1:41.11,1-3/4,4,28.14,3-1/2,6,22.82,7,7,24.21,12,7,25.94,,,,,,
2018-10-31,沙田,1,8,1,無限欣賞 (V072),1:41.29,6-1/2,14,28.90,7,12,22.62,10,10,24.13,13-1/4,8,25.64,,,,,,
2018-10-31,沙田,1,9,8,金錢炮 (T022),1:41.41,5-3/4,12,28.78,7,13,22.74,11-1/2,12,24.37,14,9,25.52,,,,,,
2018-10-31,沙田,1,10,5,勇晉神駒 (T233),1:41.62,1-1/2,3,28.10,2-1/4,5,22.66,4-3/4,5,24.05,15-1/4,10,26.81,,,,,,
2018-10-31,沙田,1,11,14,好性格 (V060),1:42.33,3,7,28.34,5,8,22.86,7-1/2,8,24.05,19-3/4,11,27.08,,,,,,
2018-10-31,沙田,1,12,12,大地威龍 (A233),1:43.15,3-1/4,8,28.38,1-1/4,3,22.22,6-1/4,6,24.45,24-3/4,12,28.10,,,,,,
