horse_no,date,work_type,racecourse,track,venue,distance,time,time_sec,splits,partner,rider,placing,comment,gear,workout_details
H392,29/09/2024,踱步,沙田,內圈,沙田 內圈,,,,,,助手,,快踱一圈,PH,內圈 快踱一圈 (助手)
H392,28/09/2024,游水,沙田,,沙田,,,,,,,,游水,,
H392,28/09/2024,踱步,沙田,內圈,沙田 內圈,,,,,,助手,,快踱一圈,PH,內圈 快踱一圈 (助手)
H392,27/09/2024,游水,沙田,,沙田,,,,,,,,游水,,
H392,27/09/2024,快操,沙田,全天候,沙田 全天候,,53.4,53.4,28.8 24.6,,助手,,快操,PH,28.8 24.6 (53.4) (助手)
H392,27/09/2024,踱步,沙田,飛機場,沙田 飛機場,,,,,,副練馬師,,踱步,PH,飛機場 踱步 (副練馬師)
H392,26/09/2024,游水,沙田,,沙田,,,,,,,,游水,,
H392,26/09/2024,踱步,沙田,內圈,沙田 內圈,,,,,,助手,,倒快兩圈,PH,內圈 倒快兩圈 (助手)
H392,25/09/2024,游水,沙田,,沙田,,,,,,,,游水,,
H392,25/09/2024,踱步,沙田,內圈,沙田 內圈,,,,,,助手,,快踱一圈,PH,內圈 快踱一圈 (助手)
H392,24/09/2024,游水,沙田,,沙田,,,,,,,,游水,,
H392,24/09/2024,踱步,沙田,內圈,沙田 內圈,,,,,,助手,,快踱一圈,PH,內圈 快踱一圈 (助手)
H392,23/09/2024,游水,沙田,,沙田,,,,,,,,游水,,
H392,23/09/2024,快操,沙田,草閘,沙田 草閘,,51.4,51.4,27.1 24.3,,潘明輝,,大將鵰神,CP,27.1 24.3 (51.4) (潘明輝) 大將鵰神
H392,23/09/2024,踱步,沙田,飛機場,沙田 飛機場,,,,,,助手,,踱步,H,飛機場 踱步 (助手)
H392,22/09/2024,游水,沙田,,沙田,,,,,,,,游水,,
H392,22/09/2024,踱步,沙田,內圈,沙田 內圈,,,,,,助手,,快踱一圈,PH,內圈 快踱一圈 (助手)
H392,21/09/2024,游水,沙田,,沙田,,,,,,,,游水,,
H392,21/09/2024,踱步,沙田,內圈,沙田 內圈,,,,,,助手,,快踱一圈,PH,內圈 快踱一圈 (助手)
H392,20/09/2024,游水,沙田,,沙田,,,,,,,,游水,,
H392,20/09/2024,踱步,沙田,內圈,沙田 內圈,,,,,,助手,,快踱一圈,PH,內圈 快踱一圈 (助手)
H392,19/09/2024,游水,沙田,,沙田,,,,,,,,游水,,
H392,19/09/2024,踱步,沙田,飛機場,沙田 飛機場,,,,,,助手,,踱步,PH,飛機場 踱步 (助手)
H392,17/09/2024,游水,沙田,,沙田,,,,,,,,游水,,
H392,17/09/2024,快操,沙田,全天候,沙田 全天候,,56.1,56.1,30.1 26.0,,助手,,快操,PH,30.1 26.0 (56.1) (助手)
H392,17/09/2024,踱步,沙田,飛機場,沙田 飛機場,,,,,,助手,,踱步,PH,飛機場 踱步 (助手)
H392,16/09/2024,游水,沙田,,沙田,,,,,,,,游水,,
H392,16/09/2024,踱步,沙田,內圈,沙田 內圈,,,,,,助手,,倒快兩圈,H,內圈 倒快兩圈 (助手)
H392,15/09/2024,游水,沙田,,沙田,,,,,,,,游水,,
H392,15/09/2024,踱步,沙田,內圈,沙田 內圈,,,,,,助手,,快踱一圈,PH,內圈 快踱一圈 (助手)
H392,14/09/2024,游水,沙田,,沙田,,,,,,,,游水,,
H392,14/09/2024,踱步,沙田,內圈,沙田 內圈,,,,,,助手,,快踱一圈,PH,內圈 快踱一圈 (助手)
H392,13/09/2024,游水,沙田,,沙田,,,,,,,,游水,,
H392,13/09/2024,踱步,沙田,內圈,沙田 內圈,,,,,,助手,,快踱一圈,PH,內圈 快踱一圈 (助手)
H392,12/09/2024,游水,沙田,,沙田,,,,,,,,游水,,
H392,12/09/2024,踱步,沙田,飛機場,沙田 飛機場,,,,,,助手,,踱步,PH,飛機場 踱步 (助手)
H392,11/09/2024,游水,沙田,,沙田,,,,,,,,游水,,
H392,08/09/2024,出賽,沙田,草地,沙田 草地,1400M,,,,,潘明輝,3/13,出賽,CP,1400M (潘明輝) (3/13)
H392,08/09/2024,踱步,沙田,飛機場,沙田 飛機場,,,,,,助手,,踱步,PH,飛機場 踱步 (助手)
H392,07/09/2024,游水,沙田,,沙田,,,,,,,,游水,,
H392,07/09/2024,踱步,沙田,內圈,沙田 內圈,,,,,,助手,,快踱一圈,PH,內圈 快踱一圈 (助手)
H392,06/09/2024,游水,沙田,,沙田,,,,,,,,游水,,
H392,05/09/2024,游水,沙田,,沙田,,,,,,,,游水,,
H392,05/09/2024,快操,沙田,全天候,沙田 全天候,,29.9,29.9,29.9,,助手,,快操,PH,29.9 (29.9) (助手)
H392,05/09/2024,踱步,沙田,飛機場,沙田 飛機場,,,,,,副練馬師,,踱步,H,飛機場 踱步 (副練馬師)
H392,04/09/2024,游水,沙田,,沙田,,,,,,,,游水,,
H392,04/09/2024,踱步,沙田,內圈,沙田 內圈,,,,,,助手,,快踱兩圈,PH,內圈 快踱兩圈 (助手)
H392,03/09/2024,游水,沙田,,沙田,,,,,,,,游水,,
H392,03/09/2024,踱步,沙田,內圈,沙田 內圈,,,,,,助手,,快踱一圈,PH,內圈 快踱一圈 (助手)
H392,02/09/2024,游水,沙田,,沙田,,,,,,,,游水,,
H392,02/09/2024,踱步,沙田,內圈,沙田 內圈,,,,,,助手,,倒快兩圈,PH,內圈 倒快兩圈 (助手)
H392,01/09/2024,踱步,沙田,飛機場,沙田 飛機場,,,,,,助手,,踱步,PH,飛機場 踱步 (助手)
H392,30/08/2024,試閘,沙田,全天候,沙田 全天候,1200M,1.10.95,70.95,24.7 23.6 22.6,君達得,潘明輝,,第2組,CP,第2組 (潘明輝) 1200M 君達得 24.7 23.6 22.6 (1.10.95)
H392,29/08/2024,游水,沙田,,沙田,,,,,,,,游水,,
H392,29/08/2024,踱步,沙田,內圈,沙田 內圈,,,,,,助手,,倒快兩圈,PH,內圈 倒快兩圈 (助手)
H392,28/08/2024,游水,沙田,,沙田,,,,,,,,游水,,
H392,28/08/2024,踱步,沙田,內圈,沙田 內圈,,,,,,助手,,快踱一圈,PH,內圈 快踱一圈 (助手)
H392,27/08/2024,游水,沙田,,沙田,,,,,,,,游水,,
H392,27/08/2024,踱步,沙田,內圈,沙田 內圈,,,,,,助手,,快踱一圈,PH,內圈 快踱一圈 (助手)
H392,26/08/2024,游水,沙田,,沙田,,,,,,,,游水,,
H392,26/08/2024,快操,沙田,草地,沙田 草地,,51.3,51.3,28.8 22.5,,助手,,錶之將來,CP,28.8 22.5 (51.3) (助手) 錶之將來
H392,26/08/2024,踱步,沙田,飛機場,沙田 飛機場,,,,,,助手,,踱步,CP,飛機場 踱步 (助手)
H392,25/08/2024,游水,沙田,,沙田,,,,,,,,游水,,
H392,25/08/2024,踱步,沙田,內圈,沙田 內圈,,,,,,助手,,快踱兩圈,PH,內圈 快踱兩圈 (助手)
H392,24/08/2024,游水,沙田,,沙田,,,,,,,,游水,,
H392,24/08/2024,踱步,沙田,內圈,沙田 內圈,,,,,,助手,,快踱一圈,PH,內圈 快踱一圈 (助手)
H392,23/08/2024,游水,沙田,,沙田,,,,,,,,游水,,
H392,23/08/2024,快操,沙田,全天候,沙田 全天候,,55.4,55.4,30.1 25.3,,助手,,錶之將來,PH,30.1 25.3 (55.4) (助手) 錶之將來
H392,23/08/2024,踱步,沙田,飛機場,沙田 飛機場,,,,,,助手,,踱步,PH,飛機場 踱步 (助手)
H392,22/08/2024,游水,沙田,,沙田,,,,,,,,游水,,
H392,22/08/2024,踱步,沙田,內圈,沙田 內圈,,,,,,助手,,倒快兩圈,PH,內圈 倒快兩圈 (助手)
H392,21/08/2024,游水,沙田,,沙田,,,,,,,,游水,,
H392,21/08/2024,踱步,沙田,內圈,沙田 內圈,,,,,,助手,,快踱一圈,PH,內圈 快踱一圈 (助手)
H392,20/08/2024,游水,沙田,,沙田,,,,,,,,游水,,
H392,20/08/2024,快操,沙田,全天候,沙田 全天候,,54.6,54.6,30.3 24.3,,助手,,錶之將來,PH,30.3 24.3 (54.6) (助手) 錶之將來
H392,20/08/2024,踱步,沙田,飛機場,沙田 飛機場,,,,,,助手,,踱步,PH,飛機場 踱步 (助手)
H392,19/08/2024,游水,沙田,,沙田,,,,,,,,游水,,
H392,19/08/2024,踱步,沙田,內圈,沙田 內圈,,,,,,助手,,倒快兩圈,PH,內圈 倒快兩圈 (助手)
H392,18/08/2024,游水,沙田,,沙田,,,,,,,,游水,,
H392,17/08/2024,游水,沙田,,沙田,,,,,,,,游水,,
H392,17/08/2024,快操,沙田,全天候,沙田 全天候,,55.4,55.4,30.0 25.4,,助手,,快操,H,30.0 25.4 (55.4) (助手)
H392,17/08/2024,踱步,沙田,飛機場,沙田 飛機場,,,,,,助手,,踱步,PH,飛機場 踱步 (助手)
H392,16/08/2024,游水,沙田,,沙田,,,,,,,,游水,,
H392,16/08/2024,踱步,沙田,內圈,沙田 內圈,,,,,,助手,,快踱一圈,PH,內圈 快踱一圈 (助手)
H392,15/08/2024,游水,沙田,,沙田,,,,,,,,游水,,
H392,15/08/2024,踱步,沙田,內圈,沙田 內圈,,,,,,助手,,倒快兩圈,H,內圈 倒快兩圈 (助手)
