horse_no,date,work_type,racecourse,track,venue,distance,time,time_sec,splits,partner,rider,placing,comment,gear,workout_details
H380,09/09/2026,踱步,沙田,內圈,沙田 內圈,,,,,,助手,,快踱一圈,H,內圈 快踱一圈 (助手)
H380,08/09/2026,游水,沙田,,沙田,,,,,,,,游水,,
H380,08/09/2026,踱步,沙田,內圈,沙田 內圈,,,,,,助手,,快踱一圈,,內圈 快踱一圈 (助手)
H380,07/09/2026,游水,沙田,,沙田,,,,,,,,游水,,
H380,07/09/2026,踱步,沙田,內圈,沙田 內圈,,,,,,助手,,倒快一圈,H,內圈 倒快一圈 (助手)
H380,06/09/2026,游水,沙田,,沙田,,,,,,,,游水,,
H380,05/09/2026,游水,沙田,,沙田,,,,,,,,游水,,
H380,05/09/2026,踱步,沙田,內圈,沙田 內圈,,,,,,助手,,快踱一圈,H,內圈 快踱一圈 (助手)
H380,04/09/2026,游水,沙田,,沙田,,,,,,,,游水,,
H380,04/09/2026,踱步,沙田,飛機場,沙田 飛機場,,,,,,助手,,踱步,H,飛機場 踱步 (助手)
H380,03/09/2026,試閘,沙田,全天候,沙田 全天候,1200M,1.09.97,69.97,24.4 22.8 22.7,星運傳奇,何澤堯,,第1組,B,第1組 (何澤堯) 1200M 星運傳奇 24.4 22.8 22.7 (1.09.97)
H380,03/09/2026,踱步,沙田,飛機場,沙田 飛機場,,,,,,助手,,踱步,H,飛機場 踱步 (助手)
H380,02/09/2026,游水,沙田,,沙田,,,,,,,,游水,,
H380,02/09/2026,踱步,沙田,內圈,沙田 內圈,,,,,,助手,,快踱一圈,H,內圈 快踱一圈 (助手)
H380,01/09/2026,游水,沙田,,沙田,,,,,,,,游水,,
H380,01/09/2026,踱步,沙田,內圈,沙田 內圈,,,,,,助手,,快踱一圈,H,內圈 快踱一圈 (助手)
H380,31/08/2026,游水,沙田,,沙田,,,,,,,,游水,,
H380,31/08/2026,快操,沙田,全天候,沙田 全天候,,55.0,55.0,29.2 25.8,,助手,,快操,H,29.2 25.8 (55.0) (助手)
H380,31/08/2026,踱步,沙田,飛機場,沙田 飛機場,,,,,,助手,,踱步,H,飛機場 踱步 (助手)
H380,30/08/2026,游水,沙田,,沙田,,,,,,,,游水,,
H380,29/08/2026,游水,沙田,,沙田,,,,,,,,游水,,
H380,29/08/2026,踱步,沙田,內圈,沙田 內圈,,,,,,助手,,快踱一圈,H,內圈 快踱一圈 (助手)
H380,28/08/2026,游水,沙田,,沙田,,,,,,,,游水,,
H380,28/08/2026,踱步,沙田,內圈,沙田 內圈,,,,,,助手,,快踱一圈,H,內圈 快踱一圈 (助手)
H380,27/08/2026,游水,沙田,,沙田,,,,,,,,游水,,
H380,26/08/2026,游水,從化,,從化,,,,,,,,游水,,
H380,26/08/2026,踱步,從化,飛機場,從化 飛機場,,,,,,助手,,踱步,H,飛機場 踱步 (助手)
H380,25/08/2026,游水,從化,,從化,,,,,,,,游水,,
H380,25/08/2026,快操,從化,全天候,從化 全天候,,59.7,59.7,32.5 27.2,,助手,,快操,H,32.5 27.2 (59.7) (助手)
H380,25/08/2026,踱步,從化,飛機場,從化 飛機場,,,,,,助手,,踱步,H,飛機場 踱步 (助手)
H380,24/08/2026,馬匹水中步行機,從化,,從化,,,,,,,,馬匹水中步行機,,
H380,24/08/2026,游水,從化,,從化,,,,,,,,游水,,
H380,24/08/2026,踱步,從化,內圈,從化 內圈,,,,,,助手,,倒快一圈,H,內圈 倒快一圈 (助手)
H380,23/08/2026,游水,從化,,從化,,,,,,,,游水,,
H380,22/08/2026,游水,從化,,從化,,,,,,,,游水,,
H380,22/08/2026,踱步,從化,內圈,從化 內圈,,,,,,助手,,快踱一圈,H,內圈 快踱一圈 (助手)
H380,21/08/2026,游水,從化,,從化,,,,,,,,游水,,
H380,21/08/2026,快操,從化,全天候,從化 全天候,,54.9,54.9,29.0 25.9,,助手,,快操,H,29.0 25.9 (54.9) (助手)
H380,21/08/2026,踱步,從化,飛機場,從化 飛機場,,,,,,助手,,踱步,H,飛機場 踱步 (助手)
H380,20/08/2026,游水,從化,,從化,,,,,,,,游水,,
H380,20/08/2026,踱步,從化,內圈,從化 內圈,,,,,,助手,,倒快一圈,H,內圈 倒快一圈 (助手)
H380,19/08/2026,游水,從化,,從化,,,,,,,,游水,,
H380,19/08/2026,踱步,從化,內圈,從化 內圈,,,,,,助手,,快踱一圈,H,內圈 快踱一圈 (助手)
H380,18/08/2026,游水,從化,,從化,,,,,,,,游水,,
H380,18/08/2026,快操,從化,全天候,從化 全天候,,56.4,56.4,29.5 26.9,,助手,,快操,H,29.5 26.9 (56.4) (助手)
H380,18/08/2026,踱步,從化,飛機場,從化 飛機場,,,,,,助手,,踱步,H,飛機場 踱步 (助手)
H380,17/08/2026,馬匹水中步行機,從化,,從化,,,,,,,,馬匹水中步行機,,
H380,17/08/2026,游水,從化,,從化,,,,,,,,游水,,
H380,17/08/2026,踱步,從化,內圈,從化 內圈,,,,,,助手,,倒快一圈,H,內圈 倒快一圈 (助手)
H380,16/08/2026,游水,從化,,從化,,,,,,,,游水,,
H380,15/08/2026,游水,從化,,從化,,,,,,,,游水,,
H380,15/08/2026,快操,從化,全天候,從化 全天候,,58.5,58.5,30.9 27.6,,助手,,快操,H,30.9 27.6 (58.5) (助手)
H380,15/08/2026,踱步,從化,飛機場,從化 飛機場,,,,,,助手,,踱步,H,飛機場 踱步 (助手)
H380,14/08/2026,游水,從化,,從化,,,,,,,,游水,,
