horse_no,date,work_type,racecourse,track,venue,distance,time,time_sec,splits,partner,rider,placing,comment,gear,workout_details
H396,17/09/2026,馬匹水中步行機,從化,,從化,,,,,,,,馬匹水中步行機,,
H396,17/09/2026,游水,從化,,從化,,,,,,,,游水,,
H396,15/09/2026,游水,沙田,,沙田,,,,,,,,游水,,
H396,14/09/2026,游水,沙田,,沙田,,,,,,,,游水,,
H396,13/09/2026,出賽,沙田,草地,沙田 草地,1000M,,,,,黃寶妮,9/14,出賽,XB,1000M (黃寶妮) (9/14)
H396,13/09/2026,踱步,沙田,飛機場,沙田 飛機場,,,,,,助手,,踱步,H/P/XB,飛機場 踱步 (助手)
H396,12/09/2026,馬匹跑步機,沙田,,沙田,,,,,,上斜,,馬匹跑步機 - 慢跑,,馬匹跑步機 - 慢跑 （上斜）
H396,12/09/2026,游水,沙田,,沙田,,,,,,,,游水,,
H396,11/09/2026,馬匹跑步機,沙田,,沙田,,,,,,上斜,,馬匹跑步機 - 慢跑,,馬匹跑步機 - 慢跑 （上斜）
H396,11/09/2026,游水,沙田,,沙田,,,,,,,,游水,,
H396,10/09/2026,游水,沙田,,沙田,,,,,,,,游水,,
H396,09/09/2026,游水,從化,,從化,,,,,,,,游水,,
H396,09/09/2026,踱步,從化,內圈,從化 內圈,,,,,,助手,,快踱一圈,H/P/XB,內圈 快踱一圈 (助手)
H396,08/09/2026,馬匹水中步行機,從化,,從化,,,,,,,,馬匹水中步行機,,
H396,08/09/2026,游水,從化,,從化,,,,,,,,游水,,
H396,07/09/2026,試閘,從化,草地,從化 草地,1000M,0.57.31,57.31,14.0 21.5 21.8,八駿巨昇,黃寶妮,,第1組,XB,第1組 (黃寶妮) 1000M 八駿巨昇 14.0 21.5 21.8 (0.57.31)
H396,07/09/2026,踱步,從化,飛機場,從化 飛機場,,,,,,助手,,踱步,XB,飛機場 踱步 (助手)
H396,06/09/2026,游水,從化,,從化,,,,,,,,游水,,
H396,06/09/2026,踱步,從化,內圈,從化 內圈,,,,,,助手,,快踱一圈,H/P/XB,內圈 快踱一圈 (助手)
H396,05/09/2026,游水,從化,,從化,,,,,,,,游水,,
H396,05/09/2026,踱步,從化,外圈,從化 外圈,,,,,,助手,,快踱一圈,H/P/XB,外圈 快踱一圈 (助手)
H396,04/09/2026,游水,從化,,從化,,,,,,,,游水,,
H396,04/09/2026,踱步,從化,內圈,從化 內圈,,,,,,助手,,快踱一圈,H/P/XB,內圈 快踱一圈 (助手)
H396,03/09/2026,游水,從化,,從化,,,,,,,,游水,,
H396,03/09/2026,踱步,從化,內圈,從化 內圈,,,,,,助手,,倒快兩圈,H/P/XB,內圈 倒快兩圈 (助手)
H396,02/09/2026,游水,從化,,從化,,,,,,,,游水,,
H396,02/09/2026,快操,從化,登山跑道,從化 登山跑道,,52.2,52.2,26.4 25.8,,助手,,快操,H/P/XB,26.4 25.8 (52.2) (助手)
H396,02/09/2026,踱步,從化,飛機場,從化 飛機場,,,,,,助手,,踱步,H/P/XB,飛機場 踱步 (助手)
H396,01/09/2026,游水,從化,,從化,,,,,,,,游水,,
H396,01/09/2026,踱步,從化,內圈,從化 內圈,,,,,,助手,,快踱一圈,H/P/XB,內圈 快踱一圈 (助手)
H396,31/08/2026,游水,從化,,從化,,,,,,,,游水,,
H396,31/08/2026,踱步,從化,內圈,從化 內圈,,,,,,助手,,倒快兩圈,H/P/XB,內圈 倒快兩圈 (助手)
H396,30/08/2026,游水,從化,,從化,,,,,,,,游水,,
H396,30/08/2026,踱步,從化,內圈,從化 內圈,,,,,,助手,,快踱一圈,H/P/XB,內圈 快踱一圈 (助手)
H396,29/08/2026,游水,從化,,從化,,,,,,,,游水,,
H396,29/08/2026,快操,從化,登山跑道,從化 登山跑道,,52.9,52.9,26.4 26.5,,助手,,快操,H/P/XB,26.4 26.5 (52.9) (助手)
