horse_no,date,work_type,racecourse,track,venue,distance,time,time_sec,splits,partner,rider,placing,comment,gear,workout_details
H252,09/09/2026,出賽,跑馬地,草地,跑馬地 草地,1200M,,,,,何澤堯,5/12,出賽,B/H/TT,1200M (何澤堯) (5/12)
H252,09/09/2026,踱步,沙田,飛機場,沙田 飛機場,,,,,,助手,,踱步,H,飛機場 踱步 (助手)
H252,08/09/2026,游水,沙田,,沙田,,,,,,,,游水,,
H252,08/09/2026,踱步,沙田,飛機場,沙田 飛機場,,,,,,助手,,踱步,,飛機場 踱步 (助手)
H252,07/09/2026,游水,沙田,,沙田,,,,,,,,游水,,
H252,07/09/2026,踱步,沙田,飛機場,沙田 飛機場,,,,,,助手,,踱步,H,飛機場 踱步 (助手)
H252,06/09/2026,游水,沙田,,沙田,,,,,,,,游水,,
H252,06/09/2026,快操,沙田,全天候,沙田 全天候,,27.7,27.7,27.7,,助手,,快操,H,27.7 (27.7) (助手)
H252,05/09/2026,游水,沙田,,沙田,,,,,,,,游水,,
H252,05/09/2026,踱步,沙田,內圈,沙田 內圈,,,,,,助手,,快踱一圈,H,內圈 快踱一圈 (助手)
H252,04/09/2026,游水,沙田,,沙田,,,,,,,,游水,,
H252,04/09/2026,踱步,沙田,內圈,沙田 內圈,,,,,,助手,,快踱一圈,H,內圈 快踱一圈 (助手)
H252,03/09/2026,游水,沙田,,沙田,,,,,,,,游水,,
H252,03/09/2026,踱步,沙田,飛機場,沙田 飛機場,,,,,,助手,,踱步,H,飛機場 踱步 (助手)
H252,02/09/2026,游水,沙田,,沙田,,,,,,,,游水,,
H252,01/09/2026,試閘,沙田,全天候,沙田 全天候,1200M,1.11.75,71.75,24.2 22.7 24.8,快樂高球,班德禮,,第6組,B/H,第6組 (班德禮) 1200M 快樂高球 24.2 22.7 24.8 (1.11.75)
H252,31/08/2026,游水,沙田,,沙田,,,,,,,,游水,,
H252,31/08/2026,踱步,沙田,內圈,沙田 內圈,,,,,,助手,,倒快兩圈,H,內圈 倒快兩圈 (助手)
H252,30/08/2026,游水,沙田,,沙田,,,,,,,,游水,,
H252,30/08/2026,踱步,沙田,內圈,沙田 內圈,,,,,,助手,,快踱一圈,H,內圈 快踱一圈 (助手)
H252,29/08/2026,游水,沙田,,沙田,,,,,,,,游水,,
H252,29/08/2026,快操,沙田,全天候,沙田 全天候,,58.0,58.0,29.9 28.1,,助手,,快操,H,29.9 28.1 (58.0) (助手)
H252,28/08/2026,游水,沙田,,沙田,,,,,,,,游水,,
H252,28/08/2026,踱步,沙田,內圈,沙田 內圈,,,,,,助手,,快踱一圈,H,內圈 快踱一圈 (助手)
H252,27/08/2026,游水,沙田,,沙田,,,,,,,,游水,,
H252,27/08/2026,踱步,沙田,內圈,沙田 內圈,,,,,,助手,,倒快兩圈,H,內圈 倒快兩圈 (助手)
H252,26/08/2026,游水,沙田,,沙田,,,,,,,,游水,,
H252,26/08/2026,踱步,沙田,飛機場,沙田 飛機場,,,,,,助手,,踱步,H,飛機場 踱步 (助手)
H252,25/08/2026,游水,沙田,,沙田,,,,,,,,游水,,
H252,25/08/2026,快操,沙田,全天候,沙田 全天候,,1.25.9,85.9,32.2 27.7 26.0,,助手,,快操,B/H,32.2 27.7 26.0 (1.25.9) (助手)
H252,24/08/2026,游水,沙田,,沙田,,,,,,,,游水,,
H252,24/08/2026,踱步,沙田,內圈,沙田 內圈,,,,,,助手,,倒快兩圈,H,內圈 倒快兩圈 (助手)
H252,23/08/2026,游水,沙田,,沙田,,,,,,,,游水,,
H252,23/08/2026,踱步,沙田,內圈,沙田 內圈,,,,,,助手,,快踱一圈,H,內圈 快踱一圈 (助手)
H252,22/08/2026,游水,沙田,,沙田,,,,,,,,游水,,
H252,22/08/2026,快操,沙田,全天候,沙田 全天候,,59.3,59.3,30.8 28.5,,助手,,快操,H,30.8 28.5 (59.3) (助手)
H252,21/08/2026,游水,沙田,,沙田,,,,,,,,游水,,
H252,21/08/2026,踱步,沙田,內圈,沙田 內圈,,,,,,助手,,快踱一圈,H,內圈 快踱一圈 (助手)
H252,20/08/2026,游水,沙田,,沙田,,,,,,,,游水,,
H252,20/08/2026,踱步,沙田,內圈,沙田 內圈,,,,,,助手,,倒快兩圈,H,內圈 倒快兩圈 (助手)
H252,19/08/2026,游水,沙田,,沙田,,,,,,,,游水,,
H252,19/08/2026,踱步,沙田,飛機場,沙田 飛機場,,,,,,助手,,踱步,H,飛機場 踱步 (助手)
H252,18/08/2026,游水,沙田,,沙田,,,,,,,,游水,,
H252,18/08/2026,快操,沙田,全天候,沙田 全天候,,56.2,56.2,30.5 25.7,,助手,,快操,H,30.5 25.7 (56.2) (助手)
H252,17/08/2026,游水,沙田,,沙田,,,,,,,,游水,,
H252,17/08/2026,踱步,沙田,內圈,沙田 內圈,,,,,,助手,,倒快兩圈,H,內圈 倒快兩圈 (助手)
H252,16/08/2026,游水,沙田,,沙田,,,,,,,,游水,,
H252,16/08/2026,踱步,沙田,內圈,沙田 內圈,,,,,,助手,,快踱一圈,H,內圈 快踱一圈 (助手)
H252,15/08/2026,快操,沙田,全天候,沙田 全天候,,57.9,57.9,30.6 27.3,,助手,,快操,H,30.6 27.3 (57.9) (助手)
H252,14/08/2026,游水,沙田,,沙田,,,,,,,,游水,,
