horse_no,date,work_type,racecourse,track,venue,distance,time,time_sec,splits,partner,rider,placing,comment,gear,workout_details
L373,05/09/2026,踱步,沙田,內圈,沙田 內圈,,,,,,助手,,快踱兩圈,H,內圈 快踱兩圈 (助手)
L373,04/09/2026,游水,沙田,,沙田,,,,,,,,游水,,
L373,04/09/2026,踱步,沙田,飛機場,沙田 飛機場,,,,,,助手,,踱步,H,飛機場 踱步 (助手)
L373,03/09/2026,快操,沙田,草閘,沙田 草閘,,49.5,49.5,26.7 22.8,,助手,,快操,B,26.7 22.8 (49.5) (助手)
L373,02/09/2026,游水,沙田,,沙田,,,,,,,,游水,,
L373,02/09/2026,踱步,沙田,內圈,沙田 內圈,,,,,,助手,,快踱兩圈,B/H,內圈 快踱兩圈 (助手)
L373,01/09/2026,游水,沙田,,沙田,,,,,,,,游水,,
L373,01/09/2026,踱步,沙田,內圈,沙田 內圈,,,,,,助手,,快踱兩圈,H,內圈 快踱兩圈 (助手)
L373,31/08/2026,游水,沙田,,沙田,,,,,,,,游水,,
L373,31/08/2026,踱步,沙田,內圈,沙田 內圈,,,,,,助手,,倒快兩圈,H,內圈 倒快兩圈 (助手)
L373,30/08/2026,游水,沙田,,沙田,,,,,,,,游水,,
L373,30/08/2026,踱步,沙田,內圈,沙田 內圈,,,,,,助手,,快踱一圈,H,內圈 快踱一圈 (助手)
L373,29/08/2026,游水,沙田,,沙田,,,,,,,,游水,,
L373,28/08/2026,試閘,沙田,全天候,沙田 全天候,1200M,1.11.75,71.75,24.5 23.1 24.1,興馳千里,霍宏聲,,第1組,,第1組 (霍宏聲) 1200M 興馳千里 24.5 23.1 24.1 (1.11.75)
L373,28/08/2026,踱步,沙田,飛機場,沙田 飛機場,,,,,,助手,,踱步,H,飛機場 踱步 (助手)
L373,27/08/2026,游水,沙田,,沙田,,,,,,,,游水,,
L373,27/08/2026,踱步,沙田,內圈,沙田 內圈,,,,,,助手,,倒快兩圈,H,內圈 倒快兩圈 (助手)
L373,26/08/2026,游水,沙田,,沙田,,,,,,,,游水,,
L373,26/08/2026,踱步,沙田,內圈,沙田 內圈,,,,,,助手,,快踱兩圈,H,內圈 快踱兩圈 (助手)
L373,25/08/2026,游水,沙田,,沙田,,,,,,,,游水,,
L373,25/08/2026,踱步,沙田,內圈,沙田 內圈,,,,,,助手,,快踱兩圈,H,內圈 快踱兩圈 (助手)
L373,24/08/2026,快操,沙田,全天候,沙田 全天候,,1.24.1,84.1,31.4 27.0 25.7,,助手,,快操,H,31.4 27.0 25.7 (1.24.1) (助手)
L373,23/08/2026,游水,沙田,,沙田,,,,,,,,游水,,
L373,23/08/2026,踱步,沙田,內圈,沙田 內圈,,,,,,助手,,快踱一圈,H,內圈 快踱一圈 (助手)
L373,22/08/2026,游水,沙田,,沙田,,,,,,,,游水,,
L373,22/08/2026,踱步,沙田,內圈,沙田 內圈,,,,,,助手,,快踱兩圈,H,內圈 快踱兩圈 (助手)
L373,21/08/2026,游水,沙田,,沙田,,,,,,,,游水,,
L373,21/08/2026,踱步,沙田,內圈,沙田 內圈,,,,,,助手,,快踱兩圈,H,內圈 快踱兩圈 (助手)
L373,20/08/2026,游水,沙田,,沙田,,,,,,,,游水,,
L373,20/08/2026,踱步,沙田,內圈,沙田 內圈,,,,,,助手,,倒快兩圈,H,內圈 倒快兩圈 (助手)
L373,19/08/2026,快操,沙田,全天候,沙田 全天候,,51.6,51.6,27.5 24.1,,助手,,日日獎,H,27.5 24.1 (51.6) (助手) 日日獎
L373,19/08/2026,踱步,沙田,飛機場,沙田 飛機場,,,,,,助手,,踱步,H,飛機場 踱步 (助手)
L373,18/08/2026,游水,沙田,,沙田,,,,,,,,游水,,
L373,18/08/2026,踱步,沙田,內圈,沙田 內圈,,,,,,助手,,快踱兩圈,H,內圈 快踱兩圈 (助手)
L373,17/08/2026,游水,沙田,,沙田,,,,,,,,游水,,
L373,17/08/2026,踱步,沙田,內圈,沙田 內圈,,,,,,助手,,倒快兩圈,H,內圈 倒快兩圈 (助手)
L373,16/08/2026,快操,沙田,全天候,沙田 全天候,,55.2,55.2,28.2 27.0,,助手,,快操,H,28.2 27.0 (55.2) (助手)
L373,16/08/2026,踱步,沙田,飛機場,沙田 飛機場,,,,,,助手,,踱步,H,飛機場 踱步 (助手)
L373,15/08/2026,游水,沙田,,沙田,,,,,,,,游水,,
L373,15/08/2026,踱步,沙田,內圈,沙田 內圈,,,,,,助手,,快踱兩圈,H,內圈 快踱兩圈 (助手)
L373,14/08/2026,游水,沙田,,沙田,,,,,,,,游水,,
L373,14/08/2026,踱步,沙田,內圈,沙田 內圈,,,,,,助手,,快踱兩圈,H,內圈 快踱兩圈 (助手)
L373,13/08/2026,游水,沙田,,沙田,,,,,,,,游水,,
L373,13/08/2026,踱步,沙田,內圈,沙田 內圈,,,,,,助手,,倒快兩圈,H,內圈 倒快兩圈 (助手)
L373,12/08/2026,游水,沙田,,沙田,,,,,,,,游水,,
L373,12/08/2026,踱步,沙田,內圈,沙田 內圈,,,,,,助手,,快踱兩圈,H,內圈 快踱兩圈 (助手)
L373,11/08/2026,快操,沙田,全天候,沙田 全天候,,54.6,54.6,29.8 24.8,,助手,,快操,H,29.8 24.8 (54.6) (助手)
L373,11/08/2026,踱步,沙田,飛機場,沙田 飛機場,,,,,,助手,,踱步,H,飛機場 踱步 (助手)
L373,10/08/2026,游水,沙田,,沙田,,,,,,,,游水,,
L373,10/08/2026,踱步,沙田,內圈,沙田 內圈,,,,,,助手,,倒快兩圈,H,內圈 倒快兩圈 (助手)
L373,09/08/2026,游水,沙田,,沙田,,,,,,,,游水,,
L373,09/08/2026,踱步,沙田,內圈,沙田 內圈,,,,,,助手,,快踱兩圈,H,內圈 快踱兩圈 (助手)
L373,08/08/2026,快操,沙田,全天候,沙田 全天候,,58.3,58.3,31.6 26.7,,助手,,快操,H,31.6 26.7 (58.3) (助手)
L373,07/08/2026,游水,沙田,,沙田,,,,,,,,游水,,
L373,07/08/2026,踱步,沙田,內圈,沙田 內圈,,,,,,助手,,快踱兩圈,H,內圈 快踱兩圈 (助手)
L373,06/08/2026,游水,沙田,,沙田,,,,,,,,游水,,
L373,06/08/2026,踱步,沙田,內圈,沙田 內圈,,,,,,助手,,倒快兩圈,H,內圈 倒快兩圈 (助手)
L373,05/08/2026,踱步,沙田,內圈,沙田 內圈,,,,,,助手,,快踱一圈,H,內圈 快踱一圈 (助手)
L373,04/08/2026,踱步,沙田,內圈,沙田 內圈,,,,,,助手,,快踱一圈,H,內圈 快踱一圈 (助手)
L373,03/08/2026,踱步,沙田,內圈,沙田 內圈,,,,,,助手,,快踱一圈,H,內圈 快踱一圈 (助手)
L373,02/08/2026,踱步,沙田,內圈,沙田 內圈,,,,,,助手,,快踱一圈,H,內圈 快踱一圈 (助手)
L373,01/08/2026,踱步,沙田,內圈,沙田 內圈,,,,,,助手,,快踱一圈,H,內圈 快踱一圈 (助手)
L373,31/07/2026,踱步,沙田,飛機場,沙田 飛機場,,,,,,助手,,踱步,H,飛機場 踱步 (助手)
L373,30/07/2026,踱步,沙田,飛機場,沙田 飛機場,,,,,,助手,,踱步,H,飛機場 踱步 (助手)
L373,29/07/2026,踱步,沙田,飛機場,沙田 飛機場,,,,,,助手,,踱步,H,飛機場 踱步 (助手)
L373,28/07/2026,踱步,沙田,飛機場,沙田 飛機場,,,,,,助手,,踱步,H,飛機場 踱步 (助手)
L373,27/07/2026,踱步,沙田,飛機場,沙田 飛機場,,,,,,助手,,踱步,H,飛機場 踱步 (助手)
L373,04/07/2026,出賽,沙田,草地,沙田 草地,1400M,,,,,莫雷拉,3/14,出賽,TT,1400M (莫雷拉) (3/14)
L373,03/07/2026,游水,沙田,,沙田,,,,,,,,游水,,
L373,03/07/2026,踱步,沙田,內圈,沙田 內圈,,,,,,助手,,快踱兩圈,H,內圈 快踱兩圈 (助手)
L373,02/07/2026,快操,沙田,全天候,沙田 全天候,,52.7,52.7,26.7 26.0,,助手,,快操,H,26.7 26.0 (52.7) (助手)
L373,01/07/2026,游水,沙田,,沙田,,,,,,,,游水,,
L373,01/07/2026,踱步,沙田,外圈,沙田 外圈,,,,,,莫雷拉,,快踱一圈,H,外圈 快踱一圈 (莫雷拉)
L373,30/06/2026,游水,沙田,,沙田,,,,,,,,游水,,
L373,30/06/2026,踱步,沙田,內圈,沙田 內圈,,,,,,莫雷拉,,快踱兩圈,H,內圈 快踱兩圈 (莫雷拉)
L373,29/06/2026,游水,沙田,,沙田,,,,,,,,游水,,
