horse_no,date,work_type,racecourse,track,venue,distance,time,time_sec,splits,partner,rider,placing,comment,gear,workout_details
L328,09/09/2026,出賽,跑馬地,草地,跑馬地 草地,1000M,,,,,班德禮,8/12,出賽,CP,1000M (班德禮) (8/12)
L328,08/09/2026,游水,沙田,,沙田,,,,,,,,游水,,
L328,07/09/2026,游水,沙田,,沙田,,,,,,,,游水,,
L328,07/09/2026,踱步,沙田,外圈,沙田 外圈,,,,,,助手,,快踱一圈,H,外圈 快踱一圈 (助手)
L328,06/09/2026,游水,沙田,,沙田,,,,,,,,游水,,
L328,06/09/2026,踱步,沙田,內圈,沙田 內圈,,,,,,助手,,快踱一圈,H,內圈 快踱一圈 (助手)
L328,05/09/2026,游水,從化,,從化,,,,,,,,游水,,
L328,05/09/2026,快操,從化,全天候,從化 全天候,,28.2,28.2,28.2,,助手,,快操,H,28.2 (28.2) (助手)
L328,05/09/2026,踱步,從化,飛機場,從化 飛機場,,,,,,助手,,踱步,H,飛機場 踱步 (助手)
L328,04/09/2026,游水,從化,,從化,,,,,,,,游水,,
L328,04/09/2026,踱步,從化,內圈,從化 內圈,,,,,,助手,,快踱一圈,H,內圈 快踱一圈 (助手)
L328,03/09/2026,游水,從化,,從化,,,,,,,,游水,,
L328,03/09/2026,踱步,從化,內圈,從化 內圈,,,,,,助手,,倒快兩圈,H,內圈 倒快兩圈 (助手)
L328,02/09/2026,游水,從化,,從化,,,,,,,,游水,,
L328,02/09/2026,踱步,從化,內圈,從化 內圈,,,,,,助手,,快踱一圈,H,內圈 快踱一圈 (助手)
L328,01/09/2026,游水,從化,,從化,,,,,,,,游水,,
L328,31/08/2026,試閘,從化,草地,從化 草地,1000M,0.58.12,58.12,13.6 21.7 22.8,天外富天,楊明綸,,第4組,,第4組 (楊明綸) 1000M 天外富天 13.6 21.7 22.8 (0.58.12)
L328,31/08/2026,踱步,從化,飛機場,從化 飛機場,,,,,,助手,,踱步,,飛機場 踱步 (助手)
L328,30/08/2026,游水,從化,,從化,,,,,,,,游水,,
L328,30/08/2026,踱步,從化,飛機場,從化 飛機場,,,,,,助手,,踱步,H,飛機場 踱步 (助手)
L328,29/08/2026,游水,從化,,從化,,,,,,,,游水,,
L328,29/08/2026,踱步,從化,內圈,從化 內圈,,,,,,助手,,快踱一圈,H,內圈 快踱一圈 (助手)
L328,28/08/2026,游水,從化,,從化,,,,,,,,游水,,
L328,27/08/2026,游水,從化,,從化,,,,,,,,游水,,
L328,27/08/2026,快操,從化,草地,從化 草地,,23.9,23.9,23.9,,助手,,棉棉日上,,23.9 (23.9) (助手) 棉棉日上
