horse_no,date,work_type,racecourse,track,venue,distance,time,time_sec,splits,partner,rider,placing,comment,gear,workout_details
E471,01/06/2023,踱步,沙田,內圈,沙田 內圈,,,,,,助手,,倒快一圈,H,內圈 倒快一圈 (助手)
E471,31/05/2023,游水,沙田,,沙田,,,,,,,,游水,,
E471,31/05/2023,踱步,沙田,內圈,沙田 內圈,,,,,,助手,,快踱一圈,H,內圈 快踱一圈 (助手)
E471,30/05/2023,游水,沙田,,沙田,,,,,,,,游水,,
E471,30/05/2023,踱步,沙田,內圈,沙田 內圈,,,,,,助手,,快踱一圈,H,內圈 快踱一圈 (助手)
E471,29/05/2023,游水,沙田,,沙田,,,,,,,,游水,,
E471,29/05/2023,踱步,沙田,內圈,沙田 內圈,,,,,,助手,,倒快一圈,H,內圈 倒快一圈 (助手)
E471,24/05/2023,踱步,沙田,內圈,沙田 內圈,,,,,,助手,,快踱一圈,H,內圈 快踱一圈 (助手)
E471,23/05/2023,游水,沙田,,沙田,,,,,,,,游水,,
E471,23/05/2023,踱步,沙田,內圈,沙田 內圈,,,,,,助手,,快踱一圈,H,內圈 快踱一圈 (助手)
E471,22/05/2023,游水,沙田,,沙田,,,,,,,,游水,,
E471,22/05/2023,踱步,沙田,內圈,沙田 內圈,,,,,,助手,,倒快一圈,H,內圈 倒快一圈 (助手)
E471,21/05/2023,游水,沙田,,沙田,,,,,,,,游水,,
E471,21/05/2023,快操,沙田,全天候,沙田 全天候,,56.4,56.4,31.0 25.4,,助手,,快操,B,31.0 25.4 (56.4) (助手)
E471,21/05/2023,踱步,沙田,飛機場,沙田 飛機場,,,,,,助手,,踱步,B,飛機場 踱步 (助手)
E471,20/05/2023,踱步,沙田,內圈,沙田 內圈,,,,,,助手,,快踱一圈,H,內圈 快踱一圈 (助手)
E471,19/05/2023,游水,沙田,,沙田,,,,,,,,游水,,
E471,19/05/2023,踱步,沙田,內圈,沙田 內圈,,,,,,助手,,快踱一圈,H,內圈 快踱一圈 (助手)
E471,18/05/2023,游水,沙田,,沙田,,,,,,,,游水,,
E471,18/05/2023,快操,沙田,草閘,沙田 草閘,,48.4,48.4,25.4 23.0,,助手,,"小神仙, 鑽石寶寶",B,"25.4 23.0 (48.4) (助手) 小神仙, 鑽石寶寶"
E471,18/05/2023,踱步,沙田,飛機場,沙田 飛機場,,,,,,助手,,踱步,B,飛機場 踱步 (助手)
E471,17/05/2023,游水,沙田,,沙田,,,,,,,,游水,,
E471,16/05/2023,游水,沙田,,沙田,,,,,,,,游水,,
E471,16/05/2023,快操,沙田,全天候,沙田 全天候,,54.4,54.4,28.7 25.7,,助手,,快操,H,28.7 25.7 (54.4) (助手)
E471,15/05/2023,游水,沙田,,沙田,,,,,,,,游水,,
E471,15/05/2023,踱步,沙田,內圈,沙田 內圈,,,,,,助手,,倒快兩圈,H,內圈 倒快兩圈 (助手)
E471,14/05/2023,游水,沙田,,沙田,,,,,,,,游水,,
E471,14/05/2023,踱步,沙田,內圈,沙田 內圈,,,,,,助手,,快踱一圈,H,內圈 快踱一圈 (助手)
E471,13/05/2023,游水,沙田,,沙田,,,,,,,,游水,,
E471,13/05/2023,踱步,沙田,內圈,沙田 內圈,,,,,,助手,,快踱一圈,H,內圈 快踱一圈 (助手)
E471,12/05/2023,踱步,從化,內圈,從化 內圈,,,,,,助手,,快踱一圈,H,內圈 快踱一圈 (助手)
E471,11/05/2023,快操,從化,草地,從化 草地,,52.3,52.3,25.9 26.4,,助手,,快操,H,25.9 26.4 (52.3) (助手)
E471,11/05/2023,踱步,從化,飛機場,從化 飛機場,,,,,,助手,,踱步,H,飛機場 踱步 (助手)
