horse_no,date,work_type,racecourse,track,workout_details,gear
J063,13/06/2026,出賽,沙田,草地,1200M (田泰安) (6/11),B
J063,12/06/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H
J063,11/06/2026,踱步,沙田,內圈,內圈 倒快兩圈 (助手),H
J063,10/06/2026,快操,沙田,全天候,29.7 26.1 (55.8) (助手),H
J063,10/06/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),H
J063,09/06/2026,踱步,沙田,內圈,內圈 快踱兩圈 (助手),H
J063,08/06/2026,踱步,沙田,內圈,內圈 倒快兩圈 (助手),H
J063,07/06/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H
J063,06/06/2026,快操,沙田,全天候,29.2 26.6 (55.8) (助手),H
J063,06/06/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),H
J063,05/06/2026,踱步,沙田,內圈,內圈 快踱兩圈 (助手),H
J063,04/06/2026,踱步,沙田,內圈,內圈 倒快兩圈 (助手),H
J063,03/06/2026,快操,沙田,全天候,29.0 25.9 (54.9) (助手),H
J063,03/06/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),H
J063,02/06/2026,踱步,沙田,內圈,內圈 快踱兩圈 (助手),H
J063,01/06/2026,踱步,沙田,內圈,內圈 倒快兩圈 (助手),H
J063,31/05/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H
J063,30/05/2026,快操,沙田,全天候,31.1 27.5 (58.6) (助手),H
J063,30/05/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),H
J063,29/05/2026,踱步,沙田,內圈,內圈 快踱兩圈 (助手),H
J063,28/05/2026,踱步,沙田,內圈,內圈 倒快兩圈 (助手),H
J063,27/05/2026,快操,沙田,全天候,29.7 25.4 (55.1) (助手),H
J063,27/05/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),H
J063,26/05/2026,踱步,沙田,內圈,內圈 快踱兩圈 (助手),H
J063,25/05/2026,踱步,沙田,內圈,內圈 倒快兩圈 (助手),H
J063,24/05/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H
J063,23/05/2026,快操,沙田,全天候,28.9 25.4 (54.3) (助手),H
