horse_no,date,work_type,racecourse,track,venue,distance,time,time_sec,splits,partner,rider,placing,comment,gear,workout_details
E175,05/09/2026,快操,沙田,全天候,沙田 全天候,,25.0,25.0,25.0,,助手,,快操,,25.0 (25.0) (助手)
E175,04/09/2026,游水,沙田,,沙田,,,,,,,,游水,,
E175,04/09/2026,踱步,沙田,內圈,沙田 內圈,,,,,,助手,,快踱一圈,H/SR/XB,內圈 快踱一圈 (助手)
E175,03/09/2026,游水,沙田,,沙田,,,,,,,,游水,,
E175,03/09/2026,踱步,沙田,內圈,沙田 內圈,,,,,,助手,,倒快一圈,H/SR/XB,內圈 倒快一圈 (助手)
E175,02/09/2026,游水,沙田,,沙田,,,,,,,,游水,,
E175,01/09/2026,游水,從化,,從化,,,,,,,,游水,,
E175,01/09/2026,快操,從化,草地,從化 草地,,55.1,55.1,29.2 25.9,,助手,,快操,SR,29.2 25.9 (55.1) (助手)
E175,01/09/2026,踱步,從化,飛機場,從化 飛機場,,,,,,助手,,踱步,SR,飛機場 踱步 (助手)
E175,31/08/2026,馬匹水中步行機,從化,,從化,,,,,,,,馬匹水中步行機,,
E175,31/08/2026,游水,從化,,從化,,,,,,,,游水,,
E175,31/08/2026,踱步,從化,內圈,從化 內圈,,,,,,助手,,倒快兩圈,H/SR/XB,內圈 倒快兩圈 (助手)
E175,30/08/2026,馬匹水中步行機,從化,,從化,,,,,,,,馬匹水中步行機,,
E175,30/08/2026,游水,從化,,從化,,,,,,,,游水,,
E175,30/08/2026,踱步,從化,內圈,從化 內圈,,,,,,助手,,快踱一圈,H/SR/XB,內圈 快踱一圈 (助手)
E175,29/08/2026,馬匹水中步行機,從化,,從化,,,,,,,,馬匹水中步行機,,
E175,29/08/2026,游水,從化,,從化,,,,,,,,游水,,
E175,29/08/2026,踱步,從化,內圈,從化 內圈,,,,,,助手,,快踱一圈,H/SR/XB,內圈 快踱一圈 (助手)
E175,28/08/2026,馬匹水中步行機,從化,,從化,,,,,,,,馬匹水中步行機,,
E175,28/08/2026,游水,從化,,從化,,,,,,,,游水,,
E175,28/08/2026,踱步,從化,內圈,從化 內圈,,,,,,助手,,快踱一圈,H/SR/XB,內圈 快踱一圈 (助手)
E175,27/08/2026,馬匹水中步行機,從化,,從化,,,,,,,,馬匹水中步行機,,
E175,27/08/2026,游水,從化,,從化,,,,,,,,游水,,
E175,27/08/2026,踱步,從化,內圈,從化 內圈,,,,,,助手,,倒快兩圈,H/SR/XB,內圈 倒快兩圈 (助手)
E175,26/08/2026,馬匹水中步行機,從化,,從化,,,,,,,,馬匹水中步行機,,
E175,26/08/2026,游水,從化,,從化,,,,,,,,游水,,
E175,26/08/2026,踱步,從化,內圈,從化 內圈,,,,,,助手,,快踱一圈,H/SR/XB,內圈 快踱一圈 (助手)
E175,25/08/2026,馬匹水中步行機,從化,,從化,,,,,,,,馬匹水中步行機,,
E175,25/08/2026,游水,從化,,從化,,,,,,,,游水,,
E175,24/08/2026,馬匹水中步行機,從化,,從化,,,,,,,,馬匹水中步行機,,
E175,24/08/2026,試閘,從化,草地,從化 草地,1000M,0.57.69,57.69,13.4 21.5 22.7,海鑽石,黃寶妮,,第3組,SR,第3組 (黃寶妮) 1000M 海鑽石 13.4 21.5 22.7 (0.57.69)
E175,24/08/2026,踱步,從化,飛機場,從化 飛機場,,,,,,助手,,踱步,SR,飛機場 踱步 (助手)
E175,23/08/2026,馬匹水中步行機,從化,,從化,,,,,,,,馬匹水中步行機,,
E175,23/08/2026,游水,從化,,從化,,,,,,,,游水,,
E175,23/08/2026,踱步,從化,內圈,從化 內圈,,,,,,助手,,快踱一圈,H/SR/XB,內圈 快踱一圈 (助手)
E175,22/08/2026,馬匹水中步行機,從化,,從化,,,,,,,,馬匹水中步行機,,
E175,22/08/2026,游水,從化,,從化,,,,,,,,游水,,
E175,22/08/2026,踱步,從化,內圈,從化 內圈,,,,,,助手,,快踱一圈,H/SR/XB,內圈 快踱一圈 (助手)
E175,21/08/2026,游水,從化,,從化,,,,,,,,游水,,
E175,21/08/2026,踱步,從化,內圈,從化 內圈,,,,,,助手,,快踱一圈,H/SR/XB,內圈 快踱一圈 (助手)
E175,20/08/2026,馬匹水中步行機,從化,,從化,,,,,,,,馬匹水中步行機,,
E175,20/08/2026,游水,從化,,從化,,,,,,,,游水,,
E175,20/08/2026,踱步,從化,內圈,從化 內圈,,,,,,助手,,倒快兩圈,H/SR/XB,內圈 倒快兩圈 (助手)
E175,19/08/2026,馬匹水中步行機,從化,,從化,,,,,,,,馬匹水中步行機,,
E175,19/08/2026,游水,從化,,從化,,,,,,,,游水,,
E175,18/08/2026,馬匹水中步行機,從化,,從化,,,,,,,,馬匹水中步行機,,
E175,18/08/2026,游水,從化,,從化,,,,,,,,游水,,
E175,18/08/2026,快操,從化,草地,從化 草地,,53.3,53.3,29.2 24.1,,助手,,快操,SR,29.2 24.1 (53.3) (助手)
E175,18/08/2026,踱步,從化,飛機場,從化 飛機場,,,,,,助手,,踱步,SR,飛機場 踱步 (助手)
E175,17/08/2026,游水,從化,,從化,,,,,,,,游水,,
E175,17/08/2026,踱步,從化,內圈,從化 內圈,,,,,,助手,,倒快兩圈,H/SR/XB,內圈 倒快兩圈 (助手)
