horse_no,date,work_type,racecourse,track,workout_details,gear
L162,21/06/2026,出賽,沙田,草地,1200M (袁幸堯) (12/14),TT1
L162,21/06/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H
L162,20/06/2026,游水,沙田,,,
L162,20/06/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H
L162,19/06/2026,游水,沙田,,,
L162,19/06/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H
L162,18/06/2026,游水,沙田,,,
L162,18/06/2026,快操,沙田,全天候,31.1 29.9 28.3 (1.29.3) (袁幸堯),H
L162,18/06/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),H
L162,17/06/2026,游水,沙田,,,
L162,17/06/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H
L162,16/06/2026,游水,沙田,,,
L162,16/06/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H
L162,15/06/2026,游水,沙田,,,
L162,15/06/2026,踱步,沙田,內圈,內圈 倒快一圈 (助手),H
L162,14/06/2026,游水,沙田,,,
L162,14/06/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H
L162,13/06/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),H
L162,11/06/2026,試閘,沙田,全天候,第3組 (梁家俊) 1200M 電子好好 24.3 22.4 23.2 (1.09.98),
L162,11/06/2026,游水,沙田,,,
L162,11/06/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),H
L162,10/06/2026,游水,沙田,,,
L162,10/06/2026,踱步,沙田,內圈,內圈 快踱一圈 (袁幸堯),H
L162,09/06/2026,游水,沙田,,,
L162,09/06/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),H
L162,08/06/2026,游水,沙田,,,
L162,08/06/2026,快操,沙田,草地,28.1 24.6 (52.7) (袁幸堯),
L162,08/06/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),
L162,07/06/2026,游水,沙田,,,
L162,07/06/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H
L162,06/06/2026,馬匹跑步機,沙田,,馬匹跑步機 - 步行 （上斜）,
L162,06/06/2026,游水,沙田,,,
L162,06/06/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H
L162,05/06/2026,游水,沙田,,,
L162,05/06/2026,快操,沙田,全天候,29.1 24.5 (53.6) (助手) 駿毅快車,H
L162,05/06/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),H
L162,04/06/2026,游水,沙田,,,
L162,04/06/2026,踱步,沙田,內圈,內圈 倒快兩圈 (助手),H
L162,03/06/2026,游水,沙田,,,
L162,03/06/2026,踱步,沙田,內圈,內圈 快踱兩圈 (助手),H
L162,02/06/2026,游水,沙田,,,
L162,02/06/2026,快操,沙田,全天候,30.1 25.3 (55.4) (助手),H
L162,02/06/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),H
L162,01/06/2026,游水,沙田,,,
L162,01/06/2026,踱步,沙田,內圈,內圈 倒快兩圈 (助手),H
L162,31/05/2026,游水,沙田,,,
L162,31/05/2026,踱步,沙田,內圈,內圈 快踱兩圈 (助手),H
L162,30/05/2026,馬匹跑步機,沙田,,馬匹跑步機 - 步行 （上斜）,
L162,30/05/2026,游水,沙田,,,
L162,30/05/2026,踱步,沙田,內圈,內圈 快踱兩圈 (助手),H
L162,29/05/2026,馬匹跑步機,沙田,,馬匹跑步機 - 步行 （上斜）,
L162,29/05/2026,游水,沙田,,,
L162,29/05/2026,踱步,沙田,內圈,內圈 快踱兩圈 (助手),H
L162,28/05/2026,馬匹跑步機,沙田,,馬匹跑步機 - 步行 （上斜）,
L162,28/05/2026,游水,沙田,,,
L162,28/05/2026,踱步,沙田,內圈,內圈 倒快兩圈 (助手),H
L162,27/05/2026,馬匹跑步機,沙田,,馬匹跑步機 - 慢跑 （上斜）,
L162,27/05/2026,游水,沙田,,,
L162,26/05/2026,試閘,沙田,草地,第5組 (梁家俊) 1000M 星球勇士 13.9 21.5 22.3 (0.57.78),
L162,26/05/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),H
L162,25/05/2026,游水,沙田,,,
L162,25/05/2026,踱步,沙田,內圈,內圈 倒快兩圈 (助手),H
L162,24/05/2026,游水,沙田,,,
L162,24/05/2026,踱步,沙田,內圈,內圈 快踱兩圈 (助手),H
L162,23/05/2026,游水,沙田,,,
L162,23/05/2026,快操,沙田,全天候,29.6 25.3 (54.9) (助手),H
L162,23/05/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),H
L162,22/05/2026,游水,沙田,,,
L162,22/05/2026,踱步,沙田,內圈,內圈 快踱兩圈 (助手),H
