horse_no,date,work_type,racecourse,track,venue,distance,time,time_sec,splits,partner,rider,placing,comment,gear,workout_details
L311,09/09/2026,踱步,從化,飛機場,從化 飛機場,,,,,,助手,,踱步,H,飛機場 踱步 (助手)
L311,08/09/2026,游水,從化,,從化,,,,,,,,游水,,
L311,08/09/2026,快操,從化,草閘,從化 草閘,,50.2,50.2,26.7 23.5,,副練馬師,,盈好威楓,H,26.7 23.5 (50.2) (副練馬師) 盈好威楓
L311,08/09/2026,踱步,從化,飛機場,從化 飛機場,,,,,,副練馬師,,踱步,H,飛機場 踱步 (副練馬師)
L311,07/09/2026,踱步,從化,內圈,從化 內圈,,,,,,副練馬師,,倒快一圈,H,內圈 倒快一圈 (副練馬師)
L311,06/09/2026,游水,從化,,從化,,,,,,,,游水,,
L311,06/09/2026,快操,從化,全天候,從化 全天候,,56.7,56.7,31.0 25.7,,副練馬師,,快操,H,31.0 25.7 (56.7) (副練馬師)
L311,06/09/2026,踱步,從化,飛機場,從化 飛機場,,,,,,副練馬師,,踱步,H,飛機場 踱步 (副練馬師)
L311,05/09/2026,游水,從化,,從化,,,,,,,,游水,,
L311,05/09/2026,踱步,從化,內圈,從化 內圈,,,,,,助手,,快踱一圈,H,內圈 快踱一圈 (助手)
L311,04/09/2026,游水,從化,,從化,,,,,,,,游水,,
L311,04/09/2026,踱步,從化,內圈,從化 內圈,,,,,,副練馬師,,快踱一圈,H,內圈 快踱一圈 (副練馬師)
L311,03/09/2026,游水,從化,,從化,,,,,,,,游水,,
L311,03/09/2026,踱步,從化,內圈,從化 內圈,,,,,,副練馬師,,倒快兩圈,H,內圈 倒快兩圈 (副練馬師)
L311,02/09/2026,游水,從化,,從化,,,,,,,,游水,,
L311,02/09/2026,快操,從化,全天候,從化 全天候,,55.0,55.0,30.3 24.7,,副練馬師,,快操,H,30.3 24.7 (55.0) (副練馬師)
L311,02/09/2026,踱步,從化,飛機場,從化 飛機場,,,,,,副練馬師,,踱步,H,飛機場 踱步 (副練馬師)
L311,01/09/2026,游水,從化,,從化,,,,,,,,游水,,
L311,01/09/2026,踱步,從化,內圈,從化 內圈,,,,,,副練馬師,,快踱一圈,H,內圈 快踱一圈 (副練馬師)
L311,31/08/2026,游水,從化,,從化,,,,,,,,游水,,
L311,31/08/2026,踱步,從化,內圈,從化 內圈,,,,,,副練馬師,,倒快兩圈,H,內圈 倒快兩圈 (副練馬師)
L311,30/08/2026,游水,從化,,從化,,,,,,,,游水,,
L311,30/08/2026,踱步,從化,內圈,從化 內圈,,,,,,副練馬師,,快踱一圈,H,內圈 快踱一圈 (副練馬師)
L311,29/08/2026,游水,從化,,從化,,,,,,,,游水,,
L311,29/08/2026,快操,從化,全天候,從化 全天候,,58.1,58.1,31.5 26.6,,副練馬師,,快操,H,31.5 26.6 (58.1) (副練馬師)
L311,29/08/2026,踱步,從化,飛機場,從化 飛機場,,,,,,副練馬師,,踱步,H,飛機場 踱步 (副練馬師)
L311,28/08/2026,游水,從化,,從化,,,,,,,,游水,,
L311,28/08/2026,踱步,從化,內圈,從化 內圈,,,,,,副練馬師,,快踱一圈,H,內圈 快踱一圈 (副練馬師)
L311,27/08/2026,游水,從化,,從化,,,,,,,,游水,,
L311,27/08/2026,踱步,從化,內圈,從化 內圈,,,,,,助手,,倒快兩圈,H,內圈 倒快兩圈 (助手)
L311,26/08/2026,游水,從化,,從化,,,,,,,,游水,,
L311,26/08/2026,踱步,從化,內圈,從化 內圈,,,,,,助手,,快踱一圈,H,內圈 快踱一圈 (助手)
L311,25/08/2026,游水,從化,,從化,,,,,,,,游水,,
L311,25/08/2026,快操,從化,全天候,從化 全天候,,31.2,31.2,31.2,,副練馬師,,快操,H,31.2 (31.2) (副練馬師)
L311,25/08/2026,踱步,從化,飛機場,從化 飛機場,,,,,,副練馬師,,踱步,H,飛機場 踱步 (副練馬師)
L311,24/08/2026,游水,從化,,從化,,,,,,,,游水,,
L311,24/08/2026,踱步,從化,外圈,從化 外圈,,,,,,副練馬師,,快踱一圈,H,外圈 快踱一圈 (副練馬師)
L311,23/08/2026,游水,從化,,從化,,,,,,,,游水,,
L311,23/08/2026,踱步,從化,內圈,從化 內圈,,,,,,助手,,快踱一圈,H,內圈 快踱一圈 (助手)
L311,22/08/2026,游水,從化,,從化,,,,,,,,游水,,
L311,22/08/2026,踱步,從化,內圈,從化 內圈,,,,,,助手,,快踱一圈,H,內圈 快踱一圈 (助手)
L311,21/08/2026,游水,從化,,從化,,,,,,,,游水,,
L311,21/08/2026,踱步,從化,內圈,從化 內圈,,,,,,副練馬師,,快踱一圈,H,內圈 快踱一圈 (副練馬師)
L311,20/08/2026,游水,從化,,從化,,,,,,,,游水,,
L311,20/08/2026,踱步,從化,內圈,從化 內圈,,,,,,助手,,倒快兩圈,H,內圈 倒快兩圈 (助手)
L311,19/08/2026,游水,從化,,從化,,,,,,,,游水,,
L311,19/08/2026,踱步,從化,內圈,從化 內圈,,,,,,助手,,快踱一圈,H,內圈 快踱一圈 (助手)
L311,18/08/2026,游水,從化,,從化,,,,,,,,游水,,
L311,18/08/2026,踱步,從化,內圈,從化 內圈,,,,,,助手,,快踱一圈,H,內圈 快踱一圈 (助手)
L311,17/08/2026,游水,從化,,從化,,,,,,,,游水,,
