horse_no,date,work_type,racecourse,track,venue,distance,time,time_sec,splits,partner,rider,placing,comment,gear,workout_details
L218,05/09/2026,踱步,從化,內圈,從化 內圈,,,,,,助手,,快踱一圈,H/XB,內圈 快踱一圈 (助手)
L218,04/09/2026,游水,從化,,從化,,,,,,,,游水,,
L218,04/09/2026,踱步,從化,內圈,從化 內圈,,,,,,助手,,快踱一圈,H,內圈 快踱一圈 (助手)
L218,03/09/2026,游水,從化,,從化,,,,,,,,游水,,
L218,03/09/2026,踱步,從化,內圈,從化 內圈,,,,,,助手,,倒快一圈,H/XB,內圈 倒快一圈 (助手)
L218,02/09/2026,游水,從化,,從化,,,,,,,,游水,,
L218,02/09/2026,踱步,從化,內圈,從化 內圈,,,,,,助手,,快踱一圈,H/XB,內圈 快踱一圈 (助手)
L218,01/09/2026,游水,從化,,從化,,,,,,,,游水,,
L218,01/09/2026,踱步,從化,飛機場,從化 飛機場,,,,,,助手,,踱步,H/XB,飛機場 踱步 (助手)
L218,31/08/2026,游水,沙田,,沙田,,,,,,,,游水,,
L218,31/08/2026,踱步,沙田,飛機場,沙田 飛機場,,,,,,助手,,踱步,H,飛機場 踱步 (助手)
L218,30/08/2026,游水,沙田,,沙田,,,,,,,,游水,,
L218,30/08/2026,踱步,沙田,飛機場,沙田 飛機場,,,,,,助手,,踱步,H,飛機場 踱步 (助手)
L218,29/08/2026,游水,沙田,,沙田,,,,,,,,游水,,
L218,29/08/2026,踱步,沙田,飛機場,沙田 飛機場,,,,,,助手,,踱步,H,飛機場 踱步 (助手)
L218,28/08/2026,踱步,沙田,飛機場,沙田 飛機場,,,,,,助手,,踱步,H,飛機場 踱步 (助手)
L218,27/08/2026,踱步,沙田,飛機場,沙田 飛機場,,,,,,助手,,踱步,H,飛機場 踱步 (助手)
L218,26/08/2026,游水,沙田,,沙田,,,,,,,,游水,,
L218,26/08/2026,踱步,沙田,飛機場,沙田 飛機場,,,,,,助手,,踱步,H,飛機場 踱步 (助手)
L218,25/08/2026,游水,沙田,,沙田,,,,,,,,游水,,
L218,24/08/2026,游水,沙田,,沙田,,,,,,,,游水,,
L218,24/08/2026,踱步,沙田,內圈,沙田 內圈,,,,,,助手,,倒快兩圈,H,內圈 倒快兩圈 (助手)
L218,23/08/2026,游水,沙田,,沙田,,,,,,,,游水,,
L218,23/08/2026,踱步,沙田,內圈,沙田 內圈,,,,,,助手,,快踱一圈,H,內圈 快踱一圈 (助手)
L218,22/08/2026,游水,沙田,,沙田,,,,,,,,游水,,
L218,22/08/2026,踱步,沙田,內圈,沙田 內圈,,,,,,助手,,快踱一圈,H,內圈 快踱一圈 (助手)
L218,21/08/2026,游水,沙田,,沙田,,,,,,,,游水,,
L218,21/08/2026,快操,沙田,全天候,沙田 全天候,,49.8,49.8,26.8 23.0,,助手,,快操,H/XB,26.8 23.0 (49.8) (助手)
L218,21/08/2026,踱步,沙田,飛機場,沙田 飛機場,,,,,,助手,,踱步,H/XB,飛機場 踱步 (助手)
L218,20/08/2026,游水,沙田,,沙田,,,,,,,,游水,,
L218,20/08/2026,踱步,沙田,內圈,沙田 內圈,,,,,,助手,,倒快兩圈,H,內圈 倒快兩圈 (助手)
L218,19/08/2026,游水,沙田,,沙田,,,,,,,,游水,,
L218,19/08/2026,踱步,沙田,內圈,沙田 內圈,,,,,,助手,,快踱一圈,H,內圈 快踱一圈 (助手)
L218,18/08/2026,游水,沙田,,沙田,,,,,,,,游水,,
L218,18/08/2026,踱步,沙田,內圈,沙田 內圈,,,,,,助手,,快踱一圈,H,內圈 快踱一圈 (助手)
L218,17/08/2026,游水,沙田,,沙田,,,,,,,,游水,,
L218,17/08/2026,踱步,沙田,內圈,沙田 內圈,,,,,,助手,,倒快兩圈,H,內圈 倒快兩圈 (助手)
L218,16/08/2026,游水,沙田,,沙田,,,,,,,,游水,,
L218,16/08/2026,快操,沙田,全天候,沙田 全天候,,26.3,26.3,26.3,,助手,,快操,H/XB,26.3 (26.3) (助手)
L218,16/08/2026,踱步,沙田,飛機場,沙田 飛機場,,,,,,助手,,踱步,H/XB,飛機場 踱步 (助手)
L218,15/08/2026,游水,沙田,,沙田,,,,,,,,游水,,
L218,15/08/2026,踱步,沙田,內圈,沙田 內圈,,,,,,助手,,快踱兩圈,H,內圈 快踱兩圈 (助手)
L218,14/08/2026,游水,沙田,,沙田,,,,,,,,游水,,
L218,14/08/2026,踱步,沙田,內圈,沙田 內圈,,,,,,助手,,快踱一圈,H,內圈 快踱一圈 (助手)
L218,13/08/2026,游水,沙田,,沙田,,,,,,,,游水,,
L218,13/08/2026,踱步,沙田,內圈,沙田 內圈,,,,,,助手,,倒快兩圈,H,內圈 倒快兩圈 (助手)
L218,12/08/2026,游水,沙田,,沙田,,,,,,,,游水,,
L218,12/08/2026,快操,沙田,全天候,沙田 全天候,,27.7,27.7,27.7,,助手,,快操,H/XB,27.7 (27.7) (助手)
L218,12/08/2026,踱步,沙田,飛機場,沙田 飛機場,,,,,,助手,,踱步,H/XB,飛機場 踱步 (助手)
L218,11/08/2026,游水,沙田,,沙田,,,,,,,,游水,,
L218,11/08/2026,踱步,沙田,內圈,沙田 內圈,,,,,,助手,,快踱一圈,H,內圈 快踱一圈 (助手)
L218,10/08/2026,游水,沙田,,沙田,,,,,,,,游水,,
L218,10/08/2026,踱步,沙田,內圈,沙田 內圈,,,,,,助手,,倒快兩圈,H,內圈 倒快兩圈 (助手)
L218,09/08/2026,游水,沙田,,沙田,,,,,,,,游水,,
L218,09/08/2026,踱步,沙田,內圈,沙田 內圈,,,,,,助手,,快踱一圈,H,內圈 快踱一圈 (助手)
L218,08/08/2026,游水,沙田,,沙田,,,,,,,,游水,,
L218,08/08/2026,踱步,沙田,內圈,沙田 內圈,,,,,,助手,,快踱兩圈,H,內圈 快踱兩圈 (助手)
L218,07/08/2026,游水,沙田,,沙田,,,,,,,,游水,,
L218,07/08/2026,踱步,沙田,內圈,沙田 內圈,,,,,,助手,,快踱一圈,H,內圈 快踱一圈 (助手)
L218,06/08/2026,游水,沙田,,沙田,,,,,,,,游水,,
L218,06/08/2026,踱步,沙田,內圈,沙田 內圈,,,,,,助手,,倒快兩圈,H,內圈 倒快兩圈 (助手)
L218,05/08/2026,踱步,沙田,內圈,沙田 內圈,,,,,,助手,,快踱一圈,H,內圈 快踱一圈 (助手)
L218,04/08/2026,踱步,沙田,內圈,沙田 內圈,,,,,,助手,,快踱一圈,H,內圈 快踱一圈 (助手)
L218,03/08/2026,踱步,沙田,內圈,沙田 內圈,,,,,,助手,,快踱一圈,H,內圈 快踱一圈 (助手)
L218,02/08/2026,踱步,沙田,內圈,沙田 內圈,,,,,,助手,,快踱一圈,H,內圈 快踱一圈 (助手)
L218,01/08/2026,踱步,沙田,內圈,沙田 內圈,,,,,,助手,,快踱一圈,H,內圈 快踱一圈 (助手)
