horse_no,date,work_type,racecourse,track,venue,distance,time,time_sec,splits,partner,rider,placing,comment,gear,workout_details
L186,09/09/2026,出賽,跑馬地,草地,跑馬地 草地,1650M,,,,,楊明綸,10/11,出賽,TT,1650M (楊明綸) (10/11)
L186,09/09/2026,踱步,沙田,內圈,沙田 內圈,,,,,,助手,,快踱一圈,H,內圈 快踱一圈 (助手)
L186,08/09/2026,游水,沙田,,沙田,,,,,,,,游水,,
L186,08/09/2026,踱步,沙田,內圈,沙田 內圈,,,,,,助手,,快踱一圈,H,內圈 快踱一圈 (助手)
L186,07/09/2026,游水,沙田,,沙田,,,,,,,,游水,,
L186,07/09/2026,踱步,沙田,外圈,沙田 外圈,,,,,,助手,,快踱一圈,H,外圈 快踱一圈 (助手)
L186,06/09/2026,游水,沙田,,沙田,,,,,,,,游水,,
L186,06/09/2026,踱步,沙田,內圈,沙田 內圈,,,,,,助手,,快踱一圈,H,內圈 快踱一圈 (助手)
L186,05/09/2026,游水,沙田,,沙田,,,,,,,,游水,,
L186,05/09/2026,快操,沙田,全天候,沙田 全天候,,24.1,24.1,24.1,,楊明綸,,同樣世界,H,24.1 (24.1) (楊明綸) 同樣世界
L186,05/09/2026,踱步,沙田,飛機場,沙田 飛機場,,,,,,楊明綸,,踱步,H,飛機場 踱步 (楊明綸)
L186,04/09/2026,游水,沙田,,沙田,,,,,,,,游水,,
L186,04/09/2026,踱步,沙田,內圈,沙田 內圈,,,,,,助手,,快踱兩圈,H,內圈 快踱兩圈 (助手)
L186,03/09/2026,游水,沙田,,沙田,,,,,,,,游水,,
L186,03/09/2026,踱步,沙田,內圈,沙田 內圈,,,,,,助手,,倒快兩圈,H,內圈 倒快兩圈 (助手)
L186,02/09/2026,游水,沙田,,沙田,,,,,,,,游水,,
L186,01/09/2026,試閘,沙田,全天候,沙田 全天候,1200M,1.11.75,71.75,24.2 22.7 24.8,快樂高球,楊明綸,,第6組,,第6組 (楊明綸) 1200M 快樂高球 24.2 22.7 24.8 (1.11.75)
L186,01/09/2026,踱步,沙田,飛機場,沙田 飛機場,,,,,,助手,,踱步,H,飛機場 踱步 (助手)
L186,31/08/2026,游水,沙田,,沙田,,,,,,,,游水,,
L186,31/08/2026,踱步,沙田,內圈,沙田 內圈,,,,,,助手,,倒快兩圈,H,內圈 倒快兩圈 (助手)
L186,30/08/2026,游水,沙田,,沙田,,,,,,,,游水,,
L186,30/08/2026,踱步,沙田,內圈,沙田 內圈,,,,,,助手,,快踱一圈,H,內圈 快踱一圈 (助手)
L186,29/08/2026,游水,沙田,,沙田,,,,,,,,游水,,
L186,28/08/2026,游水,沙田,,沙田,,,,,,,,游水,,
L186,28/08/2026,快操,沙田,全天候,沙田 全天候,,26.0,26.0,26.0,,助手,,金珀尖子,H,26.0 (26.0) (助手) 金珀尖子
L186,28/08/2026,踱步,沙田,飛機場,沙田 飛機場,,,,,,助手,,踱步,H,飛機場 踱步 (助手)
L186,27/08/2026,游水,沙田,,沙田,,,,,,,,游水,,
L186,27/08/2026,踱步,沙田,內圈,沙田 內圈,,,,,,助手,,倒快兩圈,H,內圈 倒快兩圈 (助手)
L186,26/08/2026,游水,沙田,,沙田,,,,,,,,游水,,
L186,26/08/2026,踱步,沙田,內圈,沙田 內圈,,,,,,助手,,快踱一圈,H,內圈 快踱一圈 (助手)
L186,25/08/2026,游水,沙田,,沙田,,,,,,,,游水,,
L186,25/08/2026,踱步,沙田,內圈,沙田 內圈,,,,,,助手,,快踱一圈,H,內圈 快踱一圈 (助手)
L186,24/08/2026,游水,沙田,,沙田,,,,,,,,游水,,
