horse_no,date,work_type,racecourse,track,venue,distance,time,time_sec,splits,partner,rider,placing,comment,gear,workout_details
H337,25/08/2026,游水,沙田,,沙田,,,,,,,,游水,,
H337,25/08/2026,快操,沙田,全天候,沙田 全天候,,33.7,33.7,33.7,,助手,,快操,H,33.7 (33.7) (助手)
H337,25/08/2026,踱步,沙田,飛機場,沙田 飛機場,,,,,,助手,,踱步,H,飛機場 踱步 (助手)
H337,24/08/2026,游水,沙田,,沙田,,,,,,,,游水,,
H337,24/08/2026,踱步,沙田,內圈,沙田 內圈,,,,,,助手,,倒快一圈,H,內圈 倒快一圈 (助手)
H337,23/08/2026,游水,沙田,,沙田,,,,,,,,游水,,
H337,23/08/2026,踱步,沙田,外圈,沙田 外圈,,,,,,助手,,倒快踱一圈,H,外圈 倒快踱一圈 (助手)
H337,22/08/2026,游水,沙田,,沙田,,,,,,,,游水,,
H337,22/08/2026,踱步,沙田,飛機場,沙田 飛機場,,,,,,助手,,踱步,H,飛機場 踱步 (助手)
H337,21/08/2026,試閘,沙田,全天候,沙田 全天候,1200M,1.11.38,71.38,24.5 22.9 23.9,定風波,巫顯東,,第1組,B,第1組 (巫顯東) 1200M 定風波 24.5 22.9 23.9 (1.11.38)
H337,21/08/2026,踱步,沙田,飛機場,沙田 飛機場,,,,,,助手,,踱步,B,飛機場 踱步 (助手)
H337,20/08/2026,游水,沙田,,沙田,,,,,,,,游水,,
H337,20/08/2026,踱步,沙田,內圈,沙田 內圈,,,,,,助手,,倒快一圈,H,內圈 倒快一圈 (助手)
H337,19/08/2026,游水,沙田,,沙田,,,,,,,,游水,,
H337,19/08/2026,踱步,沙田,內圈,沙田 內圈,,,,,,巫顯東,,快踱一圈,H,內圈 快踱一圈 (巫顯東)
H337,18/08/2026,游水,沙田,,沙田,,,,,,,,游水,,
H337,18/08/2026,踱步,沙田,內圈,沙田 內圈,,,,,,助手,,快踱一圈,H,內圈 快踱一圈 (助手)
H337,17/08/2026,快操,沙田,全天候,沙田 全天候,,1.00.8,60.8,33.0 27.8,,巫顯東,,快操,H,33.0 27.8 (1.00.8) (巫顯東)
H337,17/08/2026,踱步,沙田,飛機場,沙田 飛機場,,,,,,巫顯東,,踱步,H,飛機場 踱步 (巫顯東)
H337,16/08/2026,游水,沙田,,沙田,,,,,,,,游水,,
H337,16/08/2026,踱步,沙田,內圈,沙田 內圈,,,,,,助手,,快踱一圈,H,內圈 快踱一圈 (助手)
H337,15/08/2026,游水,沙田,,沙田,,,,,,,,游水,,
H337,15/08/2026,踱步,沙田,內圈,沙田 內圈,,,,,,助手,,快踱一圈,H,內圈 快踱一圈 (助手)
H337,14/08/2026,游水,沙田,,沙田,,,,,,,,游水,,
H337,14/08/2026,踱步,沙田,內圈,沙田 內圈,,,,,,巫顯東,,快踱一圈,H,內圈 快踱一圈 (巫顯東)
H337,13/08/2026,快操,沙田,全天候,沙田 全天候,,54.5,54.5,30.9 23.6,,巫顯東,,錶之無限,H,30.9 23.6 (54.5) (巫顯東) 錶之無限
H337,13/08/2026,踱步,沙田,飛機場,沙田 飛機場,,,,,,助手,,踱步,H,飛機場 踱步 (助手)
H337,12/08/2026,游水,沙田,,沙田,,,,,,,,游水,,
H337,12/08/2026,踱步,沙田,內圈,沙田 內圈,,,,,,助手,,快踱一圈,H,內圈 快踱一圈 (助手)
H337,11/08/2026,游水,沙田,,沙田,,,,,,,,游水,,
H337,11/08/2026,踱步,沙田,內圈,沙田 內圈,,,,,,助手,,快踱一圈,H,內圈 快踱一圈 (助手)
H337,10/08/2026,游水,沙田,,沙田,,,,,,,,游水,,
H337,10/08/2026,踱步,沙田,內圈,沙田 內圈,,,,,,巫顯東,,倒快一圈,H,內圈 倒快一圈 (巫顯東)
H337,09/08/2026,快操,沙田,全天候,沙田 全天候,,59.5,59.5,32.3 27.2,,助手,,快操,H,32.3 27.2 (59.5) (助手)
H337,09/08/2026,踱步,沙田,飛機場,沙田 飛機場,,,,,,助手,,踱步,H,飛機場 踱步 (助手)
H337,08/08/2026,游水,沙田,,沙田,,,,,,,,游水,,
H337,08/08/2026,踱步,沙田,內圈,沙田 內圈,,,,,,助手,,快踱一圈,H,內圈 快踱一圈 (助手)
H337,07/08/2026,游水,沙田,,沙田,,,,,,,,游水,,
H337,07/08/2026,踱步,沙田,內圈,沙田 內圈,,,,,,助手,,快踱一圈,H,內圈 快踱一圈 (助手)
H337,06/08/2026,游水,沙田,,沙田,,,,,,,,游水,,
H337,06/08/2026,踱步,沙田,內圈,沙田 內圈,,,,,,助手,,倒快一圈,H,內圈 倒快一圈 (助手)
H337,05/08/2026,快操,沙田,全天候,沙田 全天候,,58.4,58.4,31.2 27.2,,助手,,快操,H,31.2 27.2 (58.4) (助手)
H337,05/08/2026,踱步,沙田,飛機場,沙田 飛機場,,,,,,助手,,踱步,H,飛機場 踱步 (助手)
H337,04/08/2026,踱步,沙田,內圈,沙田 內圈,,,,,,副練馬師,,快踱一圈,H,內圈 快踱一圈 (副練馬師)
H337,03/08/2026,踱步,沙田,內圈,沙田 內圈,,,,,,副練馬師,,快踱一圈,H,內圈 快踱一圈 (副練馬師)
H337,02/08/2026,踱步,沙田,內圈,沙田 內圈,,,,,,助手,,快踱一圈,H,內圈 快踱一圈 (助手)
H337,01/08/2026,踱步,沙田,內圈,沙田 內圈,,,,,,副練馬師,,快踱一圈,H,內圈 快踱一圈 (副練馬師)
