horse_no,date,work_type,racecourse,track,venue,distance,time,time_sec,splits,partner,rider,placing,comment,gear,workout_details
L387,01/07/2026,馬匹水中步行機,從化,,從化,,,,,,,,馬匹水中步行機,,
L387,01/07/2026,游水,從化,,從化,,,,,,,,游水,,
L387,01/07/2026,踱步,從化,內圈,從化 內圈,,,,,,助手,,快踱一圈,,內圈 快踱一圈 (助手)
L387,30/06/2026,游水,從化,,從化,,,,,,,,游水,,
L387,30/06/2026,踱步,從化,內圈,從化 內圈,,,,,,助手,,快踱一圈,,內圈 快踱一圈 (助手)
L387,29/06/2026,馬匹水中步行機,從化,,從化,,,,,,,,馬匹水中步行機,,
L387,29/06/2026,游水,從化,,從化,,,,,,,,游水,,
L387,29/06/2026,踱步,從化,內圈,從化 內圈,,,,,,助手,,倒快一圈,,內圈 倒快一圈 (助手)
L387,28/06/2026,馬匹水中步行機,從化,,從化,,,,,,,,馬匹水中步行機,,
L387,28/06/2026,游水,從化,,從化,,,,,,,,游水,,
L387,28/06/2026,踱步,從化,飛機場,從化 飛機場,,,,,,助手,,踱步,,飛機場 踱步 (助手)
L387,27/06/2026,馬匹水中步行機,從化,,從化,,,,,,,,馬匹水中步行機,,
L387,27/06/2026,游水,從化,,從化,,,,,,,,游水,,
L387,26/06/2026,試閘,從化,草地,從化 草地,1000M,0.58.80,58.8,13.9 22.5 22.4,花好月盈,蔡明紹,,第3組,,第3組 (蔡明紹) 1000M 花好月盈 13.9 22.5 22.4 (0.58.80)
L387,26/06/2026,踱步,從化,飛機場,從化 飛機場,,,,,,助手,,踱步,,飛機場 踱步 (助手)
L387,25/06/2026,馬匹水中步行機,從化,,從化,,,,,,,,馬匹水中步行機,,
L387,25/06/2026,游水,從化,,從化,,,,,,,,游水,,
L387,25/06/2026,踱步,從化,內圈,從化 內圈,,,,,,助手,,倒快兩圈,,內圈 倒快兩圈 (助手)
L387,24/06/2026,馬匹水中步行機,從化,,從化,,,,,,,,馬匹水中步行機,,
L387,24/06/2026,游水,從化,,從化,,,,,,,,游水,,
L387,24/06/2026,踱步,從化,內圈,從化 內圈,,,,,,助手,,快踱一圈,,內圈 快踱一圈 (助手)
L387,23/06/2026,游水,從化,,從化,,,,,,,,游水,,
L387,23/06/2026,快操,從化,登山跑道,從化 登山跑道,,59.8,59.8,29.8 30.0,,助手,,快操,,29.8 30.0 (59.8) (助手)
L387,23/06/2026,踱步,從化,飛機場,從化 飛機場,,,,,,助手,,踱步,,飛機場 踱步 (助手)
L387,22/06/2026,馬匹水中步行機,從化,,從化,,,,,,,,馬匹水中步行機,,
L387,22/06/2026,游水,從化,,從化,,,,,,,,游水,,
L387,22/06/2026,踱步,從化,內圈,從化 內圈,,,,,,助手,,倒快兩圈,,內圈 倒快兩圈 (助手)
L387,21/06/2026,馬匹水中步行機,從化,,從化,,,,,,,,馬匹水中步行機,,
L387,21/06/2026,游水,從化,,從化,,,,,,,,游水,,
L387,21/06/2026,踱步,從化,內圈,從化 內圈,,,,,,助手,,快踱一圈,,內圈 快踱一圈 (助手)
L387,20/06/2026,游水,從化,,從化,,,,,,,,游水,,
L387,20/06/2026,快操,從化,登山跑道,從化 登山跑道,,59.7,59.7,30.6 29.1,,助手,,快操,,30.6 29.1 (59.7) (助手)
L387,20/06/2026,踱步,從化,飛機場,從化 飛機場,,,,,,助手,,踱步,,飛機場 踱步 (助手)
L387,19/06/2026,馬匹水中步行機,從化,,從化,,,,,,,,馬匹水中步行機,,
L387,19/06/2026,游水,從化,,從化,,,,,,,,游水,,
L387,19/06/2026,踱步,從化,內圈,從化 內圈,,,,,,助手,,快踱一圈,,內圈 快踱一圈 (助手)
L387,18/06/2026,馬匹水中步行機,從化,,從化,,,,,,,,馬匹水中步行機,,
L387,18/06/2026,游水,從化,,從化,,,,,,,,游水,,
L387,18/06/2026,踱步,從化,內圈,從化 內圈,,,,,,助手,,倒快兩圈,,內圈 倒快兩圈 (助手)
L387,17/06/2026,游水,從化,,從化,,,,,,,,游水,,
L387,17/06/2026,踱步,從化,內圈,從化 內圈,,,,,,助手,,快踱一圈,,內圈 快踱一圈 (助手)
L387,16/06/2026,游水,從化,,從化,,,,,,,,游水,,
L387,16/06/2026,踱步,從化,內圈,從化 內圈,,,,,,助手,,快踱一圈,,內圈 快踱一圈 (助手)
L387,15/06/2026,游水,從化,,從化,,,,,,,,游水,,
L387,15/06/2026,踱步,從化,內圈,從化 內圈,,,,,,助手,,倒快一圈,,內圈 倒快一圈 (助手)
L387,14/06/2026,游水,從化,,從化,,,,,,,,游水,,
L387,14/06/2026,踱步,從化,飛機場,從化 飛機場,,,,,,助手,,踱步,,飛機場 踱步 (助手)
L387,13/06/2026,游水,從化,,從化,,,,,,,,游水,,
L387,12/06/2026,試閘,從化,草地,從化 草地,1000M,0.59.02,59.02,13.7 21.8 23.5,今明更好,蔡明紹,,第4組,,第4組 (蔡明紹) 1000M 今明更好 13.7 21.8 23.5 (0.59.02)
L387,12/06/2026,踱步,從化,飛機場,從化 飛機場,,,,,,助手,,踱步,,飛機場 踱步 (助手)
L387,11/06/2026,游水,從化,,從化,,,,,,,,游水,,
L387,11/06/2026,踱步,從化,內圈,從化 內圈,,,,,,助手,,倒快兩圈,,內圈 倒快兩圈 (助手)
L387,10/06/2026,游水,從化,,從化,,,,,,,,游水,,
L387,10/06/2026,踱步,從化,內圈,從化 內圈,,,,,,助手,,快踱一圈,,內圈 快踱一圈 (助手)
L387,09/06/2026,游水,從化,,從化,,,,,,,,游水,,
L387,09/06/2026,快操,從化,全天候,從化 全天候,,58.4,58.4,31.3 27.1,,助手,,快操,,31.3 27.1 (58.4) (助手)
L387,09/06/2026,踱步,從化,飛機場,從化 飛機場,,,,,,助手,,踱步,,飛機場 踱步 (助手)
L387,08/06/2026,游水,從化,,從化,,,,,,,,游水,,
L387,08/06/2026,踱步,從化,內圈,從化 內圈,,,,,,助手,,倒快兩圈,,內圈 倒快兩圈 (助手)
L387,07/06/2026,游水,從化,,從化,,,,,,,,游水,,
L387,07/06/2026,踱步,從化,內圈,從化 內圈,,,,,,助手,,快踱一圈,,內圈 快踱一圈 (助手)
L387,06/06/2026,馬匹水中步行機,從化,,從化,,,,,,,,馬匹水中步行機,,
L387,06/06/2026,游水,從化,,從化,,,,,,,,游水,,
L387,06/06/2026,快操,從化,全天候,從化 全天候,,58.0,58.0,30.4 27.6,,助手,,快操,,30.4 27.6 (58.0) (助手)
L387,06/06/2026,踱步,從化,飛機場,從化 飛機場,,,,,,助手,,踱步,,飛機場 踱步 (助手)
L387,05/06/2026,馬匹水中步行機,從化,,從化,,,,,,,,馬匹水中步行機,,
L387,05/06/2026,游水,從化,,從化,,,,,,,,游水,,
L387,05/06/2026,踱步,從化,內圈,從化 內圈,,,,,,助手,,快踱一圈,,內圈 快踱一圈 (助手)
L387,04/06/2026,馬匹水中步行機,從化,,從化,,,,,,,,馬匹水中步行機,,
L387,04/06/2026,游水,從化,,從化,,,,,,,,游水,,
L387,04/06/2026,踱步,從化,內圈,從化 內圈,,,,,,助手,,倒快一圈,,內圈 倒快一圈 (助手)
L387,03/06/2026,游水,從化,,從化,,,,,,,,游水,,
L387,03/06/2026,踱步,從化,內圈,從化 內圈,,,,,,助手,,快踱一圈,,內圈 快踱一圈 (助手)
L387,02/06/2026,快操,從化,草閘,從化 草閘,,46.9,46.9,23.7 23.2,,助手,,支付之父,,23.7 23.2 (46.9) (助手) 支付之父
L387,02/06/2026,踱步,從化,飛機場,從化 飛機場,,,,,,助手,,踱步,,飛機場 踱步 (助手)
L387,01/06/2026,游水,從化,,從化,,,,,,,,游水,,
L387,01/06/2026,踱步,從化,內圈,從化 內圈,,,,,,助手,,倒快兩圈,,內圈 倒快兩圈 (助手)
L387,31/05/2026,馬匹水中步行機,從化,,從化,,,,,,,,馬匹水中步行機,,
L387,31/05/2026,游水,從化,,從化,,,,,,,,游水,,
L387,31/05/2026,踱步,從化,內圈,從化 內圈,,,,,,助手,,快踱一圈,,內圈 快踱一圈 (助手)
L387,30/05/2026,馬匹水中步行機,從化,,從化,,,,,,,,馬匹水中步行機,,
L387,30/05/2026,游水,從化,,從化,,,,,,,,游水,,
L387,30/05/2026,踱步,從化,內圈,從化 內圈,,,,,,助手,,快踱一圈,,內圈 快踱一圈 (助手)
L387,29/05/2026,馬匹水中步行機,從化,,從化,,,,,,,,馬匹水中步行機,,
L387,29/05/2026,游水,從化,,從化,,,,,,,,游水,,
L387,29/05/2026,快操,從化,全天候,從化 全天候,,53.1,53.1,27.9 25.2,,助手,,富國兄弟,,27.9 25.2 (53.1) (助手) 富國兄弟
L387,29/05/2026,踱步,從化,飛機場,從化 飛機場,,,,,,助手,,踱步,,飛機場 踱步 (助手)
L387,28/05/2026,游水,從化,,從化,,,,,,,,游水,,
L387,28/05/2026,踱步,從化,內圈,從化 內圈,,,,,,助手,,倒快兩圈,,內圈 倒快兩圈 (助手)
L387,27/05/2026,馬匹水中步行機,從化,,從化,,,,,,,,馬匹水中步行機,,
L387,27/05/2026,游水,從化,,從化,,,,,,,,游水,,
L387,27/05/2026,踱步,從化,內圈,從化 內圈,,,,,,助手,,快踱兩圈,,內圈 快踱兩圈 (助手)
L387,26/05/2026,馬匹水中步行機,從化,,從化,,,,,,,,馬匹水中步行機,,
L387,26/05/2026,游水,從化,,從化,,,,,,,,游水,,
L387,26/05/2026,快操,從化,全天候,從化 全天候,,59.2,59.2,32.9 26.3,,助手,,快操,,32.9 26.3 (59.2) (助手)
L387,26/05/2026,踱步,從化,飛機場,從化 飛機場,,,,,,助手,,踱步,,飛機場 踱步 (助手)
L387,25/05/2026,馬匹水中步行機,從化,,從化,,,,,,,,馬匹水中步行機,,
L387,25/05/2026,游水,從化,,從化,,,,,,,,游水,,
L387,25/05/2026,踱步,從化,內圈,從化 內圈,,,,,,助手,,倒快兩圈,,內圈 倒快兩圈 (助手)
L387,24/05/2026,游水,從化,,從化,,,,,,,,游水,,
L387,24/05/2026,踱步,從化,內圈,從化 內圈,,,,,,助手,,快踱一圈,,內圈 快踱一圈 (助手)
L387,23/05/2026,馬匹水中步行機,從化,,從化,,,,,,,,馬匹水中步行機,,
L387,23/05/2026,游水,從化,,從化,,,,,,,,游水,,
L387,23/05/2026,踱步,從化,內圈,從化 內圈,,,,,,助手,,快踱一圈,,內圈 快踱一圈 (助手)
L387,22/05/2026,馬匹水中步行機,從化,,從化,,,,,,,,馬匹水中步行機,,
L387,22/05/2026,游水,從化,,從化,,,,,,,,游水,,
L387,22/05/2026,踱步,從化,內圈,從化 內圈,,,,,,助手,,快踱一圈,,內圈 快踱一圈 (助手)
L387,21/05/2026,馬匹水中步行機,從化,,從化,,,,,,,,馬匹水中步行機,,
L387,21/05/2026,游水,從化,,從化,,,,,,,,游水,,
L387,21/05/2026,踱步,從化,內圈,從化 內圈,,,,,,助手,,倒快一圈,,內圈 倒快一圈 (助手)
L387,20/05/2026,馬匹水中步行機,從化,,從化,,,,,,,,馬匹水中步行機,,
L387,20/05/2026,游水,從化,,從化,,,,,,,,游水,,
L387,20/05/2026,踱步,從化,內圈,從化 內圈,,,,,,助手,,快踱一圈,,內圈 快踱一圈 (助手)
L387,19/05/2026,馬匹水中步行機,從化,,從化,,,,,,,,馬匹水中步行機,,
L387,19/05/2026,游水,從化,,從化,,,,,,,,游水,,
L387,18/05/2026,試閘,從化,草地,從化 草地,800M,0.46.89,46.89,24.3 22.5,星球勇士,巴度,,第6組,,第6組 (巴度) 800M 星球勇士 24.3 22.5 (0.46.89)
L387,18/05/2026,踱步,從化,飛機場,從化 飛機場,,,,,,助手,,踱步,,飛機場 踱步 (助手)
L387,17/05/2026,馬匹水中步行機,從化,,從化,,,,,,,,馬匹水中步行機,,
L387,17/05/2026,游水,從化,,從化,,,,,,,,游水,,
