horse_no,date,work_type,racecourse,track,venue,distance,time,time_sec,splits,partner,rider,placing,comment,gear,workout_details
E356,10/09/2026,踱步,從化,飛機場,從化 飛機場,,,,,,助手,,踱步,H,飛機場 踱步 (助手)
E356,06/09/2026,出賽,沙田,草地,沙田 草地,1200M,,,,,潘明輝,5/6,出賽,,1200M (潘明輝) (5/6)
E356,06/09/2026,踱步,沙田,內圈,沙田 內圈,,,,,,助手,,快踱一圈,H,內圈 快踱一圈 (助手)
E356,05/09/2026,游水,沙田,,沙田,,,,,,,,游水,,
E356,05/09/2026,踱步,沙田,內圈,沙田 內圈,,,,,,助手,,快踱一圈,H,內圈 快踱一圈 (助手)
E356,04/09/2026,游水,沙田,,沙田,,,,,,,,游水,,
E356,04/09/2026,踱步,沙田,內圈,沙田 內圈,,,,,,副練馬師,,快踱一圈,H,內圈 快踱一圈 (副練馬師)
E356,03/09/2026,游水,沙田,,沙田,,,,,,,,游水,,
E356,03/09/2026,快操,沙田,全天候,沙田 全天候,,56.9,56.9,30.6 26.3,,潘明輝,,快操,H,30.6 26.3 (56.9) (潘明輝)
E356,03/09/2026,踱步,沙田,飛機場,沙田 飛機場,,,,,,助手,,踱步,H,飛機場 踱步 (助手)
E356,02/09/2026,游水,沙田,,沙田,,,,,,,,游水,,
E356,02/09/2026,踱步,沙田,內圈,沙田 內圈,,,,,,助手,,快踱一圈,H,內圈 快踱一圈 (助手)
E356,01/09/2026,游水,沙田,,沙田,,,,,,,,游水,,
E356,01/09/2026,踱步,沙田,內圈,沙田 內圈,,,,,,助手,,快踱一圈,H,內圈 快踱一圈 (助手)
E356,31/08/2026,游水,沙田,,沙田,,,,,,,,游水,,
E356,31/08/2026,快操,沙田,全天候,沙田 全天候,,59.6,59.6,33.3 26.3,,助手,,快操,H,33.3 26.3 (59.6) (助手)
E356,31/08/2026,踱步,沙田,飛機場,沙田 飛機場,,,,,,助手,,踱步,H,飛機場 踱步 (助手)
E356,30/08/2026,游水,沙田,,沙田,,,,,,,,游水,,
E356,30/08/2026,踱步,沙田,內圈,沙田 內圈,,,,,,助手,,快踱一圈,H,內圈 快踱一圈 (助手)
E356,29/08/2026,踱步,沙田,內圈,沙田 內圈,,,,,,助手,,快踱一圈,,內圈 快踱一圈 (助手)
E356,28/08/2026,游水,從化,,從化,,,,,,,,游水,,
E356,28/08/2026,踱步,從化,內圈,從化 內圈,,,,,,助手,,快踱一圈,H,內圈 快踱一圈 (助手)
E356,27/08/2026,游水,從化,,從化,,,,,,,,游水,,
