horse_no,date,work_type,racecourse,track,venue,distance,time,time_sec,splits,partner,rider,placing,comment,gear,workout_details
L323,09/09/2026,踱步,從化,內圈,從化 內圈,,,,,,助手,,快踱一圈,H,內圈 快踱一圈 (助手)
L323,08/09/2026,游水,從化,,從化,,,,,,,,游水,,
L323,08/09/2026,踱步,從化,內圈,從化 內圈,,,,,,助手,,快踱一圈,H,內圈 快踱一圈 (助手)
L323,07/09/2026,游水,從化,,從化,,,,,,,,游水,,
L323,07/09/2026,快操,從化,全天候,從化 全天候,,24.9,24.9,24.9,,助手,,快操,H,24.9 (24.9) (助手)
L323,07/09/2026,踱步,從化,飛機場,從化 飛機場,,,,,,助手,,踱步,H,飛機場 踱步 (助手)
L323,06/09/2026,游水,從化,,從化,,,,,,,,游水,,
L323,06/09/2026,踱步,從化,內圈,從化 內圈,,,,,,助手,,快踱一圈,H,內圈 快踱一圈 (助手)
L323,05/09/2026,游水,從化,,從化,,,,,,,,游水,,
L323,05/09/2026,踱步,從化,內圈,從化 內圈,,,,,,助手,,快踱一圈,H,內圈 快踱一圈 (助手)
L323,04/09/2026,游水,從化,,從化,,,,,,,,游水,,
L323,04/09/2026,踱步,從化,內圈,從化 內圈,,,,,,助手,,快踱一圈,H,內圈 快踱一圈 (助手)
L323,03/09/2026,游水,從化,,從化,,,,,,,,游水,,
L323,03/09/2026,踱步,從化,內圈,從化 內圈,,,,,,助手,,倒快兩圈,H,內圈 倒快兩圈 (助手)
L323,02/09/2026,游水,從化,,從化,,,,,,,,游水,,
L323,02/09/2026,踱步,從化,內圈,從化 內圈,,,,,,助手,,快踱一圈,H,內圈 快踱一圈 (助手)
L323,01/09/2026,游水,從化,,從化,,,,,,,,游水,,
L323,31/08/2026,試閘,從化,草地,從化 草地,800M,0.45.79,45.79,23.6 22.1,飛來霸,楊明綸,,第5組,,第5組 (楊明綸) 800M 飛來霸 23.6 22.1 (0.45.79)
L323,31/08/2026,踱步,從化,飛機場,從化 飛機場,,,,,,助手,,踱步,,飛機場 踱步 (助手)
L323,30/08/2026,游水,從化,,從化,,,,,,,,游水,,
L323,30/08/2026,踱步,從化,飛機場,從化 飛機場,,,,,,助手,,踱步,H,飛機場 踱步 (助手)
L323,29/08/2026,游水,從化,,從化,,,,,,,,游水,,
L323,29/08/2026,踱步,從化,內圈,從化 內圈,,,,,,助手,,快踱一圈,H,內圈 快踱一圈 (助手)
L323,28/08/2026,游水,從化,,從化,,,,,,,,游水,,
L323,27/08/2026,游水,從化,,從化,,,,,,,,游水,,
L323,27/08/2026,快操,從化,草地,從化 草地,,23.9,23.9,23.9,,助手,,天外富天,,23.9 (23.9) (助手) 天外富天
L323,27/08/2026,踱步,從化,飛機場,從化 飛機場,,,,,,助手,,踱步,,飛機場 踱步 (助手)
