horse_no,date,work_type,racecourse,track,workout_details,gear
L409,12/07/2026,出賽,沙田,草地,1200M (黃寶妮) (13/14),
L409,12/07/2026,踱步,沙田,彭福公園,彭福公園 踱步 (助手),
L409,11/07/2026,馬匹跑步機,沙田,,（上斜）,
L409,11/07/2026,游水,沙田,,,
L409,10/07/2026,游水,沙田,,,
L409,10/07/2026,踱步,沙田,外圈,外圈 快踱一圈 (黃寶妮),
L409,09/07/2026,游水,沙田,,,
L409,09/07/2026,踱步,沙田,內圈,內圈 倒快兩圈 (黃寶妮),
L409,08/07/2026,游水,沙田,,,
L409,08/07/2026,踱步,沙田,內圈,內圈 快踱一圈 (黃寶妮),
L409,07/07/2026,游水,沙田,,,
L409,07/07/2026,踱步,沙田,外圈,外圈 快踱一圈 (黃寶妮),
L409,06/07/2026,馬匹跑步機,沙田,,馬匹跑步機 - 慢跑 （上斜）,
L409,06/07/2026,游水,沙田,,,
L409,05/07/2026,馬匹跑步機,沙田,,馬匹跑步機 - 慢跑 （上斜）,
L409,05/07/2026,游水,沙田,,,
L409,04/07/2026,游水,沙田,,,
L409,04/07/2026,快操,沙田,全天候,29.6 24.6 (54.2) (黃寶妮) 伴跳馬,
L409,04/07/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),
L409,03/07/2026,游水,沙田,,,
L409,03/07/2026,踱步,沙田,內圈,內圈 快踱一圈 (黃寶妮),
L409,02/07/2026,馬匹跑步機,沙田,,馬匹跑步機 - 慢跑 （上斜）,
L409,02/07/2026,游水,沙田,,,
L409,01/07/2026,馬匹跑步機,沙田,,馬匹跑步機 - 慢跑 （上斜）,
L409,01/07/2026,游水,沙田,,,
L409,30/06/2026,游水,沙田,,,
L409,30/06/2026,快操,沙田,全天候,30.3 25.9 (56.2) (黃寶妮),
L409,30/06/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),
L409,29/06/2026,游水,沙田,,,
L409,29/06/2026,踱步,沙田,內圈,內圈 倒快兩圈 (助手),
L409,28/06/2026,游水,沙田,,,
L409,28/06/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),
L409,27/06/2026,游水,沙田,,,
L409,27/06/2026,踱步,沙田,內圈,內圈 快踱一圈 (黃寶妮),
L409,26/06/2026,游水,沙田,,,
L409,26/06/2026,踱步,沙田,內圈,內圈 快踱一圈 (黃寶妮),
L409,25/06/2026,馬匹跑步機,沙田,,馬匹跑步機 - 踱步 （上斜）,
L409,25/06/2026,游水,沙田,,,
L409,24/06/2026,游水,沙田,,,
L409,23/06/2026,試閘,沙田,全天候,第2組 (黃寶妮) 1200M 手機錶勁 24.4 22.9 22.7 (1.10.07),
L409,23/06/2026,游水,沙田,,,
L409,23/06/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),
L409,22/06/2026,游水,沙田,,,
L409,22/06/2026,踱步,沙田,內圈,內圈 倒快兩圈 (黃寶妮),
L409,21/06/2026,游水,沙田,,,
L409,21/06/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),
L409,20/06/2026,游水,沙田,,,
L409,20/06/2026,踱步,沙田,內圈,內圈 快踱一圈 (黃寶妮),
L409,19/06/2026,游水,沙田,,,
L409,19/06/2026,踱步,沙田,內圈,內圈 快踱一圈 (黃寶妮),
L409,18/06/2026,踱步,沙田,外圈,外圈 快踱一圈 (助手),
L409,17/06/2026,馬匹跑步機,沙田,,馬匹跑步機 - 慢跑 （上斜）,
L409,17/06/2026,游水,沙田,,,
L409,16/06/2026,游水,沙田,,,
L409,16/06/2026,快操,沙田,全天候,33.9 (33.9) (黃寶妮),
L409,16/06/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),
L409,15/06/2026,游水,沙田,,,
L409,15/06/2026,踱步,沙田,內圈,內圈 倒快兩圈 (黃寶妮),
L409,14/06/2026,游水,沙田,,,
L409,14/06/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),
L409,13/06/2026,游水,沙田,,,
L409,13/06/2026,快操,沙田,全天候,30.5 26.8 (57.3) (黃寶妮),
L409,13/06/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),
L409,12/06/2026,游水,沙田,,,
L409,12/06/2026,踱步,沙田,內圈,內圈 快踱一圈 (黃寶妮),
L409,11/06/2026,游水,沙田,,,
L409,11/06/2026,踱步,沙田,內圈,內圈 倒快兩圈 (助手),
L409,10/06/2026,游水,沙田,,,
L409,10/06/2026,踱步,沙田,內圈,內圈 快踱一圈 (黃寶妮),
L409,09/06/2026,游水,沙田,,,
L409,09/06/2026,快操,沙田,全天候,29.8 23.8 (53.6) (黃寶妮) 飛躍成就,
L409,09/06/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),
L409,08/06/2026,馬匹跑步機,沙田,,馬匹跑步機 - 慢跑 （上斜）,
L409,08/06/2026,游水,沙田,,,
L409,07/06/2026,游水,沙田,,,
L409,07/06/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),
L409,06/06/2026,馬匹跑步機,沙田,,馬匹跑步機 - 慢跑 （上斜）,
L409,06/06/2026,游水,沙田,,,
L409,05/06/2026,馬匹跑步機,沙田,,馬匹跑步機 - 步行 （上斜）,
L409,05/06/2026,游水,沙田,,,
L409,04/06/2026,游水,沙田,,,
L409,04/06/2026,快操,沙田,全天候,28.9 26.1 (55.0) (黃寶妮),
L409,04/06/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),
L409,03/06/2026,游水,沙田,,,
L409,03/06/2026,踱步,沙田,內圈,內圈 快踱一圈 (黃寶妮),
L409,02/06/2026,游水,沙田,,,
L409,02/06/2026,快操,沙田,全天候,33.3 (33.3) (黃寶妮),
L409,02/06/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),
L409,01/06/2026,游水,沙田,,,
L409,01/06/2026,踱步,沙田,內圈,內圈 倒快兩圈 (黃寶妮),
L409,31/05/2026,游水,沙田,,,
L409,31/05/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),
L409,30/05/2026,游水,沙田,,,
L409,30/05/2026,踱步,沙田,內圈,內圈 快踱一圈 (黃寶妮),
L409,29/05/2026,游水,沙田,,,
L409,29/05/2026,踱步,沙田,內圈,內圈 快踱一圈 (黃寶妮),
L409,28/05/2026,馬匹跑步機,沙田,,馬匹跑步機 - 踱步 （上斜）,
L409,28/05/2026,游水,沙田,,,
L409,27/05/2026,游水,沙田,,,
L409,26/05/2026,試閘,沙田,草地,第2組 (黃寶妮) 1000M 金金小子 14.0 21.3 22.4 (0.57.77),
L409,26/05/2026,游水,沙田,,,
L409,26/05/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),
L409,25/05/2026,游水,沙田,,,
L409,25/05/2026,踱步,沙田,內圈,內圈 倒快兩圈 (助手),
L409,24/05/2026,游水,沙田,,,
L409,24/05/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),
L409,23/05/2026,游水,沙田,,,
L409,23/05/2026,踱步,沙田,內圈,內圈 快踱一圈 (黃寶妮),
L409,22/05/2026,游水,沙田,,,
L409,22/05/2026,快操,沙田,全天候,30.5 23.9 (54.4) (黃寶妮) 騰雲絕影,
L409,22/05/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),
L409,21/05/2026,游水,沙田,,,
L409,21/05/2026,踱步,沙田,內圈,內圈 倒快兩圈 (助手),
L409,20/05/2026,游水,沙田,,,
L409,20/05/2026,踱步,沙田,內圈,內圈 快踱一圈 (黃寶妮),
L409,19/05/2026,游水,沙田,,,
L409,19/05/2026,快操,沙田,全天候,29.5 24.4 (53.9) (黃寶妮),
L409,19/05/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),
L409,18/05/2026,游水,沙田,,,
L409,18/05/2026,踱步,沙田,內圈,內圈 倒快兩圈 (助手),
L409,17/05/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),
L409,16/05/2026,馬匹跑步機,沙田,,馬匹跑步機 - 踱步,
L409,16/05/2026,游水,沙田,,,
L409,15/05/2026,游水,沙田,,,
L409,15/05/2026,踱步,沙田,內圈,內圈 快踱一圈 (黃寶妮),
L409,14/05/2026,游水,沙田,,,
L409,14/05/2026,快操,沙田,草閘,24.8 22.8 (47.6) (黃寶妮) 騰雲絕影,
L409,14/05/2026,踱步,沙田,飛機場,飛機場 踱步 (黃寶妮),
L409,13/05/2026,游水,沙田,,,
L409,13/05/2026,踱步,沙田,內圈,內圈 快踱一圈 (黃寶妮),
L409,12/05/2026,游水,沙田,,,
L409,12/05/2026,踱步,沙田,外圈,外圈 快踱一圈 (黃寶妮),
L409,11/05/2026,游水,沙田,,,
L409,11/05/2026,踱步,沙田,內圈,內圈 倒快兩圈 (助手),
L409,10/05/2026,游水,沙田,,,
L409,10/05/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),
L409,09/05/2026,游水,沙田,,,
L409,09/05/2026,踱步,沙田,內圈,內圈 快踱一圈 (黃寶妮),
L409,08/05/2026,游水,沙田,,,
L409,08/05/2026,快操,沙田,全天候,28.2 23.2 (51.4) (黃寶妮) 騰雲絕影,
L409,08/05/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),
L409,07/05/2026,游水,沙田,,,
L409,07/05/2026,踱步,沙田,內圈,內圈 倒快兩圈 (黃寶妮),
L409,06/05/2026,游水,沙田,,,
L409,06/05/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),
L409,05/05/2026,游水,沙田,,,
L409,05/05/2026,踱步,沙田,內圈,內圈 快踱一圈 (黃寶妮),
L409,04/05/2026,游水,沙田,,,
L409,04/05/2026,快操,沙田,草閘,25.2 24.1 (49.3) (黃寶妮) 騰雲絕影,
L409,04/05/2026,踱步,沙田,飛機場,飛機場 踱步 (黃寶妮),
L409,03/05/2026,游水,沙田,,,
L409,03/05/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),
L409,02/05/2026,游水,沙田,,,
L409,02/05/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),
L409,01/05/2026,游水,沙田,,,
L409,01/05/2026,快操,沙田,全天候,29.4 23.8 (53.2) (黃寶妮) 騰雲絕影,
L409,01/05/2026,踱步,沙田,飛機場,飛機場 踱步 (黃寶妮),
L409,30/04/2026,游水,沙田,,,
L409,30/04/2026,踱步,沙田,內圈,內圈 倒快兩圈 (助手),
L409,29/04/2026,游水,沙田,,,
L409,29/04/2026,踱步,沙田,內圈,內圈 快踱兩圈 (助手),
L409,28/04/2026,游水,沙田,,,
L409,28/04/2026,快操,沙田,全天候,29.8 24.6 (54.4) (黃寶妮) 騰雲絕影,
L409,28/04/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),
L409,27/04/2026,游水,沙田,,,
L409,27/04/2026,踱步,沙田,內圈,內圈 倒快兩圈 (助手),
L409,26/04/2026,游水,沙田,,,
L409,26/04/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),
L409,25/04/2026,游水,沙田,,,
L409,25/04/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),
L409,24/04/2026,游水,沙田,,,
L409,24/04/2026,快操,沙田,全天候,28.9 24.3 (53.2) (黃寶妮) 騰雲絕影,
L409,24/04/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),
L409,23/04/2026,游水,沙田,,,
L409,23/04/2026,踱步,沙田,內圈,內圈 倒快兩圈 (助手),
L409,22/04/2026,游水,沙田,,,
