trial_date,group_no,trial_venue,distance_m,going,group_time,group_sectional_times
10/03/2026,2,沙田全天候跑道,1200,好地,1.10.79,25.2   22.8   22.7
10/03/2026,3,沙田全天候跑道,1200,好地,1.10.26,24.8   22.7   22.7
10/03/2026,4,沙田全天候跑道,1200,好地,1.10.76,24.8   22.7   23.2
06/03/2026,1,沙田全天候跑道,1200,好地,1.10.96,25.6   23.0   22.3
06/03/2026,2,沙田全天候跑道,1200,好地,1.10.79,25.2   22.8   22.7
06/03/2026,3,沙田全天候跑道,1200,好地,1.10.26,24.8   22.7   22.7
06/03/2026,4,沙田全天候跑道,1200,好地,1.10.76,24.8   22.7   23.2
05/03/2026,1,沙田全天候跑道,1200,好地,1.10.96,25.6   23.0   22.3
05/03/2026,2,沙田全天候跑道,1200,好地,1.10.79,25.2   22.8   22.7
05/03/2026,3,沙田全天候跑道,1200,好地,1.10.26,24.8   22.7   22.7
05/03/2026,4,沙田全天候跑道,1200,好地,1.10.76,24.8   22.7   23.2
03/03/2026,1,沙田全天候跑道,1200,好地,1.10.96,25.6   23.0   22.3
03/03/2026,2,沙田全天候跑道,1200,好地,1.10.79,25.2   22.8   22.7
03/03/2026,3,沙田全天候跑道,1200,好地,1.10.26,24.8   22.7   22.7
03/03/2026,4,沙田全天候跑道,1200,好地,1.10.76,24.8   22.7   23.2
02/03/2026,1,沙田全天候跑道,1200,好地,1.10.96,25.6   23.0   22.3
02/03/2026,2,沙田全天候跑道,1200,好地,1.10.79,25.2   22.8   22.7
02/03/2026,3,沙田全天候跑道,1200,好地,1.10.26,24.8   22.7   22.7
02/03/2026,4,沙田全天候跑道,1200,好地,1.10.76,24.8   22.7   23.2
27/02/2026,1,沙田全天候跑道,1200,好地,1.10.96,25.6   23.0   22.3
27/02/2026,2,沙田全天候跑道,1200,好地,1.10.79,25.2   22.8   22.7
27/02/2026,3,沙田全天候跑道,1200,好地,1.10.26,24.8   22.7   22.7
27/02/2026,4,沙田全天候跑道,1200,好地,1.10.76,24.8   22.7   23.2
26/02/2026,1,沙田全天候跑道,1200,好地,1.10.96,25.6   23.0   22.3
26/02/2026,2,沙田全天候跑道,1200,好地,1.10.79,25.2   22.8   22.7
26/02/2026,3,沙田全天候跑道,1200,好地,1.10.26,24.8   22.7   22.7
26/02/2026,4,沙田全天候跑道,1200,好地,1.10.76,24.8   22.7   23.2
24/02/2026,1,沙田全天候跑道,1200,好地,1.10.96,25.6   23.0   22.3
24/02/2026,2,沙田全天候跑道,1200,好地,1.10.79,25.2   22.8   22.7
24/02/2026,3,沙田全天候跑道,1200,好地,1.10.26,24.8   22.7   22.7
24/02/2026,4,沙田全天候跑道,1200,好地,1.10.76,24.8   22.7   23.2
20/02/2026,1,沙田全天候跑道,1200,好地,1.10.96,25.6   23.0   22.3
20/02/2026,2,沙田全天候跑道,1200,好地,1.10.79,25.2   22.8   22.7
20/02/2026,3,沙田全天候跑道,1200,好地,1.10.26,24.8   22.7   22.7
20/02/2026,4,沙田全天候跑道,1200,好地,1.10.76,24.8   22.7   23.2
16/02/2026,1,沙田全天候跑道,1200,好地,1.10.96,25.6   23.0   22.3
16/02/2026,2,沙田全天候跑道,1200,好地,1.10.79,25.2   22.8   22.7
16/02/2026,3,沙田全天候跑道,1200,好地,1.10.26,24.8   22.7   22.7
16/02/2026,4,沙田全天候跑道,1200,好地,1.10.76,24.8   22.7   23.2
13/02/2026,1,沙田全天候跑道,1200,好地,1.10.96,25.6   23.0   22.3
13/02/2026,2,沙田全天候跑道,1200,好地,1.10.79,25.2   22.8   22.7
