date,venue,race_no,race_meeting_no,race_name,race_class,distance_m,rating_range,going,course,prize_hkd,race_finish_time,sectional_times_header,place,horse_no,horse_name,jockey,trainer,actual_wt_lbs,declared_wt_lbs,draw,lbw,running_position,finish_time,win_odds
2020-01-05,沙田,1,304,恩平讓賽,第四班,1000,60-35,好地,"草地 - ""C+3"" 賽道",967000,(13.24) (34.32) (57.00),13.24 21.08 22.68,1,12,二話不說 (C134),潘明輝,葉楚航,118,1098,6,-,9 8 1,0:57.00,14
2020-01-05,沙田,1,304,恩平讓賽,第四班,1000,60-35,好地,"草地 - ""C+3"" 賽道",967000,(13.24) (34.32) (57.00),13.24 21.08 22.68,2,6,眾歡笑 (D038),蘇兆輝,鄭俊偉,127,1002,3,1-1/2,13 13 2,0:57.24,27
2020-01-05,沙田,1,304,恩平讓賽,第四班,1000,60-35,好地,"草地 - ""C+3"" 賽道",967000,(13.24) (34.32) (57.00),13.24 21.08 22.68,3,13,寶貝兒 (B365),田泰安,蘇偉賢,119,1001,10,2-1/2,12 9 3,0:57.38,38
2020-01-05,沙田,1,304,恩平讓賽,第四班,1000,60-35,好地,"草地 - ""C+3"" 賽道",967000,(13.24) (34.32) (57.00),13.24 21.08 22.68,4,4,善傳萬里 (D167),楊明綸,文家良,127,1111,12,2-3/4,6 1 4,0:57.43,9.9
2020-01-05,沙田,1,304,恩平讓賽,第四班,1000,60-35,好地,"草地 - ""C+3"" 賽道",967000,(13.24) (34.32) (57.00),13.24 21.08 22.68,5,5,八卦 (C102),利敬國,賀賢,127,1124,14,2-3/4,11 7 5,0:57.44,4.5
2020-01-05,沙田,1,304,恩平讓賽,第四班,1000,60-35,好地,"草地 - ""C+3"" 賽道",967000,(13.24) (34.32) (57.00),13.24 21.08 22.68,6,1,快樂凱旋 (B195),陳嘉熙,容天鵬,123,1100,2,3,8 10 6,0:57.47,18
2020-01-05,沙田,1,304,恩平讓賽,第四班,1000,60-35,好地,"草地 - ""C+3"" 賽道",967000,(13.24) (34.32) (57.00),13.24 21.08 22.68,7,2,魅力星光 (C540),希威森,韋達,132,1075,4,3-1/4,10 11 7,0:57.50,49
2020-01-05,沙田,1,304,恩平讓賽,第四班,1000,60-35,好地,"草地 - ""C+3"" 賽道",967000,(13.24) (34.32) (57.00),13.24 21.08 22.68,8,9,常勝心 (D044),潘頓,羅富全,127,1230,8,3-1/4,3 3 8,0:57.52,4.8
2020-01-05,沙田,1,304,恩平讓賽,第四班,1000,60-35,好地,"草地 - ""C+3"" 賽道",967000,(13.24) (34.32) (57.00),13.24 21.08 22.68,9,3,寶都 (C072),何澤堯,呂健威,130,1029,5,3-3/4,7 12 9,0:57.61,54
2020-01-05,沙田,1,304,恩平讓賽,第四班,1000,60-35,好地,"草地 - ""C+3"" 賽道",967000,(13.24) (34.32) (57.00),13.24 21.08 22.68,10,8,過河勁卒 (C381),莫雷拉,蔡約翰,127,1029,1,4,2 4 10,0:57.62,3
2020-01-05,沙田,1,304,恩平讓賽,第四班,1000,60-35,好地,"草地 - ""C+3"" 賽道",967000,(13.24) (34.32) (57.00),13.24 21.08 22.68,11,7,旺舖必星 (C387),巴度,丁冠豪,127,1131,11,5,14 14 11,0:57.78,93
2020-01-05,沙田,1,304,恩平讓賽,第四班,1000,60-35,好地,"草地 - ""C+3"" 賽道",967000,(13.24) (34.32) (57.00),13.24 21.08 22.68,12,11,八駿雄風 (C449),彭國年,徐雨石,120,1139,13,6-3/4,4 2 12,0:58.07,29
2020-01-05,沙田,1,304,恩平讓賽,第四班,1000,60-35,好地,"草地 - ""C+3"" 賽道",967000,(13.24) (34.32) (57.00),13.24 21.08 22.68,13,10,百寶袋 (D008),梁家俊,姚本輝,125,1070,7,6-3/4,1 6 13,0:58.08,23
