date,venue,race_no,finish_pos,horse_no,horse_name,finish_time,sec1_margin,sec1_running_pos,sec1_time,sec2_margin,sec2_running_pos,sec2_time,sec3_margin,sec3_running_pos,sec3_time,sec4_margin,sec4_running_pos,sec4_time,sec5_margin,sec5_running_pos,sec5_time,sec6_margin,sec6_running_pos,sec6_time
2019-05-18,沙田,1,1,7,銀城福星 (V088),1:09.62,3/4,1,23.84,1,1,22.22,HD,1,23.56,,,,,,,,,
2019-05-18,沙田,1,2,4,依斯堅 (B028),1:09.66,5-1/4,8,24.68,5-1/4,9,22.22,HD,2,22.76,,,,,,,,,
2019-05-18,沙田,1,3,9,勁皇子 (V143),1:09.67,2,3,24.16,1-1/2,3,22.14,N,3,23.37,,,,,,,,,
2019-05-18,沙田,1,4,1,利之喜 (A405),1:09.72,2-1/4,4,24.20,2-1/2,4,22.26,1/2,4,23.26,,,,,,,,,
2019-05-18,沙田,1,5,6,明月昇輝 (A324),1:09.84,7-1/2,11,25.04,5-1/2,10,21.90,1-1/2,5,22.90,,,,,,,,,
2019-05-18,沙田,1,6,2,皇帝詔令 (B061),1:09.86,3-3/4,6,24.44,3-1/4,5,22.14,1-1/2,6,23.28,,,,,,,,,
2019-05-18,沙田,1,7,5,錢途再現 (A046),1:10.21,5-1/2,9,24.72,4-3/4,7,22.10,3-3/4,7,23.39,,,,,,,,,
2019-05-18,沙田,1,8,3,黃埔之星 (B146),1:10.46,7,10,24.96,7-3/4,11,22.34,5-1/4,8,23.16,,,,,,,,,
2019-05-18,沙田,1,9,8,大笑大少 (P297),1:10.63,3,5,24.32,3-1/2,6,22.30,6-1/4,9,24.01,,,,,,,,,
2019-05-18,沙田,1,10,11,日東昇 (V302),1:10.67,4,7,24.48,5,8,22.38,6-1/2,10,23.81,,,,,,,,,
2019-05-18,沙田,1,11,10,必定掂 (A107),1:10.91,3/4,2,23.96,1,2,22.26,8,11,24.69,,,,,,,,,
2019-05-18,沙田,1,12,12,東方孖寶 (T267),1:11.29,8-3/4,12,25.24,8,12,22.10,10-1/2,12,23.95,,,,,,,,,
2019-05-18,沙田,2,1,7,更好世界 (C237),0:55.28,1/2,1,13.17,N,1,20.45,N,1,21.66,,,,,,,,,
2019-05-18,沙田,2,2,2,極速前進 (V390),0:55.34,1-1/2,3,13.41,1/2,3,20.29,N,2,21.64,,,,,,,,,
2019-05-18,沙田,2,3,1,傳盛 (B416),0:55.40,1/2,2,13.25,N,2,20.41,3/4,3,21.74,,,,,,,,,
2019-05-18,沙田,2,4,3,領航寶寶 (C087),0:55.51,1-3/4,4,13.45,1-1/2,4,20.41,1-1/2,4,21.65,,,,,,,,,
2019-05-18,沙田,2,5,12,八進 (B263),0:55.95,2,5,13.49,1-3/4,6,20.41,4-1/4,5,22.05,,,,,,,,,
2019-05-18,沙田,2,6,13,電訊火箭 (C137),0:56.16,3-1/4,9,13.69,3-3/4,9,20.53,5-1/2,6,21.94,,,,,,,,,
2019-05-18,沙田,2,7,11,打鐵趁熱 (C133),0:56.30,2-3/4,8,13.61,1-1/2,5,20.25,6-1/2,7,22.44,,,,,,,,,
2019-05-18,沙田,2,8,5,槍槍中 (C092),0:56.48,2-1/4,6,13.53,2,7,20.41,7-1/2,8,22.54,,,,,,,,,
2019-05-18,沙田,2,9,4,慣勝尊重 (C129),0:56.49,4-1/4,12,13.85,3-1/4,8,20.29,7-1/2,9,22.35,,,,,,,,,
2019-05-18,沙田,2,10,14,太陽多多 (C171),0:56.59,4,11,13.81,4-1/4,11,20.49,8-1/4,10,22.29,,,,,,,,,
2019-05-18,沙田,2,11,6,超霸無敵 (C256),0:56.99,2-1/2,7,13.57,4,10,20.69,10-3/4,11,22.73,,,,,,,,,
2019-05-18,沙田,2,12,10,好友祥勝 (C220),0:57.34,3-1/4,10,13.69,6-1/2,12,20.97,12-3/4,12,22.68,,,,,,,,,
2019-05-18,沙田,2,13,9,奮鬥揚威 (C354),0:57.59,6,14,14.13,7,13,20.61,14-1/2,13,22.85,,,,,,,,,
2019-05-18,沙田,2,14,8,耀目良駒 (B465),0:58.12,4-1/2,13,13.89,7-1/2,14,20.93,17-3/4,14,23.30,,,,,,,,,
2019-05-18,沙田,3,1,3,閃耀榮光 (B372),1:09.75,3-1/2,8,24.62,3/4,3,22.46,SH,1,22.67,,,,,,,,,
2019-05-18,沙田,3,2,11,陽明豐豐 (B016),1:09.77,7-1/2,12,25.26,2-3/4,9,22.14,SH,2,22.37,,,,,,,,,
