horse_no,race_index,place,date,racecourse,track,course,distance_m,going,race_class,draw,rating,trainer,jockey,lbw,win_odds,actual_wt_lbs,running_position,finish_time,declared_wt_lbs,gear
T280,360,07,23/01/2019,跑馬地,草地,C,1650,好,5,7,32,丁冠豪,潘明輝,3-1/2,7.3,122,2 2 2 7,1.41.38,1037,PC
T280,248,07,12/12/2018,跑馬地,草地,C,1650,好,5,9,32,丁冠豪,潘明輝,2-3/4,4.9,122,7 7 8 7,1.41.24,1044,PC
T280,210,03,28/11/2018,跑馬地,草地,A,1650,好,5,7,32,丁冠豪,巫顯東,1-1/4,2.5,122,1 1 1 3,1.41.73,1053,PC
T280,065,01,03/10/2018,跑馬地,草地,A,1650,好,5,10,27,丁冠豪,潘明輝,短馬頭位,2.3,116,1 1 1 1,1.41.12,1037,PC
T280,011,01,05/09/2018,跑馬地,草地,B,1650,好/快,5,8,20,丁冠豪,潘明輝,1-3/4,3.8,112,1 2 2 1,1.42.25,1038,PC
T280,705,07,06/06/2018,跑馬地,草地,A,1650,好/黏,5,8,22,李易達,田泰安,5-1/2,9.3,115,4 4 4 7,1.42.34,1048,PC
T280,622,10,06/05/2018,沙田,草地,B,1600,好,5,12,24,李易達,楊明綸,6-3/4,9.1,115,3 4 6 10,1.37.01,1058,PC
T280,567,07,15/04/2018,沙田全天候,,,1200,濕慢,5,2,25,李易達,楊明綸,9-1/2,29,116,8 10 7,1.11.24,1056,PC
T280,467,03,03/03/2018,沙田,草地,C,1600,好,5,5,25,李易達,楊明綸,1,9.5,116,6 5 3 3,1.35.67,1070,PC
T280,309,08,01/01/2018,沙田,草地,B+2,1600,好,5,13,26,李易達,楊明綸,4-1/2,14,118,3 3 3 8,1.37.22,1076,PC
T280,264,04,13/12/2017,跑馬地,草地,C,1650,好,5,7,26,李易達,沈拿,5-3/4,10,120,3 3 4 4,1.41.64,1077,PC
T280,173,09,08/11/2017,跑馬地,草地,B,1800,好,5,12,26,李易達,楊明綸,10-1/2,4.4,118,1 2 2 3 9,1.52.04,1073,PC
T280,109,02,14/10/2017,沙田,草地,C,1600,好,5,5,25,李易達,楊明綸,1/2,19,116,3 3 3 2,1.34.84,1056,PC
T280,068,01,27/09/2017,跑馬地,草地,C+3,1650,好/快,5,10,18,李易達,楊明綸,頸位,56,111,2 2 2 1,1.40.63,1050,B-/PC1
T280,022,10,10/09/2017,沙田,草地,C,1400,好,5,2,19,李易達,楊明綸,6,43,111,3 3 5 10,1.23.87,1060,B
T280,005,12,03/09/2017,沙田,草地,B,1200,好,5,11,19,李易達,楊明綸,8,32,111,8 10 12,1.11.45,1061,B
T280,797,02,16/07/2017,沙田,草地,C,1200,好,5,10,16,李易達,楊明綸,短馬頭位,51,112,4 3 2,1.10.71,1038,B
T280,751,08,25/06/2017,沙田,草地,A,1400,好/快,5,10,18,李易達,楊明綸,6-3/4,19,111,11 13 12 8,1.23.58,1049,B
T280,699,04,04/06/2017,沙田,草地,B,1400,好/快,5,9,18,李易達,蘇狄雄,3,43,111,5 6 6 4,1.23.36,1049,B
T280,662,10,21/05/2017,沙田全天候,,,1200,好,5,8,18,李易達,楊明綸,12-3/4,7.8,111,6 8 10,1.11.25,1049,B
T280,589,04,23/04/2017,沙田全天候,,,1200,好,5,1,14,李易達,蘇狄雄,3-1/4,14,111,7 6 4,1.09.95,1026,B
T280,268,14,17/12/2016,沙田全天候,,,1650,好,5,11,16,李易達,祖格拉,22,39,113,8 7 13 14,1.42.70,1022,B
T280,241,07,07/12/2016,跑馬地,草地,B,1650,好/快,5,1,18,李易達,田泰安,3-3/4,10,116,4 5 5 7,1.42.07,1024,B
T280,139,05,30/10/2016,跑馬地,草地,A,1650,好,5,6,20,李易達,田泰安,2-1/4,13,115,6 7 3 5,1.42.63,1005,B
T280,106,05,16/10/2016,沙田,草地,C,1400,好/快,5,1,21,李易達,楊明綸,2-1/4,65,112,5 4 3 5,1.23.26,1016,B
T280,057,10,28/09/2016,跑馬地,草地,C+3,1650,好,5,7,24,李易達,楊明綸,5-1/2,24,115,3 3 3 10,1.42.73,1023,B
T280,323,10,13/01/2016,跑馬地,草地,B,1650,好,5,1,31,苗禮德,黎海榮,8,68,124,2 2 3 10,1.44.12,982,H-/V-/B1
T280,292,12,01/01/2016,沙田,草地,B+2,1800,好,5,1,35,苗禮德,黎海榮,6-1/4,201,131,2 6 5 6 12,1.50.04,992,H/V
T280,262,09,19/12/2015,沙田,草地,C+3,1400,好,5,7,39,苗禮德,黎海榮,9-1/4,158,132,13 14 13 9,1.24.47,992,H/V
T280,151,07,08/11/2015,沙田,草地,C+3,1200,好,4R,4,42,苗禮德,田泰安,7,192,116,5 6 7,1.11.26,980,H/V1
T280,088,11,07/10/2015,跑馬地,草地,A,1200,好/黏,4,12,45,苗禮德,田泰安,10-3/4,196,118,12 12 11,1.12.71,996,H
T280,050,10,23/09/2015,跑馬地,草地,C,1200,好,4,11,47,苗禮德,霍勵賢,5,293,120,11 11 10,1.12.05,989,P-/H1
T280,689,10,14/06/2015,沙田,草地,B+2,1200,好/快,GRIFFIN,6,--,苗禮德,連達文,11-3/4,99,120,7 9 10,1.11.57,1009,P
T280,634,11,24/05/2015,沙田,草地,C+3,1000,好/黏,GRIFFIN,10,--,苗禮德,田泰安,13-1/2,82,120,6 9 11,0.58.53,1007,P1
