horse_no,race_index,place,date,racecourse,track,course,distance_m,going,race_class,draw,rating,trainer,jockey,lbw,win_odds,actual_wt_lbs,running_position,finish_time,declared_wt_lbs,gear
C256,140,12,28/10/2020,跑馬地,草地,C+3,1800,好,5,10,30,苗禮德,黃俊,17-1/4,129,120,5 4 4 6 12,1.52.19,1023,SR
C256,122,12,21/10/2020,跑馬地,草地,C,1650,好/快,5,3,33,苗禮德,黃俊,10-1/4,41,122,1 1 1 12,1.41.71,1037,SR
C256,056,12,27/09/2020,沙田,草地,A,1400,好,5,5,35,苗禮德,巴度,13,79,129,3 4 6 12,1.24.07,1028,SR
C256,769,14,27/06/2020,沙田全天候,,,1650,好,5,7,38,姚本輝,史卓豐,30-1/4,25,131,4 2 6 14,1.45.03,1038,SR2
C256,699,10,31/05/2020,沙田,草地,B,1400,好,5,4,40,姚本輝,周俊樂,6-1/4,6.5,123,4 4 5 10,1.23.42,1035,--
C256,634,06,06/05/2020,跑馬地,草地,B,1200,好/快,4,12,41,姚本輝,黎海榮,4-1/4,96,115,12 12 6,1.10.40,1040,XB-
C256,520,09,25/03/2020,跑馬地,草地,A,1650,好,4,3,43,姚本輝,黎海榮,8-3/4,68,118,3 3 3 9,1.41.74,1037,XB
C256,467,12,04/03/2020,跑馬地,草地,B,1650,好,4,4,45,姚本輝,黃俊,8-1/4,26,113,1 1 1 12,1.41.92,1039,SR-/XB1
C256,355,11,22/01/2020,跑馬地,草地,A,1650,好,4,10,46,姚本輝,希威森,12-1/2,21,120,3 3 1 11,1.42.10,1037,SR
C256,318,07,08/01/2020,跑馬地,草地,C,1650,好,4,4,46,姚本輝,何澤堯,4-3/4,24,119,2 2 1 7,1.40.83,1032,SR
C256,258,10,18/12/2019,跑馬地,草地,C+3,1650,好/快,4,7,46,姚本輝,史卓豐,5-1/2,10,119,4 4 4 10,1.40.39,1049,SR
C256,180,01,20/11/2019,跑馬地,草地,C+3,1650,好/快,5,8,40,姚本輝,史卓豐,1/2,29,133,1 1 1 1,1.40.43,1045,SR1
C256,119,06,23/10/2019,跑馬地,草地,C+3,1200,好/快,4,1,42,姚本輝,潘明輝,3-1/4,14,113,4 4 6,1.10.54,1036,--
C256,051,06,25/09/2019,跑馬地,草地,A,1200,好/快,4,1,44,姚本輝,黎海榮,6,72,117,3 3 6,1.10.68,1038,B-
C256,791,12,07/07/2019,沙田全天候,,,1200,好,4,11,48,姚本輝,田泰安,21-1/4,144,124,8 10 12,1.13.47,1033,B
C256,736,11,12/06/2019,沙田全天候,,,1200,濕慢,4,2,50,姚本輝,郭能,11,69,123,6 5 11,1.11.14,1048,B1
C256,667,11,18/05/2019,沙田,草地,C+3,1000,好,4,5,52,姚本輝,蔡明紹,10-3/4,52,123,7 10 11,0.56.99,1030,--
C256,621,05,01/05/2019,跑馬地,草地,C+3,1000,好,4,1,52,姚本輝,史卓豐,2-1/2,28,126,5 4 5,0.57.67,1041,--
