horse_no,race_index,place,date,racecourse,track,course,distance_m,going,race_class,draw,rating,trainer,jockey,lbw,win_odds,actual_wt_lbs,running_position,finish_time,declared_wt_lbs,gear
C412,800,WV-A,06/07/2022,跑馬地,草地,A,1650,好,5,--,24,文家良,巴度,--,--,119,--,--,--,--
C412,732,02,08/06/2022,跑馬地,草地,A,1650,黏,5,2,23,文家良,巴度,1-1/4,7,117,4 4 4 2,1.43.43,1130,B/TT
C412,638,05,04/05/2022,沙田,草地,C,1400,好,5,13,23,文家良,潘明輝,2-3/4,10,114,1 1 1 5,1.23.15,1119,B/TT
C412,548,02,03/04/2022,沙田,草地,B+2,1400,好,5,6,20,文家良,潘明輝,頸位,11,113,2 2 2 2,1.23.12,1109,B/TT
C412,492,07,12/03/2022,沙田,草地,C+3,1400,好,5,5,20,文家良,潘明輝,1-3/4,13,113,1 2 4 7,1.23.23,1111,B/TT
C412,408,09,09/02/2022,跑馬地,草地,B,1650,好,5,12,22,文家良,班德禮,7-3/4,23,118,4 4 11 9,1.42.16,1104,B/TT
C412,293,07,29/12/2021,沙田全天候,,,1650,好,5,7,24,文家良,波健士,2-3/4,10,118,2 2 1 7,1.39.37,1113,B/TT
C412,263,04,18/12/2021,沙田,草地,C+3,1600,好,5,6,25,文家良,蔡明紹,3-1/2,17,118,3 3 3 4,1.35.51,1114,V-/B2/TT
C412,149,04,07/11/2021,沙田,草地,C+3,1600,好,5,5,25,文家良,蔡明紹,1-1/4,53,119,5 6 5 4,1.34.90,1104,B-/H-/V1/TT
C412,087,13,10/10/2021,沙田,草地,A+3,1400,好/黏,5,10,28,文家良,陳嘉熙,15-3/4,45,114,2 3 11 13,1.24.82,1076,E-/B/H1/TT
C412,818,11,11/07/2021,沙田,草地,A,1400,好/快,5,3,31,蔡約翰,賀銘年,8,29,124,2 4 5 11,1.23.28,1135,B/E/TT
C412,799,12,04/07/2021,沙田,草地,C+3,1400,好/快,5,10,33,蔡約翰,班德禮,8-3/4,14,121,6 7 8 12,1.22.97,1132,B/E/TT
C412,779,14,26/06/2021,沙田,草地,B,1400,好/黏,5,12,35,蔡約翰,賀銘年,7,18,128,2 2 2 14,1.24.68,1122,B/E/TT
C412,728,04,06/06/2021,沙田,草地,C,1200,好,5,2,37,蔡約翰,莫雷拉,2-1/2,5.5,131,2 3 4,1.10.13,1119,B/E/TT
C412,662,08,12/05/2021,沙田全天候,,,1200,好,5,10,39,蔡約翰,波健士,5-1/2,12,133,4 6 8,1.10.57,1105,B/E/TT
C412,579,05,11/04/2021,沙田,草地,C,1400,好,4,14,41,蔡約翰,波健士,3-1/4,58,115,2 3 5 5,1.22.38,1124,B/E/TT
C412,539,12,28/03/2021,沙田,草地,A+3,1400,好/快,4,9,42,蔡約翰,黃皓楠,14-1/4,131,113,2 2 3 12,1.23.50,1129,B/E/TT
C412,505,06,13/03/2021,沙田,草地,C+3,1400,好,4,13,42,蔡約翰,賀銘年,10,59,119,3 3 3 6,1.22.93,1130,B/E/TT
C412,465,09,28/02/2021,沙田,草地,B+2,1600,好,4,4,42,蔡約翰,波健士,6,33,115,2 3 3 9,1.35.56,1128,B/E/TT
C412,422,01,14/02/2021,沙田,草地,A,1400,好,5,2,37,蔡約翰,波健士,頸位,42,130,2 2 1 1,1.23.81,1140,B/E/TT
C412,374,11,27/01/2021,跑馬地,草地,C+3,1200,好,5,7,39,蔡約翰,賀銘年,5-1/2,14,133,3 4 11,1.10.89,1134,B/E/TT
C412,318,05,06/01/2021,跑馬地,草地,A,1200,好,4,1,41,蔡約翰,蔡明紹,2-1/4,17,115,2 3 5,1.10.63,1131,B/E/TT
C412,254,12,09/12/2020,跑馬地,草地,B,1200,好,4,2,43,蔡約翰,莫雷拉,6-1/2,7.9,119,2 2 12,1.10.91,1124,B/E/TT
C412,199,04,18/11/2020,跑馬地,草地,C,1200,好,4,11,44,蔡約翰,莫雷拉,1-1/2,19,117,9 6 4,1.10.40,1120,B/E/TT
C412,171,04,08/11/2020,跑馬地,草地,A,1200,好,4,4,44,蔡約翰,波健士,1-3/4,45,117,2 2 4,1.10.76,1119,B/E/TT
C412,107,12,14/10/2020,跑馬地,草地,B,1200,好,4,1,46,蔡約翰,莫雷拉,10-3/4,11,120,6 7 12,1.11.70,1108,B/E/TT
C412,048,07,23/09/2020,跑馬地,草地,C+3,1200,好/快,4,2,46,蔡約翰,莫雷拉,1-1/2,15,121,7 8 7,1.10.09,1097,E/B1/TT
C412,003,14,06/09/2020,沙田,草地,A,1200,好,4,10,48,蔡約翰,莫雷拉,17-1/4,30,121,3 4 14,1.12.35,1088,E/TT
C412,801,09,08/07/2020,跑馬地,草地,A,1200,好,4,5,51,蔡約翰,賀銘年,6,20,127,8 9 9,1.10.99,1096,E/TT
C412,750,12,21/06/2020,沙田,草地,A,1200,好/快,4,4,53,蔡約翰,莫雷拉,10-1/4,10,126,7 10 12,1.10.62,1087,E1/TT
C412,721,05,07/06/2020,沙田,草地,C,1200,黏,4,3,54,蔡約翰,史卓豐,10-1/2,8.7,127,5 6 5,1.11.18,1083,TT1
C412,317,08,08/01/2020,跑馬地,草地,C,1200,好,4,2,54,蔡約翰,莫雷拉,5-1/2,2.2,127,5 6 8,1.11.07,1108,--
C412,279,02,26/12/2019,跑馬地,草地,A,1200,好,4,6,52,蔡約翰,莫雷拉,3/4,8.6,125,7 9 2,1.10.38,1118,--
