horse_no,race_index,place,date,racecourse,track,course,distance_m,going,race_class,draw,rating,trainer,jockey,lbw,win_odds,actual_wt_lbs,running_position,finish_time,declared_wt_lbs,gear
S169,598,11,27/04/2016,跑馬地,草地,C,1200,好,3,9,67,徐雨石,黃皓楠,10,32,113,10 11 11,1.11.64,1146,SR
S169,486,07,16/03/2016,跑馬地,草地,B,1200,好,3,7,69,徐雨石,梁家俊,7-3/4,21,121,6 6 7,1.10.97,1138,SR/TT-
S169,327,10,13/01/2016,跑馬地,草地,B,1200,好,3,5,71,高伯新,郭能,6-1/2,22,127,10 11 10,1.11.38,1117,H-/SR/TT
S169,261,06,16/12/2015,跑馬地,草地,B,1200,好,3,8,72,高伯新,梁家俊,1-3/4,46,124,3 3 6,1.10.67,1123,H/SR/TT
S169,147,09,01/11/2015,跑馬地,草地,A,1200,好,3,2,74,高伯新,霍勵賢,5-1/4,41,127,5 5 9,1.11.41,1115,H/SR/TT
S169,133,09,25/10/2015,沙田,草地,A,1200,好/快,3,6,75,高伯新,史卓豐,7,82,132,11 11 9,1.10.81,1133,H/SR/TT
S169,716,08,21/06/2015,沙田全天候,,,1200,濕快,3,10,76,高伯新,韋達,6-3/4,28,130,9 11 8,1.09.34,1111,H/SR/TT
S169,648,04,27/05/2015,沙田全天候,,,1200,好,3,5,76,高伯新,郭能,3,11,129,4 3 4,1.09.06,1129,H/SR/TT
S169,558,05,22/04/2015,跑馬地,草地,C,1200,好/快,3,6,76,高伯新,杜利萊,2-1/2,5.5,129,5 6 5,1.10.25,1117,H/SR/TT
S169,512,01,01/04/2015,跑馬地,草地,A,1200,好/快,3,8,71,高伯新,潘頓,鼻位,2.3,124,11 10 1,1.09.74,1118,H/SR/TT
S169,476,02,18/03/2015,跑馬地,草地,C,1200,好,3,8,69,高伯新,杜利萊,頸位,4.4,125,7 7 2,1.09.87,1131,H/SR/TT
S169,419,04,25/02/2015,跑馬地,草地,C,1200,好,3,11,69,高伯新,杜利萊,2-3/4,8.4,125,10 9 4,1.10.66,1118,H/SR/TT
S169,371,02,04/02/2015,跑馬地,草地,A,1200,好,3,8,67,高伯新,杜利萊,1/2,3.7,122,6 4 2,1.10.64,1122,SR/H1/TT
S169,317,07,14/01/2015,跑馬地,草地,B,1200,好,3,6,69,高伯新,杜利萊,3-1/4,18,122,11 12 7,1.10.94,1115,SR/TT1
S169,044,13,27/09/2014,沙田,草地,C,1000,好/快,3,13,69,告達理,郭能,12-1/2,10,122,3 9 13,0.57.95,1104,CP-/SR1
S169,748,07,28/06/2014,沙田,草地,A,1200,好/快,3,7,69,告達理,田泰安,2-1/4,6.6,117,2 1 7,1.10.32,1130,CP1
S169,663,03,28/05/2014,跑馬地,草地,A,1200,好/快,3,8,68,告達理,韋達,1/2,13,124,8 9 3,1.10.92,1123,--
S169,477,07,16/03/2014,沙田,草地,A,1200,好,3,10,68,告達理,韋達,4-1/4,23,124,6 5 7,1.10.15,1125,--
S169,441,03,01/03/2014,沙田,草地,B+2,1200,好,3,1,67,告達理,韋達,3/4,20,122,4 2 3,1.10.26,1134,--
