horse_no,race_index,place,date,racecourse,track,course,distance_m,going,race_class,draw,rating,trainer,jockey,lbw,win_odds,actual_wt_lbs,running_position,finish_time,declared_wt_lbs,gear
L082,598,11,12/04/26,沙田,草地,C,1200,好,4,6,49,大衛希斯,霍宏聲,8-1/4,26,124,7 8 11,1.10.67,1063,CP
L082,518,05,15/03/26,沙田,草地,C+3,1200,好/快,4,10,50,大衛希斯,霍宏聲,2-1/2,56,127,11 10 5,1.09.82,1053,CP
L082,450,12,19/02/26,沙田,草地,A,1400,好,4,13,51,大衛希斯,霍宏聲,10-1/2,30,126,11 14 14 12,1.23.06,1049,CP
L082,397,07,01/02/26,沙田,草地,B+2,1200,好,4,14,52,大衛希斯,霍宏聲,2-3/4,130,128,14 14 7,1.09.90,1079,CP
L082,217,13,30/11/25,沙田,草地,C,1000,好,4,9,52,大衛希斯,麥道朗,5-3/4,27,128,10 11 13,0.58.21,1094,CP1
