horse_no,race_index,place,date,racecourse,track,course,distance_m,going,race_class,draw,rating,trainer,jockey,lbw,win_odds,actual_wt_lbs,running_position,finish_time,declared_wt_lbs,gear
H402,170,11,12/11/2025,跑馬地,草地,A,1650,好,5,2,39,蘇偉賢,霍宏聲,11,21,134,5 5 4 11,1.41.49,1070,B/TT
H402,096,07,15/10/2025,跑馬地,草地,A,1650,好/快,4,5,41,蘇偉賢,艾兆禮,5-3/4,7.4,118,3 4 3 7,1.40.81,1060,B/TT
H402,057,13,01/10/2025,沙田,草地,A+3,1200,好/快,4,12,43,蘇偉賢,蔡明紹,10-1/4,8.1,120,7 9 13,1.10.51,1073,B/TT
H402,800,05,01/07/2025,沙田,草地,C,1400,好,4,6,46,蘇偉賢,蔡明紹,1-3/4,8.3,121,1 3 3 5,1.22.21,1062,B/TT
H402,721,07,31/05/2025,沙田,草地,B,1400,好,4,7,48,蘇偉賢,蔡明紹,6-1/2,18,123,4 3 7 7,1.22.61,1051,CP-/B1/TT
H402,647,10,04/05/2025,沙田,草地,B,1400,好/快,4,4,50,蘇偉賢,艾兆禮,5-3/4,13,126,2 3 4 10,1.22.04,1047,CP/TT
H402,510,04,15/03/2025,沙田,草地,C+3,1400,好/黏,4,12,51,蘇偉賢,蔡明紹,1-3/4,12,128,2 1 2 4,1.24.63,1052,CP/TT
H402,370,07,22/01/2025,跑馬地,草地,C,1650,好,4,4,53,蘇偉賢,艾兆禮,2-3/4,15,131,1 1 1 7,1.41.07,1057,CP/TT
H402,291,06,26/12/2024,跑馬地,草地,C+3,1650,好,4,2,55,蘇偉賢,周俊樂,2-3/4,24,128,2 2 2 6,1.39.88,1057,CP/TT
H402,214,10,27/11/2024,跑馬地,草地,C+3,1650,好,4,9,56,蘇偉賢,周俊樂,4,25,133,9 9 10 10,1.41.75,1031,CP/TT
H402,113,09,20/10/2024,沙田,草地,B+2,1400,好/快,4,1,56,蘇偉賢,艾兆禮,6,10,132,1 2 2 9,1.22.92,1041,CP1/TT
H402,023,09,15/09/2024,沙田,草地,A+3,1400,好/快,4,9,56,蘇偉賢,艾兆禮,5-3/4,12,131,4 3 3 9,1.22.55,1040,TT
H402,721,01,02/06/2024,沙田,草地,B,1400,好/快,4,8,50,蘇偉賢,艾兆禮,1-1/4,14,125,3 3 3 1,1.22.14,1049,TT
H402,619,05,28/04/2024,沙田,草地,A,1200,黏,4,4,52,蘇偉賢,艾兆禮,6,20,127,6 6 5,1.10.65,1056,TT
H402,564,04,07/04/2024,沙田,草地,B+2,1200,好,4,4,52,蘇偉賢,艾兆禮,5-3/4,25,123,6 5 4,1.10.33,1049,TT
H402,356,WV,21/01/2024,沙田,草地,A,1200,好,4,--,52,蘇偉賢,何澤堯,--,--,127,--,--,--,--
H402,297,03,01/01/2024,沙田,草地,A,1200,好,4,5,52,蘇偉賢,麥道朗,2-1/4,23,129,7 6 3,1.10.16,1041,TT1
