horse_no,race_index,place,date,racecourse,track,course,distance_m,going,race_class,draw,rating,trainer,jockey,lbw,win_odds,actual_wt_lbs,running_position,finish_time,declared_wt_lbs,gear
C493,322,09,11/01/2023,跑馬地,草地,B,1800,好,5,5,26,高伯新,霍宏聲,6,16,121,6 5 6 6 9,1.50.34,1163,SR/TT
C493,281,05,28/12/2022,跑馬地,草地,C+3,1800,好,5,11,27,高伯新,霍宏聲,2-1/4,40,122,11 11 11 11 5,1.50.58,1169,SR/TT
C493,225,08,07/12/2022,跑馬地,草地,A,1650,好,5,11,29,高伯新,霍宏聲,4,75,124,11 11 12 8,1.41.77,1166,SR/TT
C493,122,12,26/10/2022,沙田全天候,,,1800,好,5,6,32,高伯新,霍宏聲,16-1/4,28,132,8 12 11 11 12,1.51.83,1162,SR/TT
C493,032,11,21/09/2022,跑馬地,草地,B,1800,好/快,5,4,34,高伯新,霍宏聲,11-1/4,10,128,3 5 6 6 11,1.51.46,1147,SR/TT
C493,818,11,13/07/2022,跑馬地,草地,B,2200,好/快,5,11,36,高伯新,霍宏聲,5-1/4,18,131,4 2 2 2 3 11,2.19.40,1155,SR/TT
C493,799,05,06/07/2022,跑馬地,草地,A,2200,好,4,1,36,高伯新,楊明綸,4,21,115,3 5 3 3 2 5,2.17.50,1166,SR/TT
C493,751,08,19/06/2022,沙田,草地,A,2000,好,5,6,38,高伯新,霍宏聲,6-1/2,29,131,3 4 5 5 8,2.04.82,1158,SR/TT
C493,703,09,29/05/2022,沙田,草地,B,2000,好,4,14,40,高伯新,波健士,7,87,113,3 6 6 7 9,2.04.47,1161,SR/TT
C493,444,11,23/02/2022,跑馬地,草地,C+3,2200,好,4,9,40,高伯新,莫丹尼,15,11,115,6 2 2 3 4 11,2.20.01,1164,SR/TT
C493,407,02,09/02/2022,跑馬地,草地,B,2200,好,5,3,40,高伯新,霍宏聲,1-1/2,10,133,4 5 5 5 2 2,2.19.10,1163,SR/TT
C493,328,04,12/01/2022,跑馬地,草地,B,2200,好,4,2,40,高伯新,莫雷拉,2-3/4,3.4,115,1 1 1 2 2 4,2.18.28,1159,SR/TT
C493,215,02,01/12/2021,跑馬地,草地,A,2200,好,4,1,39,霍利時,莫雷拉,2-1/4,2.8,116,1 1 1 1 1 2,2.19.21,1168,SR/TT
C493,142,01,03/11/2021,跑馬地,草地,A,2200,好,5,3,34,霍利時,薛恩,頭位,5.7,128,8 7 8 8 7 1,2.18.97,1161,SR/TT
