jockey_code,jockey_name,season,date,venue,race_index,place,total_starters,track,course,distance_m,race_class,going,horse_name,draw,rating,trainer,gear,body_wt_lbs,actual_wt_lbs
ZM,薛凱華,Previous,08/12/2024,沙田,246,12,14,草地,A,1600,G1,好,港邊小區,2,,游孝廉,B/XB,1098,126
ZM,薛凱華,Previous,08/12/2024,沙田,244,12,14,草地,A,1200,G1,好,摯誠推介,8,,馬漢雅,B,1075,126
ZM,薛凱華,Previous,08/12/2024,沙田,243,12,13,草地,A,2400,G1,好,不戰而勝,1,,菲德文及菲敦盟,XB,1098,126
