jockey_code,jockey_name,season,date,venue,race_index,place,total_starters,track,course,distance_m,race_class,going,horse_name,draw,rating,trainer,gear,body_wt_lbs,actual_wt_lbs
LOW,羅敦,Previous,08/12/2024,沙田,247,10,11,草地,A,2000,G1,好,展翼遨飛,3,,岳伯仁,,910,119
LOW,羅敦,Previous,08/12/2024,沙田,243,9,13,草地,A,2400,G1,好,浪接浪,7,,岳伯仁,,1054,126
