date,venue,race_no,race_meeting_no,race_name,race_class,distance_m,rating_range,going,course,prize_hkd,race_finish_time,sectional_times_header,place,horse_no,horse_name,jockey,trainer,actual_wt_lbs,declared_wt_lbs,draw,lbw,running_position,finish_time,win_odds
2022-04-03,沙田,1,547,貝璐讓賽,第四班,1200,60-40,好地,"草地 - ""B+2"" 賽道",1040000,(23.73) (46.03) (1:09.63),23.73 22.30 23.60,1,2,錶之科學 (E442),田泰安,蘇保羅,130,1105,4,-,7 7 1,1:09.63,2.9
2022-04-03,沙田,1,547,貝璐讓賽,第四班,1200,60-40,好地,"草地 - ""B+2"" 賽道",1040000,(23.73) (46.03) (1:09.63),23.73 22.30 23.60,2,6,木火兄弟 (G115),楊明綸,何良,127,1146,2,短馬頭位,5 6 2,1:09.65,4.1
2022-04-03,沙田,1,547,貝璐讓賽,第四班,1200,60-40,好地,"草地 - ""B+2"" 賽道",1040000,(23.73) (46.03) (1:09.63),23.73 22.30 23.60,3,8,威武勇駒 (E480),莫雷拉,賀賢,125,1052,10,1,12 12 3,1:09.79,9.7
2022-04-03,沙田,1,547,貝璐讓賽,第四班,1200,60-40,好地,"草地 - ""B+2"" 賽道",1040000,(23.73) (46.03) (1:09.63),23.73 22.30 23.60,4,10,健康美麗 (B384),潘頓,文家良,120,1076,14,1,13 14 4,1:09.80,6.1
2022-04-03,沙田,1,547,貝璐讓賽,第四班,1200,60-40,好地,"草地 - ""B+2"" 賽道",1040000,(23.73) (46.03) (1:09.63),23.73 22.30 23.60,5,14,奮鬥齊心 (D349),蔡明紹,徐雨石,117,1083,9,2,8 9 5,1:09.96,22
2022-04-03,沙田,1,547,貝璐讓賽,第四班,1200,60-40,好地,"草地 - ""B+2"" 賽道",1040000,(23.73) (46.03) (1:09.63),23.73 22.30 23.60,6,5,飛躍凱旋 (G250),希威森,韋達,127,1179,6,2-1/4,10 10 6,1:09.99,80
2022-04-03,沙田,1,547,貝璐讓賽,第四班,1200,60-40,好地,"草地 - ""B+2"" 賽道",1040000,(23.73) (46.03) (1:09.63),23.73 22.30 23.60,7,9,瀟灑一生 (G243),薛恩,高伯新,125,1178,5,2-1/2,9 8 7,1:10.02,79
2022-04-03,沙田,1,547,貝璐讓賽,第四班,1200,60-40,好地,"草地 - ""B+2"" 賽道",1040000,(23.73) (46.03) (1:09.63),23.73 22.30 23.60,8,1,戰鬥英雄 (D050),陳嘉熙,方嘉柏,128,1096,7,3,4 5 8,1:10.10,16
2022-04-03,沙田,1,547,貝璐讓賽,第四班,1200,60-40,好地,"草地 - ""B+2"" 賽道",1040000,(23.73) (46.03) (1:09.63),23.73 22.30 23.60,9,11,當家信心 (E153),波健士,蔡約翰,119,1131,13,4,11 11 9,1:10.26,25
2022-04-03,沙田,1,547,貝璐讓賽,第四班,1200,60-40,好地,"草地 - ""B+2"" 賽道",1040000,(23.73) (46.03) (1:09.63),23.73 22.30 23.60,10,13,親愛的 (E404),賀銘年,蘇偉賢,118,1120,12,5,14 13 10,1:10.43,172
