date,venue,race_no,pool,combination,dividend_hkd
2022-07-16,沙田,1,獨贏,3,148.00
2022-07-16,沙田,1,位置,3,43.50
2022-07-16,沙田,1,連贏,"3,7",570.50
2022-07-16,沙田,1,位置Q,"3,7",187.00
2022-07-16,沙田,1,3揀1（組合獨贏）,A1,未能勝出
2022-07-16,沙田,1,二重彩,"3,7","1,079.00"
2022-07-16,沙田,1,三重彩,"3,7,9","20,143.00"
2022-07-16,沙田,1,單T,"3,7,9","2,364.00"
2022-07-16,沙田,1,四連環,"3,7,9,10","21,628.00"
2022-07-16,沙田,1,四重彩,"3,7,9,10","543,256.00"
2022-07-16,沙田,2,獨贏,11,315.00
2022-07-16,沙田,2,位置,11,70.50
2022-07-16,沙田,2,連贏,"11,14","1,280.00"
2022-07-16,沙田,2,位置Q,"11,14",368.00
2022-07-16,沙田,2,3揀1（組合獨贏）,A1,未能勝出
2022-07-16,沙田,2,二重彩,"11,14","2,290.00"
2022-07-16,沙田,2,三重彩,"11,14,9","12,885.00"
2022-07-16,沙田,2,單T,"9,11,14","1,443.00"
2022-07-16,沙田,2,四連環,"9,10,11,14","2,855.00"
2022-07-16,沙田,2,四重彩,"11,14,9,10","92,247.00"
2022-07-16,沙田,2,第一口孖寶,3/11,"3,967.50"
2022-07-16,沙田,3,獨贏,4,94.50
2022-07-16,沙田,3,位置,4,33.00
2022-07-16,沙田,3,連贏,"4,13",490.00
2022-07-16,沙田,3,位置Q,"4,13",169.00
2022-07-16,沙田,3,3揀1（組合獨贏）,A1,未能勝出
2022-07-16,沙田,3,二重彩,"4,13","1,161.00"
2022-07-16,沙田,3,三重彩,"4,13,8","10,580.00"
2022-07-16,沙田,3,單T,"4,8,13","2,267.00"
2022-07-16,沙田,3,四連環,"1,4,8,13","2,117.00"
2022-07-16,沙田,3,四重彩,"4,13,8,1","65,920.00"
2022-07-16,沙田,3,第二口孖寶,11/4,"3,396.00"
2022-07-16,沙田,4,獨贏,4,292.50
2022-07-16,沙田,4,位置,4,64.00
2022-07-16,沙田,4,連贏,"4,8",470.00
2022-07-16,沙田,4,位置Q,"4,8",149.00
2022-07-16,沙田,4,3揀1（組合獨贏）,A1,未能勝出
2022-07-16,沙田,4,二重彩,"4,8","1,770.00"
2022-07-16,沙田,4,三重彩,"4,8,1","4,883.00"
2022-07-16,沙田,4,單T,"1,4,8",425.00
2022-07-16,沙田,4,四連環,"1,4,6,8","1,457.00"
2022-07-16,沙田,4,四重彩,"4,8,1,6","55,047.00"
2022-07-16,沙田,4,第三口孖寶,4/4,"2,137.00"
2022-07-16,沙田,5,獨贏,11,42.00
2022-07-16,沙田,5,位置,11,18.00
2022-07-16,沙田,5,連贏,"11,14",300.00
2022-07-16,沙田,5,位置Q,"11,14",112.50
2022-07-16,沙田,5,3揀1（組合獨贏）,A1,未能勝出
2022-07-16,沙田,5,二重彩,"11,14",477.00
2022-07-16,沙田,5,三重彩,"11,14,13","6,692.00"
2022-07-16,沙田,5,單T,"11,13,14","1,928.00"
2022-07-16,沙田,5,四連環,"7,11,13,14","10,141.00"
2022-07-16,沙田,5,四重彩,"11,14,13,7","158,281.00"
2022-07-16,沙田,5,第四口孖寶,4/11,"1,515.50"
2022-07-16,沙田,5,第一口孖T,"1,4,8/11,13,14","150,554.00"
2022-07-16,沙田,6,獨贏,10,359.00
2022-07-16,沙田,6,位置,10,102.00
2022-07-16,沙田,6,連贏,"10,11","1,963.50"
2022-07-16,沙田,6,位置Q,"10,11",536.50
2022-07-16,沙田,6,3揀1（組合獨贏）,A1,未能勝出
2022-07-16,沙田,6,二重彩,"10,11","3,837.00"
2022-07-16,沙田,6,三重彩,"10,11,2","30,579.00"
2022-07-16,沙田,6,單T,"2,10,11","4,424.00"
2022-07-16,沙田,6,四連環,"2,7,10,11","4,089.00"
2022-07-16,沙田,6,四重彩,"10,11,2,7","139,987.00"
2022-07-16,沙田,6,第五口孖寶,11/10,"2,123.00"
2022-07-16,沙田,7,獨贏,11,71.00
2022-07-16,沙田,7,位置,11,27.50
2022-07-16,沙田,7,連贏,"4,11",527.50
2022-07-16,沙田,7,位置Q,"4,11",163.50
2022-07-16,沙田,7,3揀1（組合獨贏）,A1,未能勝出
