date,venue,race_no,pool,combination,dividend_hkd
2022-06-25,沙田,1,獨贏,13,77.50
2022-06-25,沙田,1,位置,13,29.00
2022-06-25,沙田,1,連贏,"10,13",240.50
2022-06-25,沙田,1,位置Q,"10,13",85.50
2022-06-25,沙田,1,3揀1（組合獨贏）,A1,未能勝出
2022-06-25,沙田,1,二重彩,"13,10",559.00
2022-06-25,沙田,1,三重彩,"13,10,11","8,514.00"
2022-06-25,沙田,1,單T,"10,11,13","2,073.00"
2022-06-25,沙田,1,四連環,"10,11,12,13","8,224.00"
2022-06-25,沙田,1,四重彩,"13,10,11,12","137,728.00"
2022-06-25,沙田,2,獨贏,3,21.50
2022-06-25,沙田,2,位置,3,13.50
2022-06-25,沙田,2,連贏,"1,3",123.50
2022-06-25,沙田,2,位置Q,"1,3",51.50
2022-06-25,沙田,2,3揀1（組合獨贏）,A1,16.00
2022-06-25,沙田,2,二重彩,"3,1",191.00
2022-06-25,沙田,2,三重彩,"3,1,9","3,332.00"
2022-06-25,沙田,2,單T,"1,3,9","1,364.00"
2022-06-25,沙田,2,四連環,"1,3,6,9","4,026.00"
2022-06-25,沙田,2,四重彩,"3,1,9,6","41,483.00"
2022-06-25,沙田,2,第一口孖寶,13/3,216.50
2022-06-25,沙田,3,獨贏,2,36.00
2022-06-25,沙田,3,位置,2,16.00
2022-06-25,沙田,3,連贏,"2,5",151.00
2022-06-25,沙田,3,位置Q,"2,5",53.50
2022-06-25,沙田,3,3揀1（組合獨贏）,A1,25.00
2022-06-25,沙田,3,二重彩,"2,5",292.00
2022-06-25,沙田,3,三重彩,"2,5,1","1,287.00"
2022-06-25,沙田,3,單T,"1,2,5",275.00
2022-06-25,沙田,3,四連環,"1,2,3,5",691.00
2022-06-25,沙田,3,四重彩,"2,5,1,3","12,866.00"
2022-06-25,沙田,3,第二口孖寶,3/2,75.50
2022-06-25,沙田,4,獨贏,11,361.00
2022-06-25,沙田,4,位置,11,78.00
2022-06-25,沙田,4,連贏,"11,12","2,544.50"
2022-06-25,沙田,4,位置Q,"11,12",721.00
2022-06-25,沙田,4,3揀1（組合獨贏）,A1,未能勝出
2022-06-25,沙田,4,二重彩,"11,12","4,727.00"
2022-06-25,沙田,4,三重彩,"11,12,4","49,031.00"
2022-06-25,沙田,4,單T,"4,11,12","15,863.00"
2022-06-25,沙田,4,四連環,"4,7,11,12","51,231.00"
2022-06-25,沙田,4,四重彩,"11,12,4,7","1,693,809.00"
2022-06-25,沙田,4,第三口孖寶,2/11,"2,153.50"
2022-06-25,沙田,4,第一口孖T,"1,2,5/4,11,12","994,018.00"
2022-06-25,沙田,5,獨贏,14,149.50
2022-06-25,沙田,5,位置,14,50.50
2022-06-25,沙田,5,連贏,"8,14","2,016.50"
2022-06-25,沙田,5,位置Q,"8,14",590.00
2022-06-25,沙田,5,3揀1（組合獨贏）,A1,未能勝出
2022-06-25,沙田,5,二重彩,"14,8","4,992.00"
2022-06-25,沙田,5,三重彩,"14,8,13","63,094.00"
2022-06-25,沙田,5,單T,"8,13,14","12,449.00"
2022-06-25,沙田,5,四連環,"8,10,13,14","37,934.00"
2022-06-25,沙田,5,四重彩,"14,8,13,10","1,064,374.00"
2022-06-25,沙田,5,第四口孖寶,11/14,"7,529.00"
2022-06-25,沙田,6,獨贏,8,124.50
2022-06-25,沙田,6,位置,8,37.00
2022-06-25,沙田,6,連贏,"3,8",982.00
2022-06-25,沙田,6,位置Q,"3,8",280.00
2022-06-25,沙田,6,3揀1（組合獨贏）,A1,未能勝出
2022-06-25,沙田,6,二重彩,"8,3","2,247.00"
2022-06-25,沙田,6,三重彩,"8,3,2","12,058.00"
2022-06-25,沙田,6,單T,"2,3,8","2,104.00"
2022-06-25,沙田,6,四連環,"2,3,7,8","6,906.00"
2022-06-25,沙田,6,四重彩,"8,3,2,7","161,058.00"
2022-06-25,沙田,6,第五口孖寶,14/8,"1,522.50"
2022-06-25,沙田,6,三T(安慰獎),"4,11,12/任何組合/任何組合","1,882.00"
2022-06-25,沙田,7,獨贏,2,67.00
2022-06-25,沙田,7,位置,2,22.50
2022-06-25,沙田,7,連贏,"1,2",135.50
2022-06-25,沙田,7,位置Q,"1,2",54.00
2022-06-25,沙田,7,3揀1（組合獨贏）,A1,未能勝出
2022-06-25,沙田,7,二重彩,"2,1",358.00
2022-06-25,沙田,7,三重彩,"2,1,5",994.00
2022-06-25,沙田,7,單T,"1,2,5",175.00
2022-06-25,沙田,7,四連環,"1,2,5,7",790.00
2022-06-25,沙田,7,四重彩,"2,1,5,7","20,951.00"
2022-06-25,沙田,7,第六口孖寶,8/2,"1,109.00"
2022-06-25,沙田,7,第二口孖T,"2,3,8/1,2,5","96,287.00"
2022-06-25,沙田,8,獨贏,4,92.50
2022-06-25,沙田,8,位置,4,25.00
2022-06-25,沙田,8,連贏,"1,4",153.50
2022-06-25,沙田,8,位置Q,"1,4",52.00
2022-06-25,沙田,8,3揀1（組合獨贏）,A1,未能勝出
2022-06-25,沙田,8,二重彩,"4,1",342.00
2022-06-25,沙田,8,三重彩,"4,1,3","6,331.00"
2022-06-25,沙田,8,單T,"1,3,4",972.00
2022-06-25,沙田,8,四連環,"1,3,4,12","1,179.00"
2022-06-25,沙田,8,四重彩,"4,1,3,12","25,777.00"
2022-06-25,沙田,8,第七口孖寶,2/4,716.00
2022-06-25,沙田,9,獨贏,3,147.50
2022-06-25,沙田,9,位置,3,35.00
2022-06-25,沙田,9,連贏,"3,11",919.50
2022-06-25,沙田,9,位置Q,"3,11",214.50
2022-06-25,沙田,9,3揀1（組合獨贏）,A1,未能勝出
2022-06-25,沙田,9,二重彩,"3,11","2,021.00"
2022-06-25,沙田,9,三重彩,"3,11,8","11,242.00"
2022-06-25,沙田,9,單T,"3,8,11","2,390.00"
2022-06-25,沙田,9,四連環,"3,6,8,11","1,071.00"
2022-06-25,沙田,9,四重彩,"3,11,8,6","42,860.00"
2022-06-25,沙田,9,第八口孖寶,4/3,810.50
2022-06-25,沙田,10,獨贏,11,55.50
2022-06-25,沙田,10,位置,11,23.50
2022-06-25,沙田,10,連贏,"1,11",218.50
2022-06-25,沙田,10,位置Q,"1,11",80.00
2022-06-25,沙田,10,3揀1（組合獨贏）,A1,未能勝出
2022-06-25,沙田,10,二重彩,"11,1",414.00
2022-06-25,沙田,10,三重彩,"11,1,8","12,090.00"
2022-06-25,沙田,10,單T,"1,8,11","2,885.00"
2022-06-25,沙田,10,四連環,"1,8,11,12","8,910.00"
2022-06-25,沙田,10,四重彩,"11,1,8,12","126,813.00"
2022-06-25,沙田,10,第九口孖寶,3/11,"1,233.00"
2022-06-25,沙田,10,三寶,4/3/11,"6,225.00"
2022-06-25,沙田,10,第三口孖T,"3,8,11/1,8,11","821,057.00"
2022-06-25,沙田,10,六環彩,"8,14/3,8/1,2/1,4/3,11/1,11","238,846.00"
2022-06-25,沙田,10,騎師王 1,1 [潘頓],詳情
