date,venue,race_no,race_meeting_no,race_name,race_class,distance_m,rating_range,going,course,prize_hkd,race_finish_time,sectional_times_header,place,horse_no,horse_name,jockey,trainer,actual_wt_lbs,declared_wt_lbs,draw,lbw,running_position,finish_time,win_odds
2022-07-06,跑馬地,1,798,添美讓賽,第五班,1650,40-0,好地,"草地 - ""A"" 賽道",780000,(27.41) (52.03) (1:16.31) (1:40.26),27.41 24.62 24.28 23.95,1,1,度身訂做 (C522),莫雷拉,方嘉柏,135,1071,2,-,6 6 7 1,1:40.26,3.7
2022-07-06,跑馬地,1,798,添美讓賽,第五班,1650,40-0,好地,"草地 - ""A"" 賽道",780000,(27.41) (52.03) (1:16.31) (1:40.26),27.41 24.62 24.28 23.95,2,10,非凡魅力 (D102),霍宏聲,賀賢,120,1103,6,1,9 9 6 2,1:40.43,7.9
2022-07-06,跑馬地,1,798,添美讓賽,第五班,1650,40-0,好地,"草地 - ""A"" 賽道",780000,(27.41) (52.03) (1:16.31) (1:40.26),27.41 24.62 24.28 23.95,3,5,金剛福星 (D017),周俊樂,蔡約翰,129,1034,7,3-1/4,12 12 12 3,1:40.77,6.5
2022-07-06,跑馬地,1,798,添美讓賽,第五班,1650,40-0,好地,"草地 - ""A"" 賽道",780000,(27.41) (52.03) (1:16.31) (1:40.26),27.41 24.62 24.28 23.95,4,11,海王駒 (D063),楊明綸,鄭俊偉,120,1068,11,3-3/4,2 2 2 4,1:40.86,7.4
2022-07-06,跑馬地,1,798,添美讓賽,第五班,1650,40-0,好地,"草地 - ""A"" 賽道",780000,(27.41) (52.03) (1:16.31) (1:40.26),27.41 24.62 24.28 23.95,5,3,豹子膽 (C389),賀銘年,徐雨石,132,1147,10,3-3/4,1 1 1 5,1:40.86,29
2022-07-06,跑馬地,1,798,添美讓賽,第五班,1650,40-0,好地,"草地 - ""A"" 賽道",780000,(27.41) (52.03) (1:16.31) (1:40.26),27.41 24.62 24.28 23.95,6,8,劍在九天 (E078),何澤堯,沈集成,124,1050,1,4-1/2,4 5 5 6,1:40.99,5.3
2022-07-06,跑馬地,1,798,添美讓賽,第五班,1650,40-0,好地,"草地 - ""A"" 賽道",780000,(27.41) (52.03) (1:16.31) (1:40.26),27.41 24.62 24.28 23.95,7,9,開心大師 (B222),嘉里,蘇偉賢,123,1096,4,5,8 8 9 7,1:41.07,29
2022-07-06,跑馬地,1,798,添美讓賽,第五班,1650,40-0,好地,"草地 - ""A"" 賽道",780000,(27.41) (52.03) (1:16.31) (1:40.26),27.41 24.62 24.28 23.95,8,2,健康美麗 (B384),潘明輝,文家良,131,1073,9,5-3/4,10 10 11 8,1:41.17,26
2022-07-06,跑馬地,1,798,添美讓賽,第五班,1650,40-0,好地,"草地 - ""A"" 賽道",780000,(27.41) (52.03) (1:16.31) (1:40.26),27.41 24.62 24.28 23.95,9,7,帥男 (D459),班德禮,容天鵬,130,1211,8,8,7 7 8 9,1:41.56,55
2022-07-06,跑馬地,1,798,添美讓賽,第五班,1650,40-0,好地,"草地 - ""A"" 賽道",780000,(27.41) (52.03) (1:16.31) (1:40.26),27.41 24.62 24.28 23.95,10,6,劍聶風 (A201),巫顯東,鄭俊偉,129,1093,5,8-3/4,5 4 3 10,1:41.68,9
