date,venue,race_no,pool,combination,dividend_hkd
2023-05-31,跑馬地,1,獨贏,4,61.50
2023-05-31,跑馬地,1,位置,4,18.50
2023-05-31,跑馬地,1,連贏,"1,4",452.00
2023-05-31,跑馬地,1,位置Q,"1,4",139.00
2023-05-31,跑馬地,1,3揀1（組合獨贏）,A1,35.00
2023-05-31,跑馬地,1,二重彩,"4,1",714.00
2023-05-31,跑馬地,1,三重彩,"4,1,10","4,392.00"
2023-05-31,跑馬地,1,單T,"1,4,10",858.00
2023-05-31,跑馬地,1,四連環,"1,4,10,12","1,043.00"
2023-05-31,跑馬地,1,四重彩,"4,1,10,12","24,649.00"
2023-05-31,跑馬地,2,獨贏,3,40.00
2023-05-31,跑馬地,2,位置,3,16.00
2023-05-31,跑馬地,2,連贏,"3,6",342.00
2023-05-31,跑馬地,2,位置Q,"3,6",116.50
2023-05-31,跑馬地,2,3揀1（組合獨贏）,A1,16.50
2023-05-31,跑馬地,2,二重彩,"3,6",631.00
2023-05-31,跑馬地,2,三重彩,"3,6,11","9,876.00"
2023-05-31,跑馬地,2,單T,"3,6,11","1,523.00"
2023-05-31,跑馬地,2,四連環,"3,6,7,11","2,338.00"
2023-05-31,跑馬地,2,四重彩,"3,6,11,7","50,151.00"
2023-05-31,跑馬地,2,第一口孖寶,4/3,405.50
2023-05-31,跑馬地,3,獨贏,2,27.00
2023-05-31,跑馬地,3,位置,2,14.00
2023-05-31,跑馬地,3,連贏,"2,11",213.50
2023-05-31,跑馬地,3,位置Q,"2,11",86.00
2023-05-31,跑馬地,3,3揀1（組合獨贏）,A1,21.00
2023-05-31,跑馬地,3,二重彩,"2,11",368.00
2023-05-31,跑馬地,3,三重彩,"2,11,6","4,366.00"
2023-05-31,跑馬地,3,單T,"2,6,11",821.00
2023-05-31,跑馬地,3,四連環,"2,5,6,11","1,618.00"
2023-05-31,跑馬地,3,四重彩,"2,11,6,5","31,229.00"
2023-05-31,跑馬地,3,第二口孖寶,3/2,128.00
2023-05-31,跑馬地,3,第一口孖T,"3,6,11/2,6,11","673,084.00"
2023-05-31,跑馬地,4,獨贏,11,51.50
2023-05-31,跑馬地,4,位置,11,22.50
2023-05-31,跑馬地,4,連贏,"11,12",113.50
2023-05-31,跑馬地,4,位置Q,"11,12",46.50
2023-05-31,跑馬地,4,3揀1（組合獨贏）,A1,未能勝出
2023-05-31,跑馬地,4,二重彩,"11,12",306.00
2023-05-31,跑馬地,4,三重彩,"11,12,2","2,840.00"
2023-05-31,跑馬地,4,單T,"2,11,12",478.00
2023-05-31,跑馬地,4,四連環,"1,2,11,12",468.00
2023-05-31,跑馬地,4,四重彩,"11,12,2,1","11,970.00"
2023-05-31,跑馬地,4,第三口孖寶,2/11,220.50
2023-05-31,跑馬地,5,獨贏,2,32.00
2023-05-31,跑馬地,5,位置,2,14.00
2023-05-31,跑馬地,5,連贏,"2,9",87.00
2023-05-31,跑馬地,5,位置Q,"2,9",38.00
2023-05-31,跑馬地,5,3揀1（組合獨贏）,A1,17.00
2023-05-31,跑馬地,5,二重彩,"2,9",169.00
2023-05-31,跑馬地,5,三重彩,"2,9,10","2,293.00"
2023-05-31,跑馬地,5,單T,"2,9,10",590.00
2023-05-31,跑馬地,5,四連環,"2,9,10,12","3,958.00"
2023-05-31,跑馬地,5,四重彩,"2,9,10,12","40,370.00"
2023-05-31,跑馬地,5,第四口孖寶,11/2,192.50
2023-05-31,跑馬地,5,第一口三寶,2/11/2,970.00
2023-05-31,跑馬地,5,第二口孖T,"2,11,12/2,9,10","53,584.00"
2023-05-31,跑馬地,6,獨贏,4,26.00
2023-05-31,跑馬地,6,位置,4,14.00
2023-05-31,跑馬地,6,連贏,"4,5",218.50
2023-05-31,跑馬地,6,位置Q,"4,5",79.00
2023-05-31,跑馬地,6,3揀1（組合獨贏）,A1,18.50
2023-05-31,跑馬地,6,二重彩,"4,5",281.00
2023-05-31,跑馬地,6,三重彩,"4,5,3","1,487.00"
2023-05-31,跑馬地,6,單T,"3,4,5",383.00
2023-05-31,跑馬地,6,四連環,"3,4,5,11","2,678.00"
2023-05-31,跑馬地,6,四重彩,"4,5,3,11","32,892.00"
2023-05-31,跑馬地,6,第五口孖寶,2/4,91.50
2023-05-31,跑馬地,7,獨贏,1,92.50
2023-05-31,跑馬地,7,位置,1,31.00
2023-05-31,跑馬地,7,連贏,"1,10",206.00
2023-05-31,跑馬地,7,位置Q,"1,10",68.00
2023-05-31,跑馬地,7,3揀1（組合獨贏）,A1,未能勝出
2023-05-31,跑馬地,7,二重彩,"1,10",769.00
2023-05-31,跑馬地,7,三重彩,"1,10,3","3,221.00"
2023-05-31,跑馬地,7,單T,"1,3,10",313.00
2023-05-31,跑馬地,7,四連環,"1,3,8,10","1,128.00"
2023-05-31,跑馬地,7,四重彩,"1,10,3,8","31,651.00"
2023-05-31,跑馬地,7,第六口孖寶,4/1,286.00
