date,venue,race_no,place,horse_no,horse_name,jockey,gear,commentary
2023-04-06,跑馬地,1,1,5,赤子雄心 (E489),何澤堯,TT,與對手同步出閘，居中間稍後位置，走第二疊。跑過千一米處後受催策上前。九百五十米處取得領先。直路彎領先半個馬位。末段保持甚佳走勢，勝出賽事。
2023-04-06,跑馬地,1,2,1,博愛之光 (E139),霍宏聲,H/TT,自第一檔出閘迅速，落後領放馬一個半馬位，走內欄。跑過五百米處後向外移出。入直路時走第三疊。衝刺良佳，取得亞軍，但一直落後頭馬。
2023-04-06,跑馬地,1,3,3,幸運飛彈 (C501),潘明輝,CP,與對手同步出閘，居中間位置，走內疊。直路彎前走內疊節省腳程。三百五十米處向外移出。以佳勢衝刺，取得一席季軍，但未能威脅頭兩名馬匹。
2023-04-06,跑馬地,1,4,8,生生福運 (D274),蘇兆輝,--,自第九檔出閘後留後，居後列，走第二疊。進入對面直路後走第三疊。四百米處向外移出。入直路時走大外疊。末段超越數匹已呈疲態的對手。
2023-04-06,跑馬地,1,5,6,帥男 (D459),田泰安,TT,與對手同步出閘，其後帶頭，領先半個馬位。九百五十米處被超越。直路彎居第二位。直路初未能再增速。最後一百五十米轉弱。（見競賽事件報告。）
2023-04-06,跑馬地,1,6,10,靈鋒 (A245),蔡明紹,B/H/XB,出閘緩慢，居後列，走內疊。沿途走內疊節省腳程。直路初略為追前。二百米處未能再增速，其後逐漸轉弱。
2023-04-06,跑馬地,1,7,7,行樂之光 (D331),賀銘年,B/XB/TT,與對手同步出閘，早段居中間位置，走第二疊。自一千米處起走第三疊。自八百米處起沒有遮擋。入直路時落後四個馬位。直路上衝刺乏力。（接近一千米處時失去右前蹄的蹄鐵。）
2023-04-06,跑馬地,1,8,2,日日靚 (D070),陳嘉熙,V,自大外檔出閘後留後，居後列，走外疊。直路彎落後約六個馬位。直路上毫無表現。
2023-04-06,跑馬地,1,9,9,華美福星 (E086),巫顯東,B/TT,出閘迅速，落後約一個馬位，走第二疊。跑過一千米處後逐漸墮居後列。入直路時落後五個馬位。直路初對催策毫無反應。最後二百米收慢。
2023-04-06,跑馬地,1,10,4,慶萬家 (G029),梁家俊,V,出閘普通，早段居中間之前位置，走外疊。跑過一千六百五十米處後追近。中段居第三位。五百米處轉弱。直路初收慢。（見競賽事件報告。）
2023-04-06,跑馬地,2,1,6,佳尊三 (D186),霍宏聲,P/TT,自大外檔出閘後受催策上前，保持離欄競跑，趨近直路彎時移入內欄。入直路時領先一個馬位，在催策下保持佳勢。
2023-04-06,跑馬地,2,2,8,創福威 (E210),潘頓,V/XB/TT,沿途居啣接位置，自八百米處起居第三位，落後一個馬位。轉直路彎時再略為墮後。持續力拼，過終點時最為接近。
2023-04-06,跑馬地,2,3,11,豹子膽 (C389),蘇兆輝,--,自第二檔出閘，受積極催策。跑過六百米處時落後頭馬一個馬位。直路上在催策下未能加速，無法構成威脅。
2023-04-06,跑馬地,2,4,4,旺鋪永勝 (G155),蔡明紹,B/H/TT,居中間之前第六位。最後一百米衝刺良佳。
2023-04-06,跑馬地,2,5,2,友誼至佳 (E208),希威森,B/TT,自外檔出閘後受力策，其後居第四位，落後約兩個馬位，走第三疊。趨近直路彎時墮居第五位，落後逾三個馬位。直路上保持同速。
2023-04-06,跑馬地,2,6,10,安田之寶 (E288),賀銘年,B/TT,出閘迅速，繼而留後兩個馬位，並列第四位。跑過六百米處時再略為墮後。直路上在催策下保持同速。
2023-04-06,跑馬地,2,7,5,精算赤焰 (E258),田泰安,TT,出閘笨拙，遙居於後。跑過四百米處時開始上前，入直路時移出外疊。末段追前頗多。
2023-04-06,跑馬地,2,8,3,星叻無敵 (G205),潘明輝,TT,出閘十分笨拙，居中間第七位。轉直路彎時居相若位置。直路上毫無表現。
2023-04-06,跑馬地,2,9,1,駿爵士 (C406),何澤堯,B/TT,居中間之後位置。跑過五百米處時受催策。再無餘力。
2023-04-06,跑馬地,2,10,7,運來多寶 (G316),周俊樂,B,自外檔出閘，瞬即墮居最後數位之內。轉直路彎時走內欄節省腳程。直路上毫無表現。
2023-04-06,跑馬地,2,11,9,非凡魅力 (D102),巫顯東,CP/TT,受催策，居後列。從未見具爭勝機會。
2023-04-06,跑馬地,2,12,12,非凡膽識 (E031),黃俊,TT,出閘笨拙，受阻礙。居中間稍後第九位，走外疊，沒有遮擋，跑來搶口。直路上再無餘力。
2023-04-06,跑馬地,3,1,3,勁快聯盟 (G046),巴度,CP/TT,出閘尚可，居前列，走第二疊。六百五十米處開始上前。衝刺強勁，取得勝利。
2023-04-06,跑馬地,3,2,8,機緣巧俠 (C358),蘇兆輝,B/TT,居中間之後位置，走第二疊。走勢暢順。最後七十五米略為衝刺，跑獲亞軍。
2023-04-06,跑馬地,3,3,9,峰爭 (D472),何澤堯,TT,居後列，走第三疊。四百五十米處向外移出。直路上略為追前，但最後一百米轉弱。
2023-04-06,跑馬地,3,4,1,喜快 (G143),潘頓,B/XB/TT,居中間之前位置，走第二疊。未能望空直至一百五十米處。未能全力施為。
2023-04-06,跑馬地,3,5,6,電訊犇豹 (D405),班德禮,B/XB1/TT,出閘笨拙，居後列。走勢尚可。
2023-04-06,跑馬地,3,6,2,成才 (B085),嘉里,B/XB,出閘笨拙，居後列，走第二疊。直路上向外移出。末段未能望空。
2023-04-06,跑馬地,3,7,5,星河小子 (G212),周俊樂,--,居後列，走第三疊。自四百五十米處起受力策。僅能保持同速。（見競賽事件報告。）
2023-04-06,跑馬地,3,8,12,包裝大聖 (G390),潘明輝,TT,出閘笨拙，居中間位置，走內欄。直路上略為追前。
2023-04-06,跑馬地,3,9,4,大師級 (C271),梁家俊,B/TT,居中間位置，走第三疊。自七百米處起受催策以追趕領放馬。一百二十五米處轉弱。
2023-04-06,跑馬地,3,10,10,摯多福 (E205),巫顯東,B,居中間之後位置，走內欄。沿途保持同速。毫無表現。
2023-04-06,跑馬地,3,11,11,快樂鐘聲 (G178),黃俊,H/TT,出閘緩慢，居後列，走內欄。從未能構成威脅。
2023-04-06,跑馬地,3,12,7,場長勝 (E384),希威森,B,受催策，取得領先。直路初轉弱，包尾而回。（氣管內有很多血。）（見競賽事件報告。）
2023-04-06,跑馬地,4,1,5,星運明爵 (C431),嘉里,--,早段居領先馬匹之後。自九百米處起墮退兩位。跑過八百米處時急促移離內欄及阻礙對手，其後居第二疊第二位。沿欄推進，一百二十五米處取得領先。末段帶離對手。
