date,venue,race_no,pool,combination,dividend_hkd
2023-12-23,沙田,1,獨贏,11,77.00
2023-12-23,沙田,1,位置,11,22.50
2023-12-23,沙田,1,連贏,"4,11",399.50
2023-12-23,沙田,1,位置Q,"4,11",127.50
2023-12-23,沙田,1,二重彩,"11,4",802.00
2023-12-23,沙田,1,三重彩,"11,4,2","3,832.00"
2023-12-23,沙田,1,單T,"2,4,11",555.00
2023-12-23,沙田,1,四連環,"2,4,6,11","2,355.00"
2023-12-23,沙田,1,四重彩,"11,4,2,6","50,117.00"
2023-12-23,沙田,2,獨贏,12,75.00
2023-12-23,沙田,2,位置,12,25.00
2023-12-23,沙田,2,連贏,"5,12",698.00
2023-12-23,沙田,2,位置Q,"5,12",204.00
2023-12-23,沙田,2,二重彩,"12,5","1,182.00"
2023-12-23,沙田,2,三重彩,"12,5,7","33,897.00"
2023-12-23,沙田,2,單T,"5,7,12","7,939.00"
2023-12-23,沙田,2,四連環,"5,6,7,12","12,507.00"
2023-12-23,沙田,2,四重彩,"12,5,7,6","292,838.00"
2023-12-23,沙田,2,第一口孖寶,11/12,553.50
2023-12-23,沙田,2,第一口孖T,"2,4,11/5,7,12","658,341.00"
2023-12-23,沙田,3,獨贏,10,65.50
2023-12-23,沙田,3,位置,10,19.00
2023-12-23,沙田,3,連贏,"1,10",67.50
2023-12-23,沙田,3,位置Q,"1,10",29.50
2023-12-23,沙田,3,二重彩,"10,1",227.00
2023-12-23,沙田,3,三重彩,"10,1,3","2,448.00"
2023-12-23,沙田,3,單T,"1,3,10",435.00
2023-12-23,沙田,3,四連環,"1,3,8,10",632.00
2023-12-23,沙田,3,四重彩,"10,1,3,8","15,731.00"
2023-12-23,沙田,3,第二口孖寶,12/10,570.50
2023-12-23,沙田,4,獨贏,11,54.00
2023-12-23,沙田,4,位置,11,20.50
2023-12-23,沙田,4,連贏,"11,13",223.50
2023-12-23,沙田,4,位置Q,"11,13",83.50
2023-12-23,沙田,4,二重彩,"11,13",436.00
2023-12-23,沙田,4,三重彩,"11,13,1","3,707.00"
2023-12-23,沙田,4,單T,"1,11,13",695.00
2023-12-23,沙田,4,四連環,"1,4,11,13","2,220.00"
2023-12-23,沙田,4,四重彩,"11,13,1,4","38,139.00"
2023-12-23,沙田,4,第三口孖寶,10/11,498.50
2023-12-23,沙田,4,第二口孖T,"1,3,10/1,11,13","34,708.00"
2023-12-23,沙田,5,獨贏,2,49.00
2023-12-23,沙田,5,位置,2,19.50
2023-12-23,沙田,5,連贏,"2,7",136.50
2023-12-23,沙田,5,位置Q,"2,7",53.50
2023-12-23,沙田,5,二重彩,"2,7",260.00
2023-12-23,沙田,5,三重彩,"2,7,5","2,056.00"
2023-12-23,沙田,5,單T,"2,5,7",466.00
2023-12-23,沙田,5,四連環,"2,5,7,9","2,055.00"
2023-12-23,沙田,5,四重彩,"2,7,5,9","33,785.00"
2023-12-23,沙田,5,第四口孖寶,11/2,256.00
2023-12-23,沙田,5,第一口三寶,10/11/2,"1,789.00"
2023-12-23,沙田,6,獨贏,10,20.50
2023-12-23,沙田,6,位置,10,11.50
2023-12-23,沙田,6,連贏,"3,10",287.50
2023-12-23,沙田,6,位置Q,"3,10",100.00
2023-12-23,沙田,6,二重彩,"10,3",423.00
2023-12-23,沙田,6,三重彩,"10,3,4","3,812.00"
2023-12-23,沙田,6,單T,"3,4,10","1,202.00"
2023-12-23,沙田,6,四連環,"2,3,4,10","1,270.00"
2023-12-23,沙田,6,四重彩,"10,3,4,2","20,655.00"
2023-12-23,沙田,6,第五口孖寶,2/10,156.00
2023-12-23,沙田,6,第三口孖T,"2,5,7/3,4,10","46,945.00"
2023-12-23,沙田,6,三T,"1,11,13/2,5,7/3,4,10","3,160,135.00"
2023-12-23,沙田,6,三T(安慰獎),"1,11,13/2,5,7/任何組合","2,872.00"
2023-12-23,沙田,7,獨贏,10,27.00
