date,venue,race_no,finish_pos,horse_no,horse_name,finish_time,sec1_margin,sec1_running_pos,sec1_time,sec2_margin,sec2_running_pos,sec2_time,sec3_margin,sec3_running_pos,sec3_time,sec4_margin,sec4_running_pos,sec4_time,sec5_margin,sec5_running_pos,sec5_time,sec6_margin,sec6_running_pos,sec6_time
2023-02-19,沙田,1,1,10,富存大師 (D371),1:22.89,1-1/2,6,13.65,4-1/2,6,22.31,1-3/4,5,23.07 11.74    11.33,SH,1,23.86 11.71    12.15,,,,,,
2023-02-19,沙田,1,2,13,請讓路 (E035),1:22.91,1,3,13.57,3/4,2,21.79,N,1,23.39 11.86    11.53,SH,2,24.16 11.83    12.33,,,,,,
2023-02-19,沙田,1,3,12,運來孖寶 (G177),1:23.11,3-1/4,9,13.93,7,9,22.43,5-1/2,9,23.27 11.74    11.53,1-1/4,3,23.48 11.55    11.93,,,,,,
2023-02-19,沙田,1,4,11,老表醒 (D249),1:23.18,4-1/2,10,14.13,8-1/4,10,22.43,5-3/4,10,23.11 11.70    11.41,1-3/4,4,23.51 11.51    12.00,,,,,,
2023-02-19,沙田,1,5,7,怪獸豪俠 (G282),1:23.26,2,7,13.73,5-3/4,7,22.43,4-1/2,7,23.31 11.74    11.57,2-1/4,5,23.79 11.67    12.12,,,,,,
2023-02-19,沙田,1,6,8,創高峰 (D136),1:23.27,N,2,13.45,2-1/2,4,22.19,1-1/4,4,23.31 11.78    11.53,2-1/4,6,24.32 11.91    12.41,,,,,,
2023-02-19,沙田,1,7,6,真感 (E209),1:23.63,5,12,14.21,8-3/4,12,22.43,6-3/4,12,23.19 11.78    11.41,4-1/2,7,23.80 11.47    12.33,,,,,,
2023-02-19,沙田,1,8,4,威力星 (G117),1:23.77,4-3/4,11,14.17,8-1/4,11,22.39,6-1/2,11,23.23 11.74    11.49,5-1/2,8,23.98 11.71    12.27,,,,,,
2023-02-19,沙田,1,9,14,旅遊達人 (E170),1:23.86,6-1/2,14,14.45,9-1/2,14,22.31,6-3/4,13,23.07 11.74    11.33,6,9,24.03 11.55    12.48,,,,,,
2023-02-19,沙田,1,10,5,友盈友福 (D343),1:23.90,N,1,13.41,3/4,1,21.83,N,2,23.55 11.90    11.65,6-1/4,10,25.11 12.15    12.96,,,,,,
