date,venue,race_no,race_meeting_no,race_name,race_class,distance_m,rating_range,going,course,prize_hkd,race_finish_time,sectional_times_header,place,horse_no,horse_name,jockey,trainer,actual_wt_lbs,declared_wt_lbs,draw,lbw,running_position,finish_time,win_odds
2021-03-03,跑馬地,1,470,天樂讓賽,第五班,1650,40-0,好地,"草地 - ""A"" 賽道",750000,(27.80) (51.25) (1:15.77) (1:40.90),27.80 23.45 24.52 25.13,1,2,好友無敵 (A217),黎海榮,文家良,129,1089,2,-,10 10 8 1,1:40.90,11
2021-03-03,跑馬地,1,470,天樂讓賽,第五班,1650,40-0,好地,"草地 - ""A"" 賽道",750000,(27.80) (51.25) (1:15.77) (1:40.90),27.80 23.45 24.52 25.13,2,3,度身訂做 (C522),何澤堯,方嘉柏,129,1010,3,頸位,6 6 5 2,1:40.95,3.1
2021-03-03,跑馬地,1,470,天樂讓賽,第五班,1650,40-0,好地,"草地 - ""A"" 賽道",750000,(27.80) (51.25) (1:15.77) (1:40.90),27.80 23.45 24.52 25.13,3,11,爪皇烈焰 (T353),田泰安,霍利時,122,1222,4,1/2,3 5 4 3,1:40.99,4.7
2021-03-03,跑馬地,1,470,天樂讓賽,第五班,1650,40-0,好地,"草地 - ""A"" 賽道",750000,(27.80) (51.25) (1:15.77) (1:40.90),27.80 23.45 24.52 25.13,4,9,喜氣綿綿 (C236),薛恩,蘇保羅,122,1097,8,1-1/4,5 2 1 4,1:41.11,7.7
2021-03-03,跑馬地,1,470,天樂讓賽,第五班,1650,40-0,好地,"草地 - ""A"" 賽道",750000,(27.80) (51.25) (1:15.77) (1:40.90),27.80 23.45 24.52 25.13,5,6,龍船 (V186),黃皓楠,鄭俊偉,124,1097,1,1-3/4,7 7 6 5,1:41.18,17
2021-03-03,跑馬地,1,470,天樂讓賽,第五班,1650,40-0,好地,"草地 - ""A"" 賽道",750000,(27.80) (51.25) (1:15.77) (1:40.90),27.80 23.45 24.52 25.13,6,7,星河戰駒 (C245),潘頓,高伯新,124,1129,5,1-3/4,9 9 9 6,1:41.20,5.4
2021-03-03,跑馬地,1,470,天樂讓賽,第五班,1650,40-0,好地,"草地 - ""A"" 賽道",750000,(27.80) (51.25) (1:15.77) (1:40.90),27.80 23.45 24.52 25.13,7,10,醉開心 (B286),潘明輝,葉楚航,120,1129,6,2,11 11 11 7,1:41.21,11
2021-03-03,跑馬地,1,470,天樂讓賽,第五班,1650,40-0,好地,"草地 - ""A"" 賽道",750000,(27.80) (51.25) (1:15.77) (1:40.90),27.80 23.45 24.52 25.13,8,5,合進駒 (A327),巴度,容天鵬,128,1152,11,2-3/4,12 12 10 8,1:41.32,21
2021-03-03,跑馬地,1,470,天樂讓賽,第五班,1650,40-0,好地,"草地 - ""A"" 賽道",750000,(27.80) (51.25) (1:15.77) (1:40.90),27.80 23.45 24.52 25.13,9,4,無忌 (D255),彭國年,丁冠豪,128,1026,10,5-1/4,2 1 2 9,1:41.75,129
2021-03-03,跑馬地,1,470,天樂讓賽,第五班,1650,40-0,好地,"草地 - ""A"" 賽道",750000,(27.80) (51.25) (1:15.77) (1:40.90),27.80 23.45 24.52 25.13,10,1,東方雷 (C500),賀銘年,何良,130,1074,9,12-3/4,1 3 3 10,1:42.95,22
2021-03-03,跑馬地,1,470,天樂讓賽,第五班,1650,40-0,好地,"草地 - ""A"" 賽道",750000,(27.80) (51.25) (1:15.77) (1:40.90),27.80 23.45 24.52 25.13,11,8,好運多寶 (D400),馬雅,告東尼,123,1293,12,14,8 8 12 11,1:43.14,70
2021-03-03,跑馬地,1,470,天樂讓賽,第五班,1650,40-0,好地,"草地 - ""A"" 賽道",750000,(27.80) (51.25) (1:15.77) (1:40.90),27.80 23.45 24.52 25.13,12,12,威紫荊 (B325),巫顯東,徐雨石,115,1024,7,15-3/4,4 4 7 12,1:43.44,35
2021-03-03,跑馬地,2,471,摩理臣山讓賽,第四班,1650,60-40,好地,"草地 - ""A"" 賽道",1000000,(28.13) (52.48) (1:16.58) (1:40.54),28.13 24.35 24.10 23.96,1,7,雙節棍 (C357),何澤堯,方嘉柏,122,1041,1,-,8 7 6 1,1:40.54,2.7
2021-03-03,跑馬地,2,471,摩理臣山讓賽,第四班,1650,60-40,好地,"草地 - ""A"" 賽道",1000000,(28.13) (52.48) (1:16.58) (1:40.54),28.13 24.35 24.10 23.96,2,9,皇寶 (D416),薛恩,羅富全,121,1211,10,1-1/4,5 3 2 2,1:40.76,15
2021-03-03,跑馬地,2,471,摩理臣山讓賽,第四班,1650,60-40,好地,"草地 - ""A"" 賽道",1000000,(28.13) (52.48) (1:16.58) (1:40.54),28.13 24.35 24.10 23.96,3,2,愛馬劍 (B013),周俊樂,告東尼,122,1033,7,1-1/2,4 4 4 3,1:40.77,3.9
2021-03-03,跑馬地,2,471,摩理臣山讓賽,第四班,1650,60-40,好地,"草地 - ""A"" 賽道",1000000,(28.13) (52.48) (1:16.58) (1:40.54),28.13 24.35 24.10 23.96,4,3,馬主星輝 (B427),潘頓,沈集成,127,1106,8,2,3 5 5 4,1:40.88,5.5
